File name,local ID,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,Title,Creator,Date.created,Date.created (single),TypeOfResource,Genre,Extent,Dimensions,Medium,Insitution/Repository,collection name,collection number,box number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Subject.place,Digital Collection Title
0083ja00793_DC01M.tif,0083ja00793,ark:/21198/z1cg1h7v,ark:/21198/z16h69tp,2,Completed,Work,View of a cabin on wooden piles,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,mountain life|~|village life|~|vernacular architecture,Lebanon,Arab Image Foundation Photo Negatives
0083ja00794_DC01M.tif,0083ja00794,ark:/21198/z1cg1h7v,ark:/21198/z12r5k3c,2,Completed,Work,Outdoor snapshot 44,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,mountain life|~|village life|~|childhood|~|friendship|~|family ties,Lebanon,Arab Image Foundation Photo Negatives
0083ja00795_DC01M.tif,0083ja00795,ark:/21198/z1cg1h7v,ark:/21198/z1z052h1,2,Completed,Work,View of Lake Qaraoun,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,nature|~|landscape|~|water infrastructure,Bekaa (Lebanon),Arab Image Foundation Photo Negatives
0083ja00796_DC01M.tif,0083ja00796,ark:/21198/z1cg1h7v,ark:/21198/z1t749rv,2,Completed,Work,View of the countryside,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,agriculture|~|landscape,Lebanon,Arab Image Foundation Photo Negatives
0083ja00797_DC01M.tif,0083ja00797,ark:/21198/z1cg1h7v,ark:/21198/z1pg3k1j,2,Completed,Work,View of the Cross of the River of the Fallen,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,monument|~|landmark|~|franco|~|historical site|~|touristic site|~|tourism|~|propaganda,San Lorenzo de El Escorial (Spain),Arab Image Foundation Photo Negatives
0083ja00798_DC01M.tif,0083ja00798,ark:/21198/z1cg1h7v,ark:/21198/z1jq2tcq,2,Completed,Work,Outdoor portrait of Asma Jabbur and unidentified persons,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,diaspora|~|social class|~|friendship|~|married couple,United Kingdom,Arab Image Foundation Photo Negatives
0083ja00799_DC01M.tif,0083ja00799,ark:/21198/z1cg1h7v,ark:/21198/z1f20s21,2,Completed,Work,Pomegranate tree,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,nature|~|agriculture,Syria,Arab Image Foundation Photo Negatives
0083ja00800_DC01M.tif,0083ja00800,ark:/21198/z1cg1h7v,ark:/21198/z19901f1,2,Completed,Work,Portrait of a grape picker,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,ethnographic gaze|~|tradition|~|gender roles|~|agriculture,Syria,Arab Image Foundation Photo Negatives
0083ja00801_DC01M.tif,0083ja00801,ark:/21198/z1cg1h7v,ark:/21198/z15h98p9,2,Completed,Work,Snapshot of a Bedouin woman and a camel,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,bedouin life|~|desert life|~|ethnographic gaze|~|traditional attire,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00802_DC01M.tif,0083ja00802,ark:/21198/z1cg1h7v,ark:/21198/z11r8hx4,2,Completed,Work,Portrait of photographer Manoug Alemian,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.6 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,photographer|~|rolleiflex|~|desert life,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00803_DC01M.tif,0083ja00803,ark:/21198/z1cg1h7v,ark:/21198/z1x081cn,2,Completed,Work,Outdoor group portrait 20,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,bedouin life|~|desert life|~|traditional attire|~|ethnographic gaze|~|gender roles|~|family ties,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00804_DC01M.tif,0083ja00804,ark:/21198/z1cg1h7v,ark:/21198/z1s778nx,2,Completed,Work,Camel watering at an oasis,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,desert life|~|wildlife,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00805_DC01M.tif,0083ja00805,ark:/21198/z1cg1h7v,ark:/21198/z1ng6j1z,2,Completed,Work,Outdoor snapshot 45,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,bedouin life|~|desert life|~|agriculture,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00806_DC01M.tif,0083ja00806,ark:/21198/z1cg1h7v,ark:/21198/z1ht4gp3,2,Completed,Work,Herd of sheep and camels at a water point,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,bedouin life|~|desert life|~|agriculture,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00807_DC01M.tif,0083ja00807,ark:/21198/z1cg1h7v,ark:/21198/z1d23r10,2,Completed,Work,Column of camels crossing a water canal,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,bedouin life|~|desert life|~|agriculture,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00808_DC01M.tif,0083ja00808,ark:/21198/z1cg1h7v,ark:/21198/z189309n,2,Completed,Work,Outdoor snapshot 46,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,bedouin life|~|desert life|~|agriculture,Damascus (Syria),Arab Image Foundation Photo Negatives
0083ja00809_DC01M.tif,0083ja00809,ark:/21198/z1cg1h7v,ark:/21198/z14j27gk,2,Completed,Work,Outdoor group portrait of Suhayl Jabbur and his students,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,academic life|~|campus|~|class|~|university|~|AUB,Beirut (Lebanon),Arab Image Foundation Photo Negatives
0083ja00810_DC01M.tif,0083ja00810,ark:/21198/z1cg1h7v,ark:/21198/z10s1gqd,2,Completed,Work,View of a building in Beirut,Jibrail Jabbur,1950-1961,1950/1961,still image,color photographs,1 photograph,6.2 cm x 6.1 cm,Chromogenic process transparency on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 99,copyrighted,unpublished,hello@arabimagefoundation.org,urban vegetation|~|modern architecture,Beirut (Lebanon),Arab Image Foundation Photo Negatives
0083ja00125_DC02M.tif,0083ja00125,ark:/21198/z1cg1h7v,ark:/21198/z1w11088,2,Completed,Work,Outdoor group portrait at the train station,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 12 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,modernity|~|travel|~|transport|~|modern fashion|~|diaspora|~|family ties|~|friendship,North Carolina (USA),Arab Image Foundation Photo Negatives
0083ja00126_DC02M.tif,0083ja00126,ark:/21198/z1cg1h7v,ark:/21198/z1r807nw,2,Completed,Work,Outdoor portrait 10,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 12 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,amusement|~|candid|~|gender stereotypes|~|femininity|~|nature|~|garden,North Carolina (USA),Arab Image Foundation Photo Negatives
0083ja00127_DC02M.tif,0083ja00127,ark:/21198/z1cg1h7v,ark:/21198/z1mk8670,2,Completed,Work,Village women straining flour 1,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 18.7 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,traditional attire|~|manual labour|~|tradition|~|ethnographic gaze|~|cultural identity|~|heritage,Al Qaryatayn (Syria),Arab Image Foundation Photo Negatives
0083ja00128_DC02M.tif,0083ja00128,ark:/21198/z1cg1h7v,ark:/21198/z1gt7fk5,2,Completed,Work,Village women straining flour 2,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 18.7 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,traditional attire|~|manual labour|~|tradition|~|ethnographic gaze|~|cultural identity|~|heritage,Al Qaryatayn (Syria),Arab Image Foundation Photo Negatives
0083ja00129_DC02M.tif,0083ja00129,ark:/21198/z1cg1h7v,ark:/21198/z1c26pvr,2,Completed,Work,Village women straining flour 3,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 18.7 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,traditional attire|~|manual labour|~|tradition|~|ethnographic gaze|~|cultural identity|~|heritage,Al Qaryatayn (Syria),Arab Image Foundation Photo Negatives
0083ja00130_DC02M.tif,0083ja00130,ark:/21198/z1cg1h7v,ark:/21198/z1795z13,2,Completed,Work,Front yard of a house,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 18.7 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),Arab Image Foundation Photo Negatives
0083ja00131_DC02M.tif,0083ja00131,ark:/21198/z1cg1h7v,ark:/21198/z13j5689,2,Completed,Work,Back yard of a house,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 18.7 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),Arab Image Foundation Photo Negatives
0083ja00132_DC02M.tif,0083ja00132,ark:/21198/z1cg1h7v,ark:/21198/z1zs4pvh,2,Completed,Work,Garden of a house,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 18.7 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,traditional architecture|~| garden|~|countryside|~|village,Al Qaryatayn (Syria),Arab Image Foundation Photo Negatives
0083ja00133_DC02M.tif,0083ja00133,ark:/21198/z1cg1h7v,ark:/21198/z1v13z6d,2,Completed,Work,Egg tapping battle beween youth 2,Jibrail Jabbur,1950-1961,1950/1961,still image,black-and-white photographs,1 photograph,6 cm x 12.3 cm,Gelatin silver negative on cellulose acetate film,Arab Image Foundation,Norma Jabbur Collection,Collection no. 0083ja,Box no. 65,copyrighted,unpublished,hello@arabimagefoundation.org,youth|~|childhood|~|games|~|tradition|~|customs|~|ritual|~|celebration|~|contest|~|christianity,Al Qaryatayn (Syria),Arab Image Foundation Photo Negatives
