Item ARK,Parent ARK,Parent ARK,Object Type,Title,STAGE URL,Thumbnail,File Name,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,viewingHint,IIIF Manifest URL
ark:/21198/z1418q6w,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot of construction workers and other dwellers,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1418q6w,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26tjc,0002kh00067_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00067|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1418q6w/manifest
ark:/21198/z1087zg5,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot of construction workers and other dwellers,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1087zg5,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n41h1,0002kh00068_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00068|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087zg5/manifest
ark:/21198/z1vh7g08,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot of construction workers and other dwellers,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1vh7g08,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42s7f,0002kh00069_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00069|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vh7g08/manifest
ark:/21198/z1qr6q6n,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot of construction workers and other dwellers,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1qr6q6n,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km18wq,0002kh00070_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00070|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qr6q6n/manifest
ark:/21198/z1m05zhp,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group snapshot of community members gathering in front of entrance facility building,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1m05zhp,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29scj,0002kh00071_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 11.3 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00071|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religion|~|christianity|~|catholicism|~|gender norms|~|gender roles|~|motherhood|~|family|~|mountain countryside|~|traditional attire|~|formal attire|~|social hierarchy|~|childhood|~|priesthood|~|church|~|catholic church|~|roman catholicism|~|catholicism|~|christianity|~|roman catholic church|~|faith,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m05zhp/manifest
ark:/21198/z1g756v7,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group portrait of construction workers,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1g756v7,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n70b6,0002kh00072_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.5 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00072|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,labor|~|physical labor|~|working class|~|nationalism|~|french mandate|~|smoking|~|drinking|~|masculinity|~|colonialism,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g756v7/manifest
ark:/21198/z1bk35fw,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot of two priests in front of Saint Vincent de Paul's statue,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1bk35fw,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45r5z,0002kh00073_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.8 cm x 8.7 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00073|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,religion|~|christianity|~|catholicism|~|roman catholicism|~|roman catholic church|~|sainthood|~|priesthood|~|catholic church|~|faith,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bk35fw/manifest
ark:/21198/z16t2dth,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,General view of the Bhannes Sanatorium,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z16t2dth,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm47rb,0002kh00074_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 10.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00074|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|mental health asylum|~|mental health|~|mental health facility|~|hospital|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16t2dth/manifest
ark:/21198/z1321p22,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,General view of the Bhannes Sanatorium's chapel,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1321p22,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961fn1,0002kh00075_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.6 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0002kh00075|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|religion|~|christianity|~|catholicism|~|roman catholicism|~|church|~|catholic church|~|roman catholic church|~|faith,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1321p22/manifest
ark:/21198/z1z915hv,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,General view of a bird house with part of a building visible in the background,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1z915hv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9z50,0002kh00076_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.5 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00076|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|wild life,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z915hv/manifest
ark:/21198/z1tj0drp,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group portrait of workers on site,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1tj0drp,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48q21,0002kh00077_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.4 cm x 11.5 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00077|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|community|~|gender norms|~|childhood|~|drinking|~|working class,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tj0drp/manifest
