Item ARK,Parent ARK (fest),Parent ARK,Object Type,Title,STAGE URL,AltTitle.other,File Name,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
ark:/21198/z16h69tp,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,View of a cabin on wooden piles,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z16h69tp,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00793_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00793|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,mountain life|~|village life|~|vernacular architecture,Lebanon,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h69tp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h69tp/manifest
ark:/21198/z12r5k3c,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor snapshot,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z12r5k3c,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00794_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00794|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,mountain life|~|village life|~|childhood|~|friendship|~|family ties,Lebanon,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5k3c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5k3c/manifest
ark:/21198/z1z052h1,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,View of Lake Qaraoun,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1z052h1,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00795_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00795|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,nature|~|landscape|~|water infrastructure,Bekaa (Lebanon)|~|Lebanon,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z052h1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z052h1/manifest
ark:/21198/z1t749rv,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,View of the countryside,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1t749rv,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00796_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00796|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,agriculture|~|landscape,Lebanon,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t749rv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t749rv/manifest
ark:/21198/z1pg3k1j,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,View of the Cross of the River of the Fallen,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1pg3k1j,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00797_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00797|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,monument|~|landmark|~|franco|~|historical site|~|touristic site|~|tourism|~|propaganda,San Lorenzo de El Escorial (Spain)|~|Spain,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg3k1j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pg3k1j/manifest
ark:/21198/z1jq2tcq,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Outdoor portrait of Asma Jabbur and unidentified persons,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1jq2tcq,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00798_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00798|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,diaspora|~|social class|~|friendship|~|married couple,United Kingdom,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2tcq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jq2tcq/manifest
ark:/21198/z1f20s21,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Pomegranate tree,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1f20s21,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00799_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00799|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,nature|~|agriculture,Syria,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20s21,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f20s21/manifest
ark:/21198/z19901f1,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Portrait of a grape picker,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z19901f1,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00800_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00800|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,ethnographic gaze|~|tradition|~|gender roles|~|agriculture,Syria,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19901f1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19901f1/manifest
ark:/21198/z15h98p9,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot of a Bedouin woman and a camel,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z15h98p9,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00801_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.2 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00801|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,bedouin life|~|desert life|~|ethnographic gaze|~|traditional attire,Damascus (Syria)|~|Syria,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h98p9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15h98p9/manifest
ark:/21198/z11r8hx4,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Portrait of photographer Manoug Alemian,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z11r8hx4,,Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00802_DC01M.tif,Norma Jabbur Collection,,1950-1961,1950/1961,,,,6.6 cm x 6.1 cm,1 photograph,Chromogenic process transparency on cellulose acetate film,color photographs,,0083ja00802|~|Collection 0083ja|~|Box 99,Jibrail Jabbur,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,photographer|~|rolleiflex|~|desert life,Damascus (Syria)|~|Syria,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8hx4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11r8hx4/manifest
