Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Alt ID.url,Bucketeer State,IIIF Access URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177ts7,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00177ts7_498937_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Drawings,,,California,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9 x 12 inches,uclamss_1179_b1288_f0009|~|Travel sketches,,"View across the desert of the [Oasis of Mara (Twentynine Palms Oasis) in Joshua Tree National Park]. Mountains are visible in the distance.Inscription by artist reads ""Xmas 38 / 29 Palms."" Signed and dated on bottom right.|~|LAPL Exhibit 2009","Xmas 38, 29 Palms",1938,1 drawing,1938,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177tv8,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz00177tv8_498955_master.tif,,,,,,,,,private,,,,,,,,,,,,,,,,,,24 x 35 1/4 inches,uclamss_1179_b1899_0001,,LAPL Exhibit 2009,"John Nicholas Brown House, Fishers Island, New York, 1938",,,,pencil on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177v2v,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz00177v2v_498959_master.tif,,,,,,,,,private,,,,,,,,,,,,,,,,,,24 x 35 1/2 inches,uclamss_1179_b1899_0002,,LAPL Exhibit 2009,"John Nicholas Brown House, Fishers Island, New York, 1938",,,,pencil on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177v4w,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00177v4w_498973_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Drawings,,,Switzerland,,,Furniture,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 x 9 3/4 inches,Travel sketches|~|uclamss_1179_b1901_f0001,,LAPL Exhibit 2009,"Furniture, Palais Courvoisier, Neuchatel, 1919",1919,1 drawing,1919,pencil and crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177vb0,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00177vb0_498988_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",11 1/2 x 13 1/2 inches,uclamss_1179_b1901_f0002|~|Travel sketches,,View of a colorful cliff face from along a ridge of the cliff looking up towards the top of the cliff.Title supplied by archivist. Signed and dated on bottom right.|~|LAPL Exhibit 2009,"Cliff Face, 1918",1918,1 drawing,1918,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177vfj,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz00177vfj_499033_master.tif,,,,,,still image,,,private,,Architectural photographs,copyrighted,,,,,dwellings|~|Architecture--California--20th century,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",19 x 25 cm,b832_f4_neg-3,,,Kun House exterior [view from street],,1 photograph,,b&w negative,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177vg2,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00177vg2_499006_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Drawings,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",12 x 14 inches,uclamss_1179_b1901_f0003|~|Travel sketches,,View across a grassy plain. An unidentified rock formation is to the left. Hills can be seen in the distance.|~|Title supplied by archivist. Signed and dated on bottom right.|~|LAPL Exhibit 2009,"Grassy Plain and Rock Formation, 1918",1918,1 drawing,1918,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177vp5,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00177vp5_499023_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 1/4 x 10 3/4 inches,uclamss_1179_b1901_f0004|~|Travel sketches,,Close-up view of a leaf-laden tree on a slight incline.Title supplied by archivist. Signed and dated on bottom left.|~|LAPL Exhibit 2009,"Leaf-laden Tree, 1918",1918,1 drawing,1918,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177vr6,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00177vr6_499043_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Switzerland,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 x 9 3/4 inches,Travel sketches|~|uclamss_1179_b1901_f0005,,"Scenic view of green, blue, and purple mountains beneath a blue sky.Title supplied by archivist. Signed and dated on bottom left.|~|LAPL Exhibit 2009","Mountain Scene, 1919",1919,1 drawing,1919,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177wgj,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz00177wgj_499062_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,,,,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",10 x 13 inches,uclamss_1179_b1901_f0006|~|Travel sketches,,LAPL Exhibit 2009,"Dark landscape, ca. 1918",1918,1 drawing,1918,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,failed,
