Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Name.subject,Subject,Name.architect,Language,Name.creator,Name.artist,Name.sculptor,Name.photographer,Name.repository,Relation.isPartOf,Alt ID.local,Title,Description.note,Description.fundingNote,Format.extent,Format.medium,Coverage.geographic,Description.caption,Date.normalized,Date.creation,Coverage.spatialLongitude,Coverage.spatialLatitude,Format.dimensions
"West (H. H.), Collection Number 1998",ark:/21198/zz002kkz4b,ark:/21198/zz002hpcf9,1,In progress,Work,,,private,,,,,,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,1H. H. West photograph album,,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km78q,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km78q_2416308_master.tif,1,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_002,1 Front cover,"Front cover called ""Old Photographs 1896""",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km776,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km776_2416311_master.tif,2,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",ucla_98_b123_001,2 Table of contents,"Table of contents for photographs in San Francisco, Los Angeles. and ""Ballooning""|~|San Francisco earthquake, 1906 p/46-54Los Angeles Brothels 93-94Ballooning 89-91",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kkz6c,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kkz6c_2416314_master.tif,3,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_003,3  Blank Page,blank page,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7br,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7br_2416317_master.tif,4,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",,Page 001,"Four photographs of Griffin Avenue, East Los Angeles, homes on Griffin Avenue and The Sisters'School in 1897.|~|[captions]Griffin Avenue, East Los Angeles, looking south from the corner of Hawkins (now Manitou) street about 1896, when I commenced erection of my house at 240 South Griffin Avenue. On the right is a view of the same street taken in 1936, 40 years later.240 Griffin Ave,as it looked in 1897. It was a fine big home. The Woodwards had just built their home on the corner[handwritten]So Griffin, 1897The Sisters' School in 1897.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7jv,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7jv_2416320_master.tif,5,,,,,,,,,,,,,,,,,uclalsc_98_b123_005,Page 002|~|5. Page 2,Four photographs of South Griffin Ave. of the Quayle sisters.|~|[captions]The old pepper trees by the Sisters' School. 1897.240 South Griffin Ave. Taken 1936 with Wilson Darby West Standing on the walk.The two old houses belonging to the Quayle sisters who lived there in 1895. Taken 1932. We lived in the one behind the boy while father was building my place at 240 S. Griffin. The Conners lived in the one behind the auto.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7px,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7px_2416323_master.tif,6,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_006,Page 003,[captions]Griffin AveGuy W. West Dec. 1900Wayne Warren West (1901)Wayne West in 1898Nella S. West in 1898|~|Four photographs of various members of the West family.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7t0,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7t0_2416326_master.tif,7,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_007,Page 004,"[captions]Nella A. West, Nov. 1898Nella A. West and Charles Rucher Nov. 1898Nella A. West about 1900Wilson West on the lawn Nov. 1898|~|Four photographs of West family members in front of homes",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7c8,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7c8_2416329_master.tif,8,,,,,,,,,,,,,,,,,uclalsc_98_b123_008,Page 005,"[captions]Griffin Ave.Father in the front room Oct. 16, 1898.Vincent Sepulveda in the front room Oct.16, 1898.L to R: H.H. Cooper, mother and Guy West in the dining room 1898.Cooper at the table 1898. He used to come down often. Was very fond of saur kraut and beer, and mother made wonderful kraut.|~|Four photographs of residents sitting around table.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7hb,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7hb_2416332_master.tif,9,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_009,Page 006,"Four photographs of Vincente Sepulveda, Nachita, H.H. West, and a library.|~|Vicente Sepulveda, taken in her own home next to ours. 1900Nachita -- a relative of Vincente's who was visiting the Sepulvedas. She was a beautiful lively girl and made things hum while she was with us. 1900H.H. West in the front room about 1900The Library as it looked September 17, 1898",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7nd,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7nd_2416335_master.tif,10,,,,,,,,,,,,,,,,,uclalsc_98_b123_010,Page 007,"[captions]Griffin Ave.Four views of the library in 1898. The birds were given to Guy by Uncle Frank. The picture hanging on the wall at extreme left top in a group of Western Union Telegraph Operators, of which I was one. This group was photographed one Sunday at a studio by special arrangement. It was taken in 1892. I think Al Siemen now has this picture. 1936.|~|Four views of a library in 1898.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7vh,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7vh_2416338_master.tif,11,,,,,,,,,,,,,,,,,uclalsc_98_b123_011,Page 008,Blank page,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7xj,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7xj_2416341_master.tif,12,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_012,Page 009,"Porch group: L to R: Third boy is Wilson West, then Wayne West then Mrs. G.M. West.L to R: First boy unknown. Wayne West with derby, Ed Herwick, John Herwick, Wilson D. West.Oct. 23, 1898. Left Mrs. G.M.West with Vicente SepulvedaLouise Ambrosa on the front lawn about 1900|~|Four photographs of West family and others in front of their home and lawn.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7qf,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7qf_2416347_master.tif,13,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_013,Page 010,"Three photographs of the Whitaker's and other residents in front of lawn and their home.|~|[captions]Mertie Whitaker on the front lawn about 1901L to R : Nettie Davis, Lizzie Chandler and Martie Whitake, about 1901.H.H. Cooper drives up in front to take me out for a ride to San Gabriel October 16, 1898.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7gt,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7gt_2416357_master.tif,14,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_014,Page 011,"Three [crossed out and written 2] 2 pictures of my room, with one of Nell's at the bottom left right [left crossed out and replaced with right]|~|Three photographs of a room on Griffith avenue.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7kc,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7kc_2416360_master.tif,15,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_015,Page 012,"[captions]The hallway Sept. 17, 1898The front room, 1898Wayne at the piano in the front room about 1899Looking out the front window in 1899|~|Interior hallway, front room, piano, and front window of home.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7f9,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7f9_2416363_master.tif,16,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_016,Page 013,"[captions]Griffin Ave.George M. West with a big fish, 1902.Guy West and his bike in the rear Sept 30, 1898Guy M. West 1906 1896 [1906 is crossed out and 1896 is handwritten]Guy M. West 1901|~|Residents outside of their homes from the West family.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7w1,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7w1_2416366_master.tif,17,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_017,Page 014,[captions]Guy M. West Nov. 1898Same on the lawn; think it is Arlie Lemberger standing behind him. Nov. 1898.Guy M. West in 1899Guy West Nov. 1898|~|West residents in front of their homes and on their front lawns.,,,,,,,,,,
