Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Title,Rights.copyrightStatus,Name.subject,Rights.countryCreation,Language,Subject,Rights.servicesContact,Name.repository,Rights.creatorCorporate,Type.genre,Rights.rightsHolderContact,Type.typeOfResource,Name.producer,Name.creator,Name.director,Alt ID.local,Opac url,Date.creation,Format.extent,Description.holdings,Relation.isPartOf,Date.normalized,Description.tableOfContents,AltTitle.uniform,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
UCLA Preserved Silent Animation,ark:/21198/z1tj0csq,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/Bobs_Electric_Theater_NFPF.mp4,Bob's Electric Theatre (Original Silent),pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Pathé Frères,Gaston Velle (animator),Segundo de Chomón,,,1906,04m 14s,,,1906,"Although this is one of the earliest stop-motion puppet films ever created, it is quite sophisticated and loaded with charm. The animation is credited to Segundo de Chomon, who in 1901 opened a film lab in Bacelona, Spain, specializing in shooting film titles, as well as hand coloring and tinting films &#45; his exquisite color work is well showcased here. Chomon was a pioneering director of photography and is credited with the invention of the camera dolly (a cart with which to move the motion picture camera) in 1907. He chanced upon the concept of stop-motion animation while filming titles frame by frame. In 1905 he created <span class='notes-film-title'>El Hotel Electrico</span>, a short about an ultramodern hotel, in which he manipulated luggage and clothing to appear as though they were unpacking themselves. Moving to Paris in 1906, he collaborated with filmmaker Gaston Velle to create this film, <span class='notes-film-title'>Le Theatre de Petite Bob</span>. Both Velle and Chomon were heavily influenced by the films of Georges Melies. The lifelike use of puppet dolls here predates the work of Ladislas Starevitch (pioneering stop-motion puppeteer) and Willis O&#39;Brien (The <span class='notes-film-title'>Lost World</span> and <span class='notes-film-title'>King Kong</span>). Like in their work, Chomon infuses his characters with personalities that allow us to identify with their actions. —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>Until 1950, theatrical prints in the 35mm film gauge were made on nitrocellulose, or nitrate, film stock, after which time the industry standard switched to acetate, or safety, film.  Nitrate film is highly flammable, and it also decomposes over time, turning eventually into powder. One quarter of <span class='notes-film-title'>Bob's Electric Theater</span> (the entire third act, except for an opening snippet) was lost to decomposition before the print could be copied. The entire nitrate print has since deteriorated, as have the nitrate prints of several of the preserved films in this presentation. —Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/tj/0c/sq/21198=z1tj0csq/ark%2B=21198=z1tj0csq.mp4{},,320,240,254.656,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tj0csq/manifest
UCLA Preserved Silent Animation,ark:/21198/z1pr9n2v,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/Bobs_Electric_Theater_P.mp4,Bob's Electric Theatre with Piano Accompaniment,pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Pathé Frères,Gaston Velle (animator),Segundo de Chomón,,,1906,04m 20s,,,1906,"Although this is one of the earliest stop-motion puppet films ever created, it is quite sophisticated and loaded with charm. The animation is credited to Segundo de Chomon, who in 1901 opened a film lab in Bacelona, Spain, specializing in shooting film titles, as well as hand coloring and tinting films &#45; his exquisite color work is well showcased here. Chomon was a pioneering director of photography and is credited with the invention of the camera dolly (a cart with which to move the motion picture camera) in 1907. He chanced upon the concept of stop-motion animation while filming titles frame by frame. In 1905 he created <span class='notes-film-title'>El Hotel Electrico</span>, a short about an ultramodern hotel, in which he manipulated luggage and clothing to appear as though they were unpacking themselves. Moving to Paris in 1906, he collaborated with filmmaker Gaston Velle to create this film, <span class='notes-film-title'>Le Theatre de Petite Bob</span>. Both Velle and Chomon were heavily influenced by the films of Georges Melies. The lifelike use of puppet dolls here predates the work of Ladislas Starevitch (pioneering stop-motion puppeteer) and Willis O&#39;Brien (The <span class='notes-film-title'>Lost World</span> and <span class='notes-film-title'>King Kong</span>). Like in their work, Chomon infuses his characters with personalities that allow us to identify with their actions. —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>Until 1950, theatrical prints in the 35mm film gauge were made on nitrocellulose, or nitrate, film stock, after which time the industry standard switched to acetate, or safety, film.  Nitrate film is highly flammable, and it also decomposes over time, turning eventually into powder. One quarter of <span class='notes-film-title'>Bob's Electric Theater</span> (the entire third act, except for an opening snippet) was lost to decomposition before the print could be copied. The entire nitrate print has since deteriorated, as have the nitrate prints of several of the preserved films in this presentation. —Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/pr/9n/2v/21198=z1pr9n2v/ark%2B=21198=z1pr9n2v.mp4{},,320,240,260.246,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pr9n2v/manifest
UCLA Preserved Silent Animation,ark:/21198/z1k08wdb,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/Bobs_Electric_Theater_S.mp4,Bob's Electric Theatre with Musical Score,pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Pathé Frères,Gaston Velle (animator),Segundo de Chomón,,,1906,04m 20s,,,1906,"Although this is one of the earliest stop-motion puppet films ever created, it is quite sophisticated and loaded with charm. The animation is credited to Segundo de Chomon, who in 1901 opened a film lab in Bacelona, Spain, specializing in shooting film titles, as well as hand coloring and tinting films &#45; his exquisite color work is well showcased here. Chomon was a pioneering director of photography and is credited with the invention of the camera dolly (a cart with which to move the motion picture camera) in 1907. He chanced upon the concept of stop-motion animation while filming titles frame by frame. In 1905 he created <span class='notes-film-title'>El Hotel Electrico</span>, a short about an ultramodern hotel, in which he manipulated luggage and clothing to appear as though they were unpacking themselves. Moving to Paris in 1906, he collaborated with filmmaker Gaston Velle to create this film, <span class='notes-film-title'>Le Theatre de Petite Bob</span>. Both Velle and Chomon were heavily influenced by the films of Georges Melies. The lifelike use of puppet dolls here predates the work of Ladislas Starevitch (pioneering stop-motion puppeteer) and Willis O&#39;Brien (The <span class='notes-film-title'>Lost World</span> and <span class='notes-film-title'>King Kong</span>). Like in their work, Chomon infuses his characters with personalities that allow us to identify with their actions. —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>Until 1950, theatrical prints in the 35mm film gauge were made on nitrocellulose, or nitrate, film stock, after which time the industry standard switched to acetate, or safety, film.  Nitrate film is highly flammable, and it also decomposes over time, turning eventually into powder. One quarter of <span class='notes-film-title'>Bob's Electric Theater</span> (the entire third act, except for an opening snippet) was lost to decomposition before the print could be copied. The entire nitrate print has since deteriorated, as have the nitrate prints of several of the preserved films in this presentation. —Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/k0/8w/db/21198=z1k08wdb/ark%2B=21198=z1k08wdb.mp4{},,320,240,260.246,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k08wdb/manifest
UCLA Preserved Silent Animation,ark:/21198/z1f784qf,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/Bobs_Electric_Theater_VO.mp4,Bob's Electric Theatre with Preservationists' Voiceover,pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Pathé Frères,Gaston Velle (animator),Segundo de Chomón,,,1906,04m 20s,,,1906,"Although this is one of the earliest stop-motion puppet films ever created, it is quite sophisticated and loaded with charm. The animation is credited to Segundo de Chomon, who in 1901 opened a film lab in Bacelona, Spain, specializing in shooting film titles, as well as hand coloring and tinting films &#45; his exquisite color work is well showcased here. Chomon was a pioneering director of photography and is credited with the invention of the camera dolly (a cart with which to move the motion picture camera) in 1907. He chanced upon the concept of stop-motion animation while filming titles frame by frame. In 1905 he created <span class='notes-film-title'>El Hotel Electrico</span>, a short about an ultramodern hotel, in which he manipulated luggage and clothing to appear as though they were unpacking themselves. Moving to Paris in 1906, he collaborated with filmmaker Gaston Velle to create this film, <span class='notes-film-title'>Le Theatre de Petite Bob</span>. Both Velle and Chomon were heavily influenced by the films of Georges Melies. The lifelike use of puppet dolls here predates the work of Ladislas Starevitch (pioneering stop-motion puppeteer) and Willis O&#39;Brien (The <span class='notes-film-title'>Lost World</span> and <span class='notes-film-title'>King Kong</span>). Like in their work, Chomon infuses his characters with personalities that allow us to identify with their actions. —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>Until 1950, theatrical prints in the 35mm film gauge were made on nitrocellulose, or nitrate, film stock, after which time the industry standard switched to acetate, or safety, film.  Nitrate film is highly flammable, and it also decomposes over time, turning eventually into powder. One quarter of <span class='notes-film-title'>Bob's Electric Theater</span> (the entire third act, except for an opening snippet) was lost to decomposition before the print could be copied. The entire nitrate print has since deteriorated, as have the nitrate prints of several of the preserved films in this presentation. —Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/f7/84/qf/21198=z1f784qf/ark%2B=21198=z1f784qf.mp4{},,320,240,260.246,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f784qf/manifest
UCLA Preserved Silent Animation,ark:/21198/z19k63bj,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/How_Jones_Lost_His_Roll_NFPF.mp4,How Jones Lost His Roll (Original Silent),pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Edison,,Edwin S. Porter,,,1905,07m 31s,,,1905,"When animation was in its infancy, it was used most often as a special effect. <span class='notes-film-title'>How Jones Lost His Roll</span> (1905) is not an animated film, nor a significant part of animation history, but it is a great example of the kind of early movie Thomas Edison's crew was producing for nickelodeons and Kinetoscopes. Why should titles be static and still when motion pictures now allowed for movement? The technicians at Edison&#39;s studio magically moved the film&#39;s narrative text via stop motion. Edison used animated titles in several films, such as <span class='notes-film-title'>The Whole Dam Family</span> and the <span class='notes-film-title'>Dam Dog</span> and <span class='notes-film-title'>Coney Island at Night</span> (both 1905), and as a special effect in several films, as well. This use of the camera was said to inspire J. Stuart Blackton&#39;s experiments in his cartoon animation breakthrough, <span class='notes-film-title'>Humorous Phases of Funny Faces</span> (1906), and later, <span class='notes-film-title'>The Haunted Hotel</span> (1907). —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>In the early days of the motion picture, the only way a film could be copyrighted was by treating it as if it were an item of print, like a book. Many of the films made prior to 1915 exist today only because they were copied frame-by-frame onto rolls of photographic paper which were then deposited with the Library of Congress for copyright purposes.  In the 1950s, the Library instituted a program to re-photograph these ""paper print"" rolls back to film.  To economize, most were shot only on smaller-gauge 16mm negative rather than their original 35mm format.  In the 1980s, the Library contracted UCLA to copy again the paper prints--this time to 35mm film--on one of the two original machines constructed three decades earlier for this purpose, which the Archive had acquired.  The quality of the re-photographed paper prints depends on their storage condition over the years and how well the prints were copied to paper originally, some being soft and unsteady, others crisp and appearing practically pristine.—Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/9k/63/bj/21198=z19k63bj/ark%2B=21198=z19k63bj.mp4{},,308,240,451.435,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19k63bj/manifest
UCLA Preserved Silent Animation,ark:/21198/z15t5bn8,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/How_Jones_Lost_His_Roll_P.mp4,How Jones Lost His Roll with Piano Accompaniment,pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Edison,,Edwin S. Porter,,,1905,07m 34s,,,1905,"When animation was in its infancy, it was used most often as a special effect. <span class='notes-film-title'>How Jones Lost His Roll</span> (1905) is not an animated film, nor a significant part of animation history, but it is a great example of the kind of early movie Thomas Edison's crew was producing for nickelodeons and Kinetoscopes. Why should titles be static and still when motion pictures now allowed for movement? The technicians at Edison&#39;s studio magically moved the film&#39;s narrative text via stop motion. Edison used animated titles in several films, such as <span class='notes-film-title'>The Whole Dam Family</span> and the <span class='notes-film-title'>Dam Dog</span> and <span class='notes-film-title'>Coney Island at Night</span> (both 1905), and as a special effect in several films, as well. This use of the camera was said to inspire J. Stuart Blackton&#39;s experiments in his cartoon animation breakthrough, <span class='notes-film-title'>Humorous Phases of Funny Faces</span> (1906), and later, <span class='notes-film-title'>The Haunted Hotel</span> (1907). —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>In the early days of the motion picture, the only way a film could be copyrighted was by treating it as if it were an item of print, like a book. Many of the films made prior to 1915 exist today only because they were copied frame-by-frame onto rolls of photographic paper which were then deposited with the Library of Congress for copyright purposes.  In the 1950s, the Library instituted a program to re-photograph these ""paper print"" rolls back to film.  To economize, most were shot only on smaller-gauge 16mm negative rather than their original 35mm format.  In the 1980s, the Library contracted UCLA to copy again the paper prints--this time to 35mm film--on one of the two original machines constructed three decades earlier for this purpose, which the Archive had acquired.  The quality of the re-photographed paper prints depends on their storage condition over the years and how well the prints were copied to paper originally, some being soft and unsteady, others crisp and appearing practically pristine.—Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/5t/5b/n8/21198=z15t5bn8/ark%2B=21198=z15t5bn8.mp4{},,310,240,454.528,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15t5bn8/manifest
UCLA Preserved Silent Animation,ark:/21198/z1224kwd,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/How_Jones_Lost_His_Roll_S.mp4,How Jones Lost His Roll with Musical Score,pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Edison,,Edwin S. Porter,,,1905,07m 34s,,,1905,"When animation was in its infancy, it was used most often as a special effect. <span class='notes-film-title'>How Jones Lost His Roll</span> (1905) is not an animated film, nor a significant part of animation history, but it is a great example of the kind of early movie Thomas Edison's crew was producing for nickelodeons and Kinetoscopes. Why should titles be static and still when motion pictures now allowed for movement? The technicians at Edison&#39;s studio magically moved the film&#39;s narrative text via stop motion. Edison used animated titles in several films, such as <span class='notes-film-title'>The Whole Dam Family</span> and the <span class='notes-film-title'>Dam Dog</span> and <span class='notes-film-title'>Coney Island at Night</span> (both 1905), and as a special effect in several films, as well. This use of the camera was said to inspire J. Stuart Blackton&#39;s experiments in his cartoon animation breakthrough, <span class='notes-film-title'>Humorous Phases of Funny Faces</span> (1906), and later, <span class='notes-film-title'>The Haunted Hotel</span> (1907). —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>In the early days of the motion picture, the only way a film could be copyrighted was by treating it as if it were an item of print, like a book. Many of the films made prior to 1915 exist today only because they were copied frame-by-frame onto rolls of photographic paper which were then deposited with the Library of Congress for copyright purposes.  In the 1950s, the Library instituted a program to re-photograph these ""paper print"" rolls back to film.  To economize, most were shot only on smaller-gauge 16mm negative rather than their original 35mm format.  In the 1980s, the Library contracted UCLA to copy again the paper prints--this time to 35mm film--on one of the two original machines constructed three decades earlier for this purpose, which the Archive had acquired.  The quality of the re-photographed paper prints depends on their storage condition over the years and how well the prints were copied to paper originally, some being soft and unsteady, others crisp and appearing practically pristine.—Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/22/4k/wd/21198=z1224kwd/ark%2B=21198=z1224kwd.mp4{},,310,240,454.528,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1224kwd/manifest
UCLA Preserved Silent Animation,ark:/21198/z1x943c2,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/How_Jones_Lost_His_Roll_VO.mp4,How Jones Lost His Roll with Preservationists' Voiceover,pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,Edison,,Edwin S. Porter,,,1905,07m 34s,,,1905,"When animation was in its infancy, it was used most often as a special effect. <span class='notes-film-title'>How Jones Lost His Roll</span> (1905) is not an animated film, nor a significant part of animation history, but it is a great example of the kind of early movie Thomas Edison's crew was producing for nickelodeons and Kinetoscopes. Why should titles be static and still when motion pictures now allowed for movement? The technicians at Edison&#39;s studio magically moved the film&#39;s narrative text via stop motion. Edison used animated titles in several films, such as <span class='notes-film-title'>The Whole Dam Family</span> and the <span class='notes-film-title'>Dam Dog</span> and <span class='notes-film-title'>Coney Island at Night</span> (both 1905), and as a special effect in several films, as well. This use of the camera was said to inspire J. Stuart Blackton&#39;s experiments in his cartoon animation breakthrough, <span class='notes-film-title'>Humorous Phases of Funny Faces</span> (1906), and later, <span class='notes-film-title'>The Haunted Hotel</span> (1907). —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>In the early days of the motion picture, the only way a film could be copyrighted was by treating it as if it were an item of print, like a book. Many of the films made prior to 1915 exist today only because they were copied frame-by-frame onto rolls of photographic paper which were then deposited with the Library of Congress for copyright purposes.  In the 1950s, the Library instituted a program to re-photograph these ""paper print"" rolls back to film.  To economize, most were shot only on smaller-gauge 16mm negative rather than their original 35mm format.  In the 1980s, the Library contracted UCLA to copy again the paper prints--this time to 35mm film--on one of the two original machines constructed three decades earlier for this purpose, which the Archive had acquired.  The quality of the re-photographed paper prints depends on their storage condition over the years and how well the prints were copied to paper originally, some being soft and unsteady, others crisp and appearing practically pristine.—Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/x9/43/c2/21198=z1x943c2/ark%2B=21198=z1x943c2.mp4{},,310,240,454.528,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x943c2/manifest
UCLA Preserved Silent Animation,ark:/21198/z1sj3bps,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/Indoor_Sports_NFPF.mp4,Indoor Sports (Original Silent),pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,International News Corp.,Paul D. Robinson (animator),,,,1920,02m 13s,,,1920,"Based on the newspaper comic panels of Thomas &quot;Tad&quot; Dorgan, this animated cartoon is one of a short series produced in 1920 by William Randolph Hearst&#39;s International Film Service. Tad&#39;s comic strips alternated between <span class='notes-film-title'>Indoor Sports</span> (gags inside the office, drugstore, or pool hall) and Outdoor Sports (taking shots at sports figures and their fans). Dorgan himself is credited with creating the many popular slang expressions used in his comic strips, many of which are still in use today (phrases like &quot;hardboiled,&quot; &quot;dumbbell,&quot; and &quot;drugstore cowboy,&quot; to name but a few). His other comic strips included <span class='notes-film-title'>Johnny Wise</span>, <span class='notes-film-title'>Daffydills</span>, and <span class='notes-film-title'>Judge Rummy</span>. The <span class='notes-film-title'>Indoor Sports</span> strips were published by Hearst&#39;s International Feature Syndicate, which led to their being adapted to the movie screen by Hearst&#39;s own animation studio. Dorgan himself had little to do with the screen adaptations. This particular short was animated by Paul D. Robinson, a budding cartoonist who would go on to fame and fortune as the creator of <span class='notes-film-title'>Etta Kett</span>, a popular comic strip for Hearst&#39;s King Features which ran almost 50 years, from 1925 to 1974.  —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>""Both subjects were preserved in the early 1980s from nitrate prints which remain in good, if today more shrunken, condition.  UCLA has preserved two additional """"Indoor Sports"""" subjects; this is the only one of the three that is a relatively complete subject, with main and end titles intact.  For its more recent preservation efforts, UCLA frequently restores missing title cards by copying them from other sources, when a title is generic, or re-creating them to a semblance of what they should have looked like originally."" —Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/sj/3b/ps/21198=z1sj3bps/ark%2B=21198=z1sj3bps.mp4{},,260,174,133.974,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sj3bps/manifest
UCLA Preserved Silent Animation,ark:/21198/z1ns2m1c,ark:/21198/z1321jdw,,Completed,Work,fata/MPEG4/reencode/Indoor_Sports_P.mp4,Indoor Sports with Piano Accompaniment,pd,,United States,,,,UCLA Film and Television Archive,,,,moving image,International News Corp.,Paul D. Robinson (animator),,,,1920,02m 18s,,,1920,"Based on the newspaper comic panels of Thomas &quot;Tad&quot; Dorgan, this animated cartoon is one of a short series produced in 1920 by William Randolph Hearst&#39;s International Film Service. Tad&#39;s comic strips alternated between <span class='notes-film-title'>Indoor Sports</span> (gags inside the office, drugstore, or pool hall) and Outdoor Sports (taking shots at sports figures and their fans). Dorgan himself is credited with creating the many popular slang expressions used in his comic strips, many of which are still in use today (phrases like &quot;hardboiled,&quot; &quot;dumbbell,&quot; and &quot;drugstore cowboy,&quot; to name but a few). His other comic strips included <span class='notes-film-title'>Johnny Wise</span>, <span class='notes-film-title'>Daffydills</span>, and <span class='notes-film-title'>Judge Rummy</span>. The <span class='notes-film-title'>Indoor Sports</span> strips were published by Hearst&#39;s International Feature Syndicate, which led to their being adapted to the movie screen by Hearst&#39;s own animation studio. Dorgan himself had little to do with the screen adaptations. This particular short was animated by Paul D. Robinson, a budding cartoonist who would go on to fame and fortune as the creator of <span class='notes-film-title'>Etta Kett</span>, a popular comic strip for Hearst&#39;s King Features which ran almost 50 years, from 1925 to 1974.  —Jerry Beck, Senior Film Preservationist, UCLA Film & Television Archive<br><br>""Both subjects were preserved in the early 1980s from nitrate prints which remain in good, if today more shrunken, condition.  UCLA has preserved two additional """"Indoor Sports"""" subjects; this is the only one of the three that is a relatively complete subject, with main and end titles intact.  For its more recent preservation efforts, UCLA frequently restores missing title cards by copying them from other sources, when a title is generic, or re-creating them to a semblance of what they should have looked like originally."" —Jere Guldin, Senior Film Preservationist, UCLA Film & Television Archive",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:fata/pairtree_root/21/19/8=/z1/ns/2m/1c/21198=z1ns2m1c/ark%2B=21198=z1ns2m1c.mp4{},,272,180,138.112,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns2m1c/manifest
