File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Rights.copyrightStatus,Type.typeOfResource,Bucketeer State,IIIF Access URL
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_001.tif,Page,Front cover,1,ark:/21198/n1q90b,ark:/21198/n1q90b/hc14pc37,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fhc14pc37
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_002.tif,Page,Inside front cover,2,ark:/21198/n1q90b,ark:/21198/n1q90b/7g63dd5t,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F7g63dd5t
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_003.tif,Page,Page 1,3,ark:/21198/n1q90b,ark:/21198/n1q90b/m401g90b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fm401g90b
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_004.tif,Page,Page 2,4,ark:/21198/n1q90b,ark:/21198/n1q90b/ct61cs7d,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fct61cs7d
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_005.tif,Page,Page 3,5,ark:/21198/n1q90b,ark:/21198/n1q90b/w794f62w,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fw794f62w
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_006.tif,Page,Page 4,6,ark:/21198/n1q90b,ark:/21198/n1q90b/tk63hn12,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Ftk63hn12
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_007.tif,Page,Page 5,7,ark:/21198/n1q90b,ark:/21198/n1q90b/kn09098q,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fkn09098q
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_008.tif,Page,Page 6,8,ark:/21198/n1q90b,ark:/21198/n1q90b/00704s5c,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F00704s5c
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_009.tif,Page,Page 7,9,ark:/21198/n1q90b,ark:/21198/n1q90b/w804sf39,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fw804sf39
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_010.tif,Page,Page 8,10,ark:/21198/n1q90b,ark:/21198/n1q90b/2883fh43,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F2883fh43
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_011.tif,Page,Page 9,11,ark:/21198/n1q90b,ark:/21198/n1q90b/br55tn2s,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fbr55tn2s
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_012.tif,Page,Page 10,12,ark:/21198/n1q90b,ark:/21198/n1q90b/f994jb2d,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Ff994jb2d
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_013.tif,Page,Page 11,13,ark:/21198/n1q90b,ark:/21198/n1q90b/fk340f37,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Ffk340f37
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_014.tif,Page,Page 12,14,ark:/21198/n1q90b,ark:/21198/n1q90b/tp957k0x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Ftp957k0x
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_015.tif,Page,Page 13,15,ark:/21198/n1q90b,ark:/21198/n1q90b/13064q1f,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F13064q1f
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_016.tif,Page,Page 14,16,ark:/21198/n1q90b,ark:/21198/n1q90b/5d52zd70,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F5d52zd70
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_017.tif,Page,Page 15,17,ark:/21198/n1q90b,ark:/21198/n1q90b/mg538b24,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fmg538b24
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_018.tif,Page,Page 16,18,ark:/21198/n1q90b,ark:/21198/n1q90b/5g26fs48,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F5g26fs48
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_019.tif,Page,Page 17,19,ark:/21198/n1q90b,ark:/21198/n1q90b/tr616099,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Ftr616099
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_020.tif,Page,Page 18,20,ark:/21198/n1q90b,ark:/21198/n1q90b/mw278m6x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fmw278m6x
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_021.tif,Page,Page 19,21,ark:/21198/n1q90b,ark:/21198/n1q90b/x2436m9b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fx2436m9b
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_022.tif,Page,Page 20,22,ark:/21198/n1q90b,ark:/21198/n1q90b/g250mv3x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fg250mv3x
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_023.tif,Page,Page 21,23,ark:/21198/n1q90b,ark:/21198/n1q90b/cv71h977,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fcv71h977
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_024.tif,Page,Page 22,24,ark:/21198/n1q90b,ark:/21198/n1q90b/9d62pt14,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F9d62pt14
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_025.tif,Page,Page 23,25,ark:/21198/n1q90b,ark:/21198/n1q90b/1k13vm5d,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F1k13vm5d
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_026.tif,Page,Page 24,26,ark:/21198/n1q90b,ark:/21198/n1q90b/1496jn92,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F1496jn92
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_027.tif,Page,Page 25,27,ark:/21198/n1q90b,ark:/21198/n1q90b/rw551w6s,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Frw551w6s
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_028.tif,Page,Page 26,28,ark:/21198/n1q90b,ark:/21198/n1q90b/9365c88d,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F9365c88d
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_029.tif,Page,Page 27,29,ark:/21198/n1q90b,ark:/21198/n1q90b/wg541275,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fwg541275
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_030.tif,Page,Page 28,30,ark:/21198/n1q90b,ark:/21198/n1q90b/5696x745,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F5696x745
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_031.tif,Page,Page 29,31,ark:/21198/n1q90b,ark:/21198/n1q90b/r5047k4f,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fr5047k4f
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_032.tif,Page,Page 30,32,ark:/21198/n1q90b,ark:/21198/n1q90b/zf89gt26,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fzf89gt26
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_033.tif,Page,Page 31,33,ark:/21198/n1q90b,ark:/21198/n1q90b/r474vm1w,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fr474vm1w
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_034.tif,Page,Page 32,34,ark:/21198/n1q90b,ark:/21198/n1q90b/f2858443,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Ff2858443
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_035.tif,Page,Page 33,35,ark:/21198/n1q90b,ark:/21198/n1q90b/p122p36n,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fp122p36n
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_036.tif,Page,Page 34,36,ark:/21198/n1q90b,ark:/21198/n1q90b/nt38b762,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fnt38b762
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_037.tif,Page,Page 35,37,ark:/21198/n1q90b,ark:/21198/n1q90b/vr255s9c,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fvr255s9c
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_038.tif,Page,Page 36,38,ark:/21198/n1q90b,ark:/21198/n1q90b/k3689s36,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fk3689s36
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_039.tif,Page,Page 37,39,ark:/21198/n1q90b,ark:/21198/n1q90b/vb899n0c,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fvb899n0c
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_040.tif,Page,Page 38,40,ark:/21198/n1q90b,ark:/21198/n1q90b/2p10x89p,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F2p10x89p
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_041.tif,Page,Page 39,41,ark:/21198/n1q90b,ark:/21198/n1q90b/6p24rk95,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F6p24rk95
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_042.tif,Page,Page 40,42,ark:/21198/n1q90b,ark:/21198/n1q90b/kn595t06,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fkn595t06
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_043.tif,Page,Page 41,43,ark:/21198/n1q90b,ark:/21198/n1q90b/2z47v966,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F2z47v966
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_044.tif,Page,Page 42,44,ark:/21198/n1q90b,ark:/21198/n1q90b/c440604h,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fc440604h
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_045.tif,Page,Page 43,45,ark:/21198/n1q90b,ark:/21198/n1q90b/sc65vh11,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2Fsc65vh11
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_046.tif,Page,Page 44,46,ark:/21198/n1q90b,ark:/21198/n1q90b/4q04wd7n,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F4q04wd7n
Masters/othermasters/dl_toganoo/masters/ucla_2471672/ucla_2471672_047.tif,Page,Page 45,47,ark:/21198/n1q90b,ark:/21198/n1q90b/2q639k5m,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1q90b%2F2q639k5m
