"Object Type","Title","Item ARK","Parent ARK","File Name","Item Sequence","AltTitle.other","collection.physical","Contents note","Date.created","Date.normalized","Description.latitude","Description.longitude","Summary","Format.dimensions","Format.extent","Format.medium","Genre","Language","Local identifier","Thumbnail","Name.creator","Name.subject","Note","Place of origin","Publisher.publisherName","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","Statement of Responsibility","Subject geographic","Subject temporal","viewingHint","Subject topic","IIIF Manifest URL"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 01a","ark:/21198/z1fj4g4j","ark:/21198/z1t45sc2","","","","","","","1960-06-15","","","","","126 pages","","reports","eng","b7617662_commission_v001a","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj4gb7","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fj4g4j/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 02","ark:/21198/z1641p2p","ark:/21198/z1t45sc2","","","","","Witnesses: Grobler (page 65), Xingwana (page 1069), Cawood (page 133)","","1960-04-12","","","","","108 pages","","reports","eng|~|afr","b7617662_commission_v002","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0rcz","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1641p2p/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 02a","ark:/21198/z19w2dt4","ark:/21198/z1t45sc2","","","","","","","1960-06-15","","","","","153 pages","","reports","eng","b7617662_commission_v002a","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2m7c","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19w2dt4/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 03","ark:/21198/z12c0xbz","ark:/21198/z1t45sc2","","","","","Witnesses: Cawood (page 155), van Zyl (page 177), Theron (page 252), Fourie (page 228)","","1960-04-13","","","","","95 pages","","reports","afr","b7617662_commission_v003","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p86bh0","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12c0xbz/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 04","ark:/21198/z1xm0dt6","ark:/21198/z1t45sc2","","","","","Witnesses: Coetzee (page 356), Fourie (page 250)","","1960-04-20","","","","","130 pages","","reports","eng|~|afr","b7617662_commission_v004","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc01hj","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xm0dt6/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 05","ark:/21198/z1st9p3b","ark:/21198/z1t45sc2","","","","","Witness: Labuschagne (pages 370, 450) ","","1960-04-21","","","","","85 pages","","reports","eng|~|afr","b7617662_commission_v005","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m9287s","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1st9p3b/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 06","ark:/21198/z1p28xft","ark:/21198/z1t45sc2","","","","","Witness: Visser (page 454)","","1960-04-22","","","","","64 pages","","reports","eng|~|afr","b7617662_commission_v006","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5sfn","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p28xft/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 07","ark:/21198/z1j985rx","ark:/21198/z1t45sc2","","","","","Witnesses: Heyl (page 510), Fennigan (page 584), Wessels (page 620)","","1960-04-25","","","","","129 pages","","reports","afr|~|eng","b7617662_commission_v007","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz85mt","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j985rx/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 08","ark:/21198/z1dn64bk","ark:/21198/z1t45sc2","","","","","Witnesses: Wessels (page 637), Sturwig page 654), van Niekerk (page 680), Stapelberg (page 715), Fouche (page 731), Litelu (page 751)","","1960-04-26","","","","","133 pages","","reports","eng|~|afr","b7617662_commission_v008","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp15bx","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn64bk/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 09","ark:/21198/z18w5cn9","ark:/21198/z1t45sc2","","","","","Witnesses: Kele (page 764), van der Linden (page 773), Brummer (page 798), Fremantle (page 844)","","1960-04-27","","","","","116 pages","","reports","afr|~|eng","b7617662_commission_v009","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb14v7","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w5cn9/manifest"
