Project Name,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Language,Name.subject,Name.creator,Subject,Type.genre,Relation.isPartOf,Name.repository,Description.adminnote,Alt ID.local,AltTitle.translated,Coverage.geographic,Format.dimensions,Format.extent,Date.creation,Date.normalized,Description.abstract,Description.note,AltTitle.firstLine,AltTitle.descriptive,Opac url,Finding Aid URL,AltTitle.other,Title,Item ARK,IIIF Access URL,IIIF Manifest URL
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,Households--Italy--History--Archival resources,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.XIV.10|~|Box 14, Folder 4",,,27 x 21 cm (10.75 x 8.25 in),55 leaves,"May 14, 1648",1648-05-14,"""Misura stima de lavori di muro fatti ( ... ) per servitio dell'appartamento verso il cortile e della scala del Palazzo [Orsini] a Pasquino [a Roma] dell'Ill.mo et Ecc.mo Sig.r D. Ferdinando Orsini Duca di S. Gemini visti per me Horatio Torriani architetto di S.E.""",,,Inventory of all the moveables contained in the Palazzo Pasquino,,,,Roma - Palazzo a Pasquino. Misura stima de lavori di muro fatti ...,ark:/21198/zz000s63pb,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s63rc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s63pb/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.I.63|~|Box 68, Folder 6",Donation of a piece of land in the territory of Formello by Giovanni Giordano Orsini...,,8 in x 10.75 in,2 pages,"June 8, 1501",1501-06-08,Donazione d'un pezzo di terra nel territorio di Formello da Giovanni Giordano Orsini alla chiesa di S. Maria del Sorbo nel detto tenimento. Atti di Giovanni Baroncelli in Bracciano,,,,,,,Formello 01. Donazione d'un pezzo di terra nel territorio di Formello...,ark:/21198/zz000s7jp2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7jqk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s7jp2/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,Landowners--Italy--History--Archival resources,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.VII.118|~|Box 68, Folder 6","Donation made [by?] Giovanni Giordano Orsini, Duke of Bracciano for a piece of land for the convent and church of S. Maria del Sorbo of Formello.",,8 in x 11 in,12 pages,"October 28, 1601",1601-10-28,,,,,,,,Formello 01. Donazione fatta dall'Ecc.mo D. Giovanni Giordano Orsini Duca di Bracciano d'un pezzo di terreno a favore del Convento e chiesa di S. Maria del Sorbo di Formello.,ark:/21198/zz000s7k9v,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kcw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s7k9v/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,Landowners--Italy--History--Archival resources,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"Box 117, Folder 2|~|I.A.II.106",License to build a house in the Parione Region...,,,8 p.,"May 30, 1537",1537-05-30,,,,,,,,"Roma 02. Antonio Card. de' SS. Quattro chiede licenza di edificare una casa in Regione Parione, attigua alla casa di Girolamo e fratelli Orsini.",ark:/21198/zz000s9b59,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9b6t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s9b59/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,"Landowners--Italy--History--Archival resources|~|Manuscripts, Italian --Italy.",manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.XIV.5|~|Box 118, Folder 3",Privilege granted by Innocent X to Card. Pamphili.,,,,"June 2, 1645",1645-06-02,"Privilegio accordato da Innocenzo X al Card. Panfili [Pamphili] suo nepote di esiggere il piazzatico di palmi 30 di spazio avanti la casa dal d[ett]o Card.e acquistata da Teodosio De Rossi in Piazza Navona, confinante col Palazzo al d[ett]o suo nipote donato da S. Santità.",,,,,,,Roma 07. Privilegio accordato da Innocenzo X al Card. Panfili [Pamphili],ark:/21198/zz0013xhs6,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xj3b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xhs6/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,"Landowners--Italy--History--Archival resources|~|Manuscripts, Italian --Italy.|~|Possession (Law)--Italy--History--Archival resources",manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.XV.23|~|Box 118, folder 4",Duty to Antonio Maria Petrazzani to D. Ferdinando Orsini,,,6 p.,"October 11, 1655",1655-10-11,"Roma 08. Obbligo di Antonio Maria Petrazzani di [scudi] 400 a fav[ore] di D. Ferdinando Orsini per residui di pigione di Piazza Navona, e luoghi di mercato di d[ett]a, ed affitto della Piazzetta di Navona per [scudi] 70 annui a fav[ore del d[ett]o Petrazzani.",,,,,,,Roma 08. Obbligo di Antonio Maria Petrazzani di [scudi] 400 a fav[ore] di D. Ferdinando Orsini,ark:/21198/zz0013xkzr,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xm7c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xkzr/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,"Manuscripts, Italian --Italy.|~|Households--Italy--History--Archival resources",manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"Box 240, Folder 2|~|I.A.I.129",Testament of Alfonsina Orsini widow of the quondam Pietro de' Medici,,,8 p.,"February 6, 1520",1520-02-06,,"Copy, dated 1572.",,,,,,Testamenti 02. Testamento d'Alfonsina Orsini ved[ov]a del q[uonda]m Pietro de' Medici.,ark:/21198/zz0013xm9d,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0gr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xm9d/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,Landowners--Italy--History--Archival resources|~|Italy--Politics and government--1559-1789,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.V.31b|~|Box 29, Folder 2","Judgement of the Bishop of Orte on territorial boundaries between Soriano, Bomarzo and Chia.",,,12 pages,1566,1566,,,,,,,,"Bomarzo 01. Sentenza del vescovo d'Orte sui confini territoriali tra Soriano, Bomarzo e Chia.",ark:/21198/zz002566hh,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566j1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002566hh/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,Landowners--Italy--History--Archival resources|~|Households--Italy--History--Archival resources,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.VI.64|~|Box 240, Folder 3",,,,16 leaves,"July 22/December 24, 1584",1584,,"Testamento di Vicino Orsini con cui provvede per Leonida e Orontea figli naturali legittimati, e Delia, loro madre. Notaio: Francesco Antonio di Celleno.",,,,,,"Testamento di Vicino Orsini, con cui nomina eredi Corradino e Marzio suoi figli legittimi. Onofrio Diamanti notaio",ark:/21198/zz00256v2z,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w3z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256v2z/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,Landowners--Italy--History--Archival resources,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.VI.68|~|Box 240, Folder 3",,,,12 pages,July 7/22 1584,1584,,"Probabile copia contemporanea o di poco più tardi; una copia del 1609. Probably a copy contemporary or slightly later, a copy of 1609.",,,,,,Testamento di Vicino Orsini di Bomarzo Altro foglio con firma autografa [?] del detto Vicino che provvede a figli naturali legittimati.,ark:/21198/zz00256w50,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w6h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256w50/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,text,paged,,,,,ita,,Orsini family,Landowners--Italy--History--Archival resources,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.A.IV.70|~|Box 240, Folder 3",Will and codicil of Giovanni Antonio Orsini Seniore,,,,"May 7, 1561",1561-05-07,,"Notaio: Antonio Massa di Gallesio. E altri strumenti riguardanti lo stesso Giovanni Antonio, e suo nipote Virginio Orsini.",,,,,,Testamento e codicillo di Giovanni Antonio Orsini Seniore,ark:/21198/zz00256wmq,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wpr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256wmq/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,1,In progress,Work,,,,,text,paged,,private,,,ita,,Orsini family,Landowners--Italy--History--Archival resources,manuscripts (document genre),"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"I.C.IV.23|~|Box 29, Folder 2",Brief of Gregory XIII for the legitimacy of Leonid natural son of Vicino Orsini,,,24 pages,"November 20, 1572",1572-11-20,,,,,,,,Bomarzo 01. Breve di Gregorio XIII per la legittimazione di Leonida figlio naturale di Vicino Orsini Signore di Bomarzo,ark:/21198/zz00256wtt,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wwv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256wtt/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,,paged,,,,,,,,,,"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"clus_902_b250_f1_01|~|Box 250, Folder 1, Item 1",,,270 x 190 mm.,,1644,,,,,,,,,Roma. S. Simone e Giuda in Via dei Coronari.,ark:/21198/zz002k6x5f,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6x6z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6x5f/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,,paged,,,,,,,,,,,,Delete note after cataloged: images are srlf scans can not find document with description.Original file namesBaccano_1.tifBaccano_2.tif,,,,,,,,,,,,,,,Baccano_1.tif and  and Baccano_2.tif --srlf scans,ark:/21198/zz000995pv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3fgs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000995pv/manifest
Orsini Family Papers.  Collection 902,ark:/21198/zz000945wq,2,Completed,Work,,,,,,paged,,,,,,,,,,"Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"clus_902_b267_f1|~|Box 267, Folder 1",,,410 x 270 mm.,,1723,,"Registro di proprietà di Filippo Bernualdo Orsini Duca di Gravina, con descrizione della terra, iussi e prerogative, beni feudali e burgensatici, difese, rendite, nuovi acquisti ed altro, con indice.","Materiale Grafico: Contiene un frontespizio con stemma Orsini, una veduta della città di Vallata, e 48 piante e vedute di proprietà degli Orsini in Vallata, a inchiostro e acquarello su carta; 410 x 270 mm.",,,,,,Vallata. Tomo VIII. Platea di Vallata.,ark:/21198/zz002k6vzc,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6w0c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6vzc/manifest
