"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Subject","Name.creator","Name.contributor","Name.interviewer","Name.subject","Name.interviewee","Name.photographer","Name.repository","Language","Alt ID.local","Format.medium","Title","Date.creation","Coverage.temporal","Description.abstract","Publisher.publisherName","Relation.isPartOf","Format.extent","Description.note","Source","Relation.relatedTo","AltTitle.uniform","Description.biographicalNote","Coverage.geographic","Description.tableOfContents","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"American College of Neuropsychopharmacology","ark:/21198/z1z05065","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05065",""
"American College of Neuropsychopharmacology","ark:/21198/z1t747gf","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t747gf",""
"American College of Neuropsychopharmacology","ark:/21198/z1pk266w","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk266w",""
"American College of Neuropsychopharmacology","ark:/21198/z1jt1fg5","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1fg5",""
"American College of Neuropsychopharmacology","ark:/21198/z1f20prr","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20prr",""
"American College of Neuropsychopharmacology","ark:/21198/z1989z3s","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989z3s",""
"American College of Neuropsychopharmacology","ark:/21198/z15h96b0","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h96b0",""
"American College of Neuropsychopharmacology","ark:/21198/z11r8fkt","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8fkt",""
"American College of Neuropsychopharmacology","ark:/21198/z1x07z3v","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07z3v",""
"American College of Neuropsychopharmacology","ark:/21198/z1sb5wsf","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5wsf",""
"American College of Neuropsychopharmacology","ark:/21198/z1nk553z","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_011.tif","11","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk553z",""
"American College of Neuropsychopharmacology","ark:/21198/z1ht4ddp","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_012.tif","12","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4ddp",""
"American College of Neuropsychopharmacology","ark:/21198/z1d23nqq","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_013.tif","13","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23nqq",""
"American College of Neuropsychopharmacology","ark:/21198/z1892x0d","ark:/21198/zz001hm3q9","","","Page","acnp/image/21198-zz001hm3q9-1-master_014.tif","14","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892x0d",""
