"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Subject","Name.creator","Name.contributor","Name.interviewer","Name.subject","Name.interviewee","Name.photographer","Name.repository","Language","Alt ID.local","Format.medium","Title","Date.creation","Coverage.temporal","Description.abstract","Publisher.publisherName","Relation.isPartOf","Format.extent","Description.note","Source","Relation.relatedTo","AltTitle.uniform","Description.biographicalNote","Coverage.geographic","Description.tableOfContents","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"American College of Neuropsychopharmacology","ark:/21198/z1rz1357","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1357",""
"American College of Neuropsychopharmacology","ark:/21198/z1n60bhq","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60bhq",""
"American College of Neuropsychopharmacology","ark:/21198/z1hd9kvb","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9kvb",""
"American College of Neuropsychopharmacology","ark:/21198/z1cn8v3k","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8v3k",""
"American College of Neuropsychopharmacology","ark:/21198/z1806stx","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806stx",""
"American College of Neuropsychopharmacology","ark:/21198/z147622j","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz147622j",""
"American College of Neuropsychopharmacology","ark:/21198/z10g598x","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g598x",""
"American College of Neuropsychopharmacology","ark:/21198/z1vq4ss7","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4ss7",""
"American College of Neuropsychopharmacology","ark:/21198/z1qz423r","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz423r",""
"American College of Neuropsychopharmacology","ark:/21198/z1m639gp","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_011.tif","11","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m639gp",""
"American College of Neuropsychopharmacology","ark:/21198/z1gj1847","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_012.tif","12","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1847",""
"American College of Neuropsychopharmacology","ark:/21198/z1bs0hc2","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_013.tif","13","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0hc2",""
"American College of Neuropsychopharmacology","ark:/21198/z1709rmn","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_014.tif","14","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709rmn",""
"American College of Neuropsychopharmacology","ark:/21198/z13790vv","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_015.tif","15","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13790vv",""
"American College of Neuropsychopharmacology","ark:/21198/z1zg8hck","ark:/21198/zz001nfdx5/pk12hm4w","","","Page","acnp/image/21198-zz001nfdx5-1-master_016.tif","16","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8hck",""
