"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Subject","Name.creator","Name.contributor","Name.interviewer","Name.subject","Name.interviewee","Name.photographer","Name.repository","Language","Alt ID.local","Format.medium","Title","Date.creation","Coverage.temporal","Description.abstract","Publisher.publisherName","Relation.isPartOf","Format.extent","Description.note","Source","Relation.relatedTo","AltTitle.uniform","Description.biographicalNote","Coverage.geographic","Description.tableOfContents","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"American College of Neuropsychopharmacology","ark:/21198/z1qj97f2","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj97f2",""
"American College of Neuropsychopharmacology","ark:/21198/z1ks8gpw","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8gpw",""
"American College of Neuropsychopharmacology","ark:/21198/z1g17qx1","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17qx1",""
"American College of Neuropsychopharmacology","ark:/21198/z1b8707j","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b8707j",""
"American College of Neuropsychopharmacology","ark:/21198/z16h67j8","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h67j8",""
"American College of Neuropsychopharmacology","ark:/21198/z12r5gtj","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5gtj",""
"American College of Neuropsychopharmacology","ark:/21198/z1z05082","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05082",""
"American College of Neuropsychopharmacology","ark:/21198/z1tb2z21","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2z21",""
"American College of Neuropsychopharmacology","ark:/21198/z1pk268s","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk268s",""
"American College of Neuropsychopharmacology","ark:/21198/z1jt1fhm","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1fhm",""
"American College of Neuropsychopharmacology","ark:/21198/z1f20ps6","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_011.tif","11","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20ps6",""
"American College of Neuropsychopharmacology","ark:/21198/z1989z47","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_012.tif","12","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989z47",""
"American College of Neuropsychopharmacology","ark:/21198/z15h96cf","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_013.tif","13","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h96cf",""
"American College of Neuropsychopharmacology","ark:/21198/z11r8fnq","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_014.tif","14","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8fnq",""
"American College of Neuropsychopharmacology","ark:/21198/z1x36nmh","ark:/21198/zz001nf9m2","","","Page","acnp/image/21198-zz001nf9m2-1-master_015.tif","15","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36nmh",""
