"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Subject","Name.creator","Name.contributor","Name.interviewer","Name.subject","Name.interviewee","Name.photographer","Name.repository","Language","Alt ID.local","Format.medium","Title","Date.creation","Coverage.temporal","Description.abstract","Publisher.publisherName","Relation.isPartOf","Format.extent","Description.note","Source","Relation.relatedTo","AltTitle.uniform","Description.biographicalNote","Coverage.geographic","Description.tableOfContents","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"American College of Neuropsychopharmacology","ark:/21198/z1g46fbr","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46fbr",""
"American College of Neuropsychopharmacology","ark:/21198/z1bc5php","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5php",""
"American College of Neuropsychopharmacology","ark:/21198/z16m4xtd","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4xtd",""
"American College of Neuropsychopharmacology","ark:/21198/z12z2whd","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2whd",""
"American College of Neuropsychopharmacology","ark:/21198/z1z62d28","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62d28",""
"American College of Neuropsychopharmacology","ark:/21198/z1tf1ndf","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1ndf",""
"American College of Neuropsychopharmacology","ark:/21198/z1pp0wrm","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0wrm",""
"American College of Neuropsychopharmacology","ark:/21198/z1jx04zc","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx04zc",""
"American College of Neuropsychopharmacology","ark:/21198/z1f49d5x","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49d5x",""
"American College of Neuropsychopharmacology","ark:/21198/z19c8nf6","ark:/21198/zz001hm21g","","","Page","acnp/image/21198-zz001hm21g-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8nf6",""
