File name,Item ARK,Parent ARK,Title,Object Type,Contributor.editor,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,Extent,Institution/Repository,Note.content,Rights.copyrightStatus,Rights.URI,Rights.publicationStatus,Rights.servicesContact,Subject.topic
catc_kwongwahpo_19740619.pdf,ark:/21198/z1c26rsp,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-06-19",Work,,"Havana, (Cuba)",1974-06-19,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19740620.pdf,ark:/21198/z17960z0,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-06-20",Work,,"Havana, (Cuba)",1974-06-20,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19740621.pdf,ark:/21198/z13j5867,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-06-21",Work,,"Havana, (Cuba)",1974-06-21,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19740622.pdf,ark:/21198/z1zs4rsf,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-06-22",Work,,"Havana, (Cuba)",1974-06-22,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19740624.pdf,ark:/21198/z1v42qgr,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-06-24",Work,,"Havana, (Cuba)",1974-06-24,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741119.pdf,ark:/21198/z1qc1ztx,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-19",Work,,"Havana, (Cuba)",1974-11-19,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741120.pdf,ark:/21198/z1km175w,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-20",Work,,"Havana, (Cuba)",1974-11-20,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741121.pdf,ark:/21198/z1fv0gc8,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-21",Work,,"Havana, (Cuba)",1974-11-21,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741122.pdf,ark:/21198/z1b29qkd,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-22",Work,,"Havana, (Cuba)",1974-11-22,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741123.pdf,ark:/21198/z1698zt7,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-23",Work,,"Havana, (Cuba)",1974-11-23,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741125.pdf,ark:/21198/z12j874r,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-25",Work,,"Havana, (Cuba)",1974-11-25,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741126.pdf,ark:/21198/z1xw6f2s,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-26",Work,,"Havana, (Cuba)",1974-11-26,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741127.pdf,ark:/21198/z1t45pd8,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-27",Work,,"Havana, (Cuba)",1974-11-27,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741130.pdf,ark:/21198/z1pc4xq0,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-30",Work,,"Havana, (Cuba)",1974-11-30,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,Some of the text can't be read due to silverfish damage,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741128.pdf,ark:/21198/z1jm4602,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-28",Work,,"Havana, (Cuba)",1974-11-28,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
catc_kwongwahpo_19741129.pdf,ark:/21198/z1dv3f50,ark:/21198/z1f787wx,"Kwong Wah Po, 1974-11-29",Work,,"Havana, (Cuba)",1974-11-29,chi,text,newspapers,4 pages,Casa de Artes y Tradiciones Chinas,Some of the text can't be read due to silverfish damage,,,published,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",Chinese--Cuba|~|Chinese newspapers--Cuba
