Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/zz001d36st,,2,Completed,Collection,,,,,,,,,,,,,,,,,,,,,,,Mental Health Archive,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz001d49ch,ark:/21198/zz001nf3r7,1,In progress,Work,neuropsych/masters/21198-zz001d49ch_772410_master.tif,11,,,,private,,still image,,unknown,,Mental health services--California--Los Angeles County,"Van Horn, Richard",eng,,,,,,UCLA Center for History Culture and Neuroscience,,DMH Archive,Richard Van Horn in 2009,2009,,,,,,"Richard Van Horn, 1939-, is shown here at the time of his oral history interview in 2009.",Richard Van Horn,,,,,,Interview of Richard Van Horn,
Mental Health Archive,ark:/21198/zz001d4mjf,ark:/21198/zz001nf3r7,1,In progress,Work,neuropsych/masters/21198-zz001d4mjf_780183_master.tif,10,,,,private,,still image,,unknown,,National Association for the Mentally Ill NAMI,"March, Stella",,,,,,,UCLA Center for History Culture and Neuroscience,,,Stella March in 2009,2009,,,,,,Stella March is shown here on the occasion of her receiving the NAMI Distinguished Service Award.,Stella March,,,,,,Interview of Stella March,
Mental Health Archive,ark:/21198/zz001dz8zk,ark:/21198/zz001nf3r7,1,In progress,Work,neuropsych/masters/21198-zz001dz8zk_1269234_master.tif,12,,,,private,,still image,,unknown,,Mental Health Services--California--Los Angeles County--Contract Clinics,"Mandel, Susan",eng,,,,,,UCLA Center for History Culture and Neuroscience,,DMH Archive,Susan Mandel in 1999,1999,,,,,,Susan Mandel is shown here about the time of her 20th anniversary as CEO of Pacific Clinics.,Pacific Clinics,,,,,,,
Mental Health Archive,ark:/21198/zz0026vsr8,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026vsr8_1793547_master.tif,16,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Child Psychiatry|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Pasadena Child Guidance Clinic,8/22/1955,,"Pasadena, CA",,8/22/1955,,Woman and child entering the Pasadena Child Guidance Clinic.,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: GUIDANCE AT PASADENA- Here a mother takes her son for treatment to Pasadena Child Guidance Clinic, the only full time clinic in the San Gabriel Valley.",,,
Mental Health Archive,ark:/21198/zz0026vsss,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026vsss_1793073_master.tif,2,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Fairview State Hospital Wood Workshop (Negative),,,California,,,,Male patient at a sanding machine in the hospital's woodworking workshop.  Archive contains a photo negative.,UCLA Special Collections Los Angeles Times Photo Archive,,,,,,,
Mental Health Archive,ark:/21198/zz0026vst9,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026vst9_1793076_master.tif,3,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Fairview State Hospital Seclusion Room (Negative),,,California,,,,Empty seclusion room with a metal cot and opened window.  Archive contains the photo negative.,UCLA Special Collections Los Angeles Times Photo Archive,,,,,,,
Mental Health Archive,ark:/21198/zz0026vsvt,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026vsvt_1793079_master.tif,4,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,"Fitzpatrick, Wanda",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Fairview Patient Battery Case Defendant Wanda Fitzpatrick,5/8/1963,,,,5/8/1963,,,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: DENIES CHARGES- Wanda Fitzpatrick, one of the 13 defendants in battery charges, said workers at Fairview State Hospital for the mentally retarded treat patients ""better than if they were their own children""",,,
Mental Health Archive,ark:/21198/zz0026vswb,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026vswb_1793181_master.tif,5,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mentally ill--Advocacy--California--Los Angeles County,,eng,"Malmin, John",,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Patients Assemble Packets for Mental Health Drive,4/23/1967,,Los Angeles,,,,,UCLA Special Collections Los Angeles Times Photo Archive,,,,Printed caption reads: SHUTDOWN PLANNED- This state mental health center at Santa Monica Boulevard and Normandie Avenue is among those slated to be closed by the state economy cut.  Here patients assemble packets to be distributed during May mental health drive.  This is one of a number of community projects undertaken by patients.,,,
Mental Health Archive,ark:/21198/zz0026vsxv,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026vsxv_1793184_master.tif,6,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive),"Landrum, Dee",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Pacific State Hospital Volunteer Dee Landrum,8/18/1969,,California,,,,,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: SHE'S LUCKY- ""Holding a baby can make you a different person,"" says Dee Landrum, as she cuddles a retarded infant at Pacific State Hospital",,,
