Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/zz001d36st,,2,Completed,Collection,,,,,,,,,,,,,,,,,,,,,Mental Health Archive,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz001d390c,ark:/21198/zz001d36st,1,In progress,Work,,1,,,,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia ",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish,2010,,California,,1920-2010,,,,Mental Health Oral History Interviews 2009-10,,,,,,
Mental Health Archive,ark:/21198/zz001d390c/7050mr6j,ark:/21198/zz001d390c,,,ChildWork,neuropsych/pdf/masters/21198-zz001d390c-2-master.pdf,1,,,,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia ",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 1,2010,,California,,1920-2010,,,,Mental Health Oral History Interviews 2009-10,,,,,,
Mental Health Archive,ark:/21198/zz001d390c/9m13js32,ark:/21198/zz001d390c,,,ChildWork,neuropsych/pdf/masters/21198-zz001d390c-3-master.pdf,2,,,,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia ",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 2,2010,,California,,1920-2010,,,,Mental Health Oral History Interviews 2009-10,,,,,,
Mental Health Archive,ark:/21198/zz001d390c/7s932k2d,ark:/21198/zz001d390c,,,ChildWork,neuropsych/pdf/masters/21198-zz001d390c-4-master.pdf,3,,,,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia ",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 3,2010,,California,,1920-2010,,,,Mental Health Oral History Interviews 2009-10,,,,,,
Mental Health Archive,ark:/21198/zz001d390c/8q39px41,ark:/21198/zz001d390c,,,ChildWork,neuropsych/pdf/masters/21198-zz001d390c-5-master.pdf,4,,,,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia ",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish Part 4,2010,,California,,1920-2010,,,,Mental Health Oral History Interviews 2009-10,,,,,,
Mental Health Archive,ark:/21198/zz001d3c0b,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/pdf/masters/21198-zz001d3c0b-1-master.pdf,2,,,,text,,pd_holder,,Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|Mentally ill--Recovery--California--Los Angeles County,,eng,,"Nelligan, Amanda|~|Meldrum, Marcia ",,"Van Horn, Richard",,UCLA Center for History Culture and Neuroscience,59 p.,DMH Archive,Interview of Richard Van Horn,2009,,Los Angeles County,"Family, Education, and Early Career; Early Involvement with Mental Health America; Advocacy; Provider of Last Resort; DMH Clinics v. Contract Clinics; The Concept of Recovery; AB3777; The Village; AB2034; Building Organizational Ties; Setbacks and Problems; MHSA; Working with DMH; Oversight and Accountability Commission; Memorandum of Understanding; Working with Multiple Agencies; Transformation; Milestones of Recovery; Financing Issues; Working with the MHA Board; Vision for the Future",1939-2009,DMH Oral History Interview with Richard Van Horn,,Los Angeles County Department of Mental Health Archive,,,,"The Rev. Richard van Horn was Chief Executive Officer of Mental Health America in Los Angeles from 1980 through 2009 from 1980 through 2006, the organization name was the Mental Health Association).  He graduated from Harvard in 1961 and earned a Master in Divinity from the General Theological Seminary of New York in 1965.  Ordained as an Episcopal priest and assigned to the Diocese of Los Angeles, he took an extended leave from the Church in 1980 to pursue his work with MHA.  He became an active force in Mental Health Services in Los Angeles, presiding over the creation of the Village, the first Integrated Service Agency, and playing an important role in the passage of the Mental Health Services Act of 2005 (Prop 63).  Although he stepped down from his post as CEO of MHA in 2010, he continued to serve on the MHSA Oversight and Accountability Commission and on other important boards and task forces.",,,
Mental Health Archive,ark:/21198/zz001d3f09,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f09-1-master.pdf,95,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mentally ill--Data--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,4 p.,DMH Archive,Estimates of Prevalence of Persons with Serious Emotional Disturbance and Serious Mental Illness,"July 2004, based on census data","Prevalence of SEI and SMI in LA County by age, ethnicity, gender, education, and poverty level|~|For the initial three-year implementation period, i-e., Fiscal Year {w) 2005-06 through FY 2007-08, a planning estimate for Community Services and Support will be provided to ensure that funding is reserved for each county and the City of Berkeley.",California Counties and city of Berkeley|~|Los Angeles County,,2000-2004,2005-2008 Funds distribution proposal draft|~|LAC Prevalence Tables,,LA County Department of Mental Health -- ASOC Transformation Files,http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3fpn-1-master.pdf|~|2000and2004LACPrevalenceTables,Department of Mental Health--Community of Supports and Services Draft,,,,,
Mental Health Archive,ark:/21198/zz001d3f1t,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f1t-1-master.pdf,26,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,3 p.,DMH Archive,Arcadia ACT Team,2005,,Arcadia CA,,2005,,description of new community-based program at contract clinic (Arcadia),LA County Department of Mental Health -- MHSA Adult Transformation Files,2005ArcadiaACTTeam,,,,,,
Mental Health Archive,ark:/21198/zz001d3f2b,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f2b-1-master.pdf,27,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive,Summary of ASOC Transformation Commitee Meeting on the Retreat,"March 23, 2005","List of people meeting, schedule for activities, and list of talking points for the ASOC retreat taking place March 23, 2005.",Los Angeles County,,"March 23, 2005",,,County of Los Angeles/Department of Mental Health - ASOC Transformation Files,2005ASOCTransfCommitteeMtgonRetreat,,,,,,
