"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Type.typeOfResource","Rights.servicesContact","Name.subject","Name.creator","Description.note","Alt ID.local","Opac url","Title","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz00151t7f","","2","Completed","Collection","","","","","","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Brown, Bob, 1886-1959--Archives|~|Authors, American--20th century--Archives|~|Publishers and publishing--United States","","Bob Brown (1886-1959) was a writer, editor, publisher, and traveler. The collection consists of personal papers, manuscripts (including examples of Brown's visual/conceptual writings), publications, correspondence, photographs, cookbooks and other gastronomic-related items, clippings, and miscellaneous ephemera.","Collection 723","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4230420","Brown (Bob) Papers","Bob Brown papers, 1844-1960","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00151t7f"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz00153gr8","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz00153gr8-1-master.tif","","","","","","text","","Brown, Bob, 1886-1959","","Includes photograph of Robert Carlton Brown. ""His Best Story, 'The Burden of Proof,' Begins in The Times Saturday.","Box 75","","""New Author"" newspaper clipping","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153gr8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00153gr8/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qh9r","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qh9r_734128_master.tif","","","","","","text","","","Brown, Bob, 1886-1959","","Box 107","","Punctuation poem","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qh9r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qh9r/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qjqf","ark:/21198/zz00151t7f","1","In progress","Work","brown/masters/21198-zz0019qjqf_734142_master.tif","","","private","","","text","","","Brown, Bob, 1886-1959","","Box 107","","Punctuation poem 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qjqf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qjqf/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qjrz","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qjrz_734145_master.tif","","","","","","text","","","Brown, Bob, 1886-1959","","Box 107","","So, Those So + So Censors!","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qjrz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qjrz/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qjsg","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qjsg_734148_master.tif","","","","","","text","","","Brown, Bob, 1886-1959","","Box 107","","The eye is the sling","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qjsg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qjsg/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qjt0","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qjt0_734151_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","Page from Brazilian American","Box 110","","Bob and Rose Brown","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qjt0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qjt0/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qjvh","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qjvh_734154_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob and Rose Brown seated at desks in an office [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qjvh","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qjvh/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qjw1","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qjw1_734157_master.tif","","","","","","still image","","","","View of ""Brazilian American"" office building from the street.","Box 110","","Brazilian American [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qjw1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qjw1/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qjxj","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qjxj_734167_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qjxj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qjxj/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk02","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk02_734176_master.tif","","","","","","still image","","","","","Box 110","","Bob Brown [?] and boy riding horses [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk02","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk02/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk1k","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk1k_734182_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown with a girl, a boy and a dog [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk1k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk1k/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk23","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk23_734187_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk23","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk23/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk3m","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk3m_734191_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk3m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk3m/manifest"
