File name,local ID,Streaming URL,Original language title,English translation of title,Alternative title,Creator,Contributor,Publisher,Publisher.place,volume/year,issue,Date.created,Date.created (single),Date.created (start),Date.created (end),Language | code,Language | code,Language | code,TypeOfResource,Genre,Extent,Dimensions,Medium,Insitution/Repository,collection name,collection number,box number,folder number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract | eng,Abstract,Note.content | eng,Note,Note.content,Subject.topic,Subject.temporal,Note.Keywords,Subject.place,Digital Collection Title,Latitude/longitude
arcers0125_a.mp3,RS0299,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0125_a.mp3/playlist.m3u8,पाबूजी री वार्ता - बांकाराम,Pabuji ri Par' or the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa,,"Kothari, Komal","Bhil, Bankaram| Bhil, Jeevaram",,,,,"May 28, 1983",1983-05-28,,,Marwari | mwr,,,sound recording,sound recordings,47 min. 58 sec.,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","Performance of 'Pabuji ri Par', or the epic of Pabuji, sung and narrated by Bankaram Bhopa and Jeevaram Bhopa of the Bhil community with Goojari accompaniment. Pabuji ri Par is a ritual narrative sung with a painted scroll which depicts the life of Pabuji, a pastoral deity",,1. An episode from the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa with Goojari accompaniment. The episode consists of Pabuji marrying his sister to the Khichi of Jayal as a way to resolve the family feud between the Khichis and Rathaurs. The episode mostly contains narration of various preparatory rituals performed for the wedding of Pabuji's sister Pema and Jindrav Khichi of Jayal.. This episode is known as 'Sushiya ro parvaro'. The narration alternates between the sung couplets known as 'Gaav' and the spoken explanation and elaboration of it known as 'Arthav'.,,,"Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Bowed stringed instruments--Bowing| Stringed instruments| Stringed instrument players| Storytelling| Folk literature, Rajasthani| Folklore| Tales--India--Rajasthan| Ballads, Rajasthani| Ritual| Pastoral poetry",,Oral Epic | Katha | Gatha | Pabuji | Bhopa | Ravanhatha | Goojari,"Hathitala, District Barmer, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"25.5834° N, 71.4328° E"
arcers0125_b.mp3,RS0299,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0125_b.mp3/playlist.m3u8,पाबूजी री वार्ता - बांकाराम,Pabuji ri Par' or the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa,,"Kothari, Komal","Bhil, Bankaram| Bhil, Jeevaram",,,,,"May 28, 1983",1983-05-28,,,Marwari | mwr,,,sound recording,sound recordings,48 min. 15 sec.,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","Performance of 'Pabuji ri Par', or the epic of Pabuji, sung and narrated by Bankaram Bhopa and Jeevaram Bhopa of the Bhil community with Goojari accompaniment. Pabuji ri Par is a ritual narrative sung with a painted scroll which depicts the life of Pabuji, a pastoral deity",,1. An episode from the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa with Goojari accompaniment. The episode consists of Pabuji marrying his sister to the Khichi of Jayal as a way to resolve the family feud between the Khichis and Rathaurs. The episode mostly contains narration of various rituals performed during the wedding of Pabuji's sister Pema and Jindrav Khichi of Jayal. This episode is known as 'Sushiya ro parvaro'. The narration alternates between the sung couplets known as 'Gaav' and the spoken explanation and elaboration of it known as 'Arthav'.,,,"Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Bowed stringed instruments--Bowing| Stringed instruments| Stringed instrument players| Storytelling| Folk literature, Rajasthani| Folklore| Tales--India--Rajasthan| Ballads, Rajasthani| Ritual| Pastoral poetry",,Oral Epic | Katha | Gatha | Pabuji | Bhopa | Ravanhatha | Goojari,"Hathitala, District Barmer, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"25.5834° N, 71.4328° E"
arcers0126_a.mp3,RS0339,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0126_a.mp3/playlist.m3u8,कथा - अमरा जी की कही,A story narrated by Amaraji ,,"Kothari, Komal","Gameti, Amararam| Kothari, Komal",,,,,"February 01, 1984",1984-02-01,,,Marwari | mwr,,,sound recording,sound recordings,40 min. 31 sec. ,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","A story or a Katha narrated by Amararamji of the Gameti community from Undri village of District Udaipur, Rajasthan. Side B of this tape is blank.",,"1. A story or a Katha narrated by Amararamji of the Gameti community from Undri village of District Udaipur, Rajasthan.",,Side B of this tape is blank. Levels have been normalized.,"Folk Songs, Rajasthani--India--Rajasthan| Storytelling| Tales--India--Rajasthan| Oral Tradition| Folklore| Folk literature, Rajasthani",,Katha | Bat | Gameti,"Undri, Tehsil Gogunda, District Udaipur, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"24.7703° N, 73.4910° E"
arcers0128_a.mp3,RS0367,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0128_a.mp3/playlist.m3u8,बगड़ावत,Episodes from the epic of Bagrawat,,"Kothari, Komal","Chamar, Godhuram| Chamar, Kalu| Chamar, Nathuram| Chamar, Modaram| Chamar, Deviram",,,,,"February 24, 1984",1984-02-24,,,Marwari | mwr,,,sound recording,sound recordings,48 min. 3 sec.,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","A performance of the epic of Bagrawat led by Godhuram Chamar with Dholak and Manjira accompaniment. This is in the 'Baithi varta' style of performance where the Bhopa singers and narrators perform seated with musical accompaniment of Jantar or Dholak and Manjira, without the painted scroll or 'Par' in the background.",,"1. An episode from the epic of Bagrawat performed by Godhuram Chamar and group with Dholak and Manjira accompaniment. The episode consists of the Bagrawat brothers deciding to rescue Rani Jaimati from the King of Ran. Once they arrive and settle in the royal gardens of Ran, Jaimati and her servant Heera test their intelligence by asking about the 'meaning of flowers'. This episode is therfore known as 'Phoolon ka arth'.",,,"Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Storytelling| Tales--India--Rajasthan| Folklore| Ballads, Rajasthani| Folk literature, Rajasthani| Pastoral poetry",,Oral Epic | Katha | Gatha | Bagrawat | Bhopa | Dholak | Manjira,"Nimbahera, District Chittorgarh, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"24.6412° N, 74.6847° E"
arcers0128_b.mp3,RS0367,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0128_b.mp3/playlist.m3u8,बगड़ावत,Episodes from the epic of Bagrawat,,"Kothari, Komal","Chamar, Godhuram| Chamar, Kalu| Chamar, Nathuram| Chamar, Modaram| Chamar, Deviram",,,,,"February 24, 1984",1984-02-24,,,Marwari | mwr,,,sound recording,sound recordings,48 min. 7 sec. ,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","A performance of the epic of Bagrawat led by Godhuram Chamar with Dholak and Manjira accompaniment. This is in the 'Baithi varta' style of performance where the Bhopa singers and narrators perform seated with musical accompaniment of Jantar or Dholak and Manjira, without the painted scroll or 'Par' in the background.",,"1. An episode from the epic of Bagrawat performed by Godhuram Chamar and group with Dholak and Manjira accompaniment. The episode consists of Rani Jaimati being satisfied by the answers to her questions given by Newaji, one of the central Bagrawat brothers in the epic. Jaimati, having agreed to elope with the Bagrawat brothers, now tricks the King of Ran by creating a magical wild boar which entices the King to leave the palace for a hunt. On the way to Gothan with the Bagrawat, Jaimati repeatedly tests the Bagrawat brothers' powers, intelligences and commitment to herself.",,,"Folk Songs, Rajasthani--India--Rajasthan| Ballad| Storytelling| Tales--India--Rajasthan| Oral Tradition| Folklore| Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Storytelling| Tales--India--Rajasthan| Folklore| Ballads, Rajasthani| Folk literature, Rajasthani| Pastoral poetry",,Oral Epic | Katha | Gatha | Bagrawat | Bhopa | Dholak | Manjira,"Nimbahera, District Chittorgarh, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"24.6412° N, 74.6847° E"
arcers0129_a.mp3,RS0372,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0129_a.mp3/playlist.m3u8,गमेती व मेघवाल,Songs of the Gameti and Meghwal community from Ishwana village,,"Kothari, Komal","Gameti, Shankar",,,,,"March 01, 1984",1984-03-01,,,Marwari | mwr,,,sound recording,sound recordings,48 min. 18 sec.,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com",Recording of Bhajans sung by Shankar and others of the Gameti community from Ishwana village in Rajasthan. Bhajans are devotional songs usually addressed to or in praise of  a particular god or diety.,,"1. 'Sewak uba sarana me' a Bhajan sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 2. 'Bhai dekho devra ri shobha', a wedding song sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 3. Recording of a ritual at a fair with loud dhol and thali percussion with background noise and conversations. 4. 'Mhari boli chali ra guna maaf' a Bhajan sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 5. 'Gorakh devji bole amrit vani', a Bhajan sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 6. 'Gopichand ka geet', sung by a group of women of the Meghwal community with Dhol accompaniment. ",,Audio volume fluctuation in the entire tape.,"Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Ritual| Krishna (Hindu deity)--In the performing arts| Devotional poetry| Wedding music",,Devotional music | Bhajan | Gameti | Meghwal | Dholak | Manjira,"Ishwana, Tehsil Rajgarh, District Alwar, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"27.2648° N, 76.6923° E"
arcers0129_b.mp3,RS0372,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0129_b.mp3/playlist.m3u8,गमेती व मेघवाल,Songs of the Gameti and Meghwal community from Ishwana village,,"Kothari, Komal",,,,,,"March 01, 1984",1984-03-01,,,Marwari | mwr,,,sound recording,sound recordings,20 min. ,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com",Recording of songs sung by a group of women of the Meghwal community at a fair or a ritual site. The recording also contains interview of people at the fair conducted by Komal Kothari and ritual percussion of Dhol and Thali.,,"1. 'Nadi re kinare ubo re', a song sung by a group of women of the Meghwal community. 2. 'Kate pode mhara dulha raja', a wedding song sung by a group of women of the Meghwal community. 3. An interview of a man from Ishwana village, conducted by Komal Kothari. The interview is about agricultural practices in the different villages around. A group of women are singing in the bakcground. 4. Dhol and Thali percussion . ",,Silence at the end from 20:00 to 24:36 has been edited.,"Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Interviews| Devotional poetry| Wedding music| Rajasthan (India)--Social life| Sociology, rural| Land use, Rural",,Meghwal | Dhol | Thali,"Ishwana, Tehsil Rajgarh, District Alwar, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"27.2648° N, 76.6923° E"
arcers0130_a.mp3,RS0373,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0130_a.mp3/playlist.m3u8,"भजन, रूपांदे री वेल",Bhajans and other devotional songs including 'Rupande ri vel' from the ballad of Tolade,,"Kothari, Komal",,,,,,"March 01, 1984",1984-03-01,,,Marwari | mwr,,,sound recording,sound recordings,48 min. 25 sec.,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","Devotional songs, Bhajans and songs from the ballad of Tolade sung by a group of male and female singers with Tandura, Dholak and Manjira accompaniment. ",,"1. 'Heli mhari poonam wali rain', a Kabir Heli sung by a group of singers led by a male singer, with Tandoora, Dholak and Manjira accompaniment. 2. 'Ap gurusa avjo', a Bhajan dedicated to the saint poet Meera, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 3. 'Rupande ri vel', a devotional and narrative song from the ballad of Tolade, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 4. Another episodic song from the ballad of 'Tolade', sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 5. 'Bhai mhara veera re', a wedding song, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 6. 'Sayal odo ghar aave', a devotional song, sung by a male singer, with Tandura, Dholak and Manjira accompaniment. 7. 'Santa ra aasan laga', a devotional song, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 8. 'Dam dam damru baje', a Bhajan dedicated to Shiva, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment.",,Tape skips from 10:39 - 23:04 on the source recording. Could not be corrected.,"Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Stringed instruments| Stringed instrument players| Ballads, Rajasthani| Wedding music| Devotional poetry",,Tandura | Dholak | Manjira | Bhajan | Devotional music | Kabir | Meera | Tolade | Heli,Rajasthan (India),Recordings of Hereditary Musicians of Western Rajasthan,
arcers0130_b.mp3,RS0373,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0130_b.mp3/playlist.m3u8,"भजन, रूपांदे री वेल",Bhajans and other devotional songs including 'Rupande ri vel' from the ballad of Tolade,,"Kothari, Komal",,,,,,"March 01, 1984",1984-03-01,,,Marwari | mwr,,,sound recording,sound recordings,48 min.,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","Devotional songs, Bhajans and songs from the ballad of Tolade sung by a group of male and female singers with Tandura, Dholak and Manjira accompaniment. ",,"1. 'Manaro lagyo mala me', a devotional song, sung by a group of singers led by a male singer, with Dholak and Manjira accompaniment. 2. 'Edi re bhakta me bheed', a Bhajan dedicated to Ram, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 3. 'Apke karaniye sanvariyo', a Bhajan dedicated to Krishna, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 4. 'Mhara ramji aave', a Meera Bhajan, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 5. Recording of ambient sounds of Dhol, Surnai, Bhajan and Arti singing at a ritual fair. 6. Instrumental melody played on the flute with Dholak accompaniment. 7. Interview of various people at the fair, conducted by Komal Kothari. 8. 'Arti utar charanamat lijo' an Arti sung by two female singers with Dhol accompaniment. 9. 'Mandir jati Meera', a Meera Bhajan sung by a group of women with Dhol accompaniment. 10. 'Ado avsar koni ave re', a song sung by a group of male singers with Tandura, Dholak and Manjira accompaniment. 11. Bhajan sung by a group of women at the fair. 12. 'Shakti thari nam re' a Bhajan dedicated to Shakti, the female deity, sung by two male singers with Dholak and Manjira accompaniment. 13. A Meera Bhajan sung by two male singers with Dholak and Manjira accompaniment. 14. 'Meera hari re nam ri', a Meera Bhajan, sung by two male singers with Dholak and Manjira accompaniment. ",,,"Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Stringed instruments| Stringed instrument players| Devotional poetry| Krishna (Hindu deity)--In the performing arts| Wind instruments| Ritual| Interviews",,Tandura | Dholak | Manjira | Dhol | Surnai | Bhajan | Devotional music | Meera,Rajasthan (India),Recordings of Hereditary Musicians of Western Rajasthan,
arcers0131_a.mp3,RS0389,https://wowza.library.ucla.edu/dlp/definst/mp3:rajasthanmusic/arcers0131_a.mp3/playlist.m3u8,पांडून के कड़े / जच्चा के गीत,Episodes from the Ballad of 'Pandoon ke Kade' and childbirth songs sung by musicians of the Jogi community from the Mewat region of Rajasthan.,,"Kothari, Komal","Jogi, Badan Khan| Jogi, Kamruddin| Jogi, Samaysingh| Jogi, Jahoor Khan",,,,,"March 08, 1984",1984-03-08,,,Mewati | wtm,,,sound recording,sound recordings,47 min. 46 sec.,,audio cassette,Rupayan Sansthan,Rupayan Audio-Visual Archive,,,,unknown,unpublished,"Rupayan Sansthan, rupayansansthan@gmail.com","An episode from the ballad of 'Pandoon ke Kade', which is related to the epic of Mahabharat, narrated and sung by musicians of the Jogi community of Mewat region of Rajasthan. ",,"1. An episode from the ballad of 'Pandoon ke Kade', which is related to the epic of Mahabharata, sung and narrated by Samaysingh Jogi, Jahoor Khan Jogi, Badan Khan Jogi and Kamruddin Jogi with Harmonium, Sarangi, Dholak and Bhapang accompaniment. In the episode, Krishna defeats Babra Bhan, who would have been a threat to the Pandavs in the battleground. Meanwhile, Arjun, after pleading Bhishma, his grandfather, to not fight, finally kills Bhishma in the battleground through his arrow. The narration alternates between sung couplets known as 'Gav' and spoken elaboration of it known as 'Arthav'.",,"Tone sound at 22:59. Speed variation from 39:43 to 42:12, leading to pitch fluctuation.","Folk songs, Rajasthani--India--Rajasthan| Oral tradition| Stringed instruments| Bowed stringed instruments--Bowing| Stringed instrument players| Ballads, Rajasthani| Storytelling| Folklore| Folk literature, Rajasthani",,Jogi | Harmonium | Dholak | Jogiya Sarangi | Bhapang | Pandoon ke Kade | Katha | Gatha,"Laxmangarh, Tehsil Lachhmangarh, District Alawar, Rajasthan (India)",Recordings of Hereditary Musicians of Western Rajasthan,"27.3733° N, 76.8558° E"
