Project Name,Parent ARK,Item ARK,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Subject,Name.subject,Author,Name.creator,Name.correspondent,Name.interviewee,Name.compiler,Coverage.geographic,Name.sponsor,Rights.servicesContact,Rights.rightsHolderName,Name.repository,Name.photographer,Name.interviewer,Language,Alt ID.local,Format.dimensions,Date.normalized,Description.note,Relation.isPartOf,Title,Date.creation,Format.extent,Description.caption,Alt ID.issueNo,Description.contents,AltTitle.uniform,Description.latitude,Description.longitude,Alt ID.oclc,Finding Aid URL,Description.abstract,Opac url,AltTitle.other,IIIF Access URL,IIIF Manifest URL
Bunche (Ralph J.) Papers.  Collection 2051,,ark:/21198/zz0009gvc3,Collection,,,,,still image|~|text,,,,,,,Statesmen--United States--Archival resources|~|Civil rights workers--United States--Archival resources,"Bunche, Ralph J. (Ralph Johnson), 1904-1971--Archives|~|United Nations--Officials and employees, American--Archival resources|~|Myrdal, Gunnar, 1898- --American dilemma",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"University of California, Los Angeles. $b Library Special Collections",,,,Bunche (Ralph J.) Papers.  Collection 2051,,1927/1971,"Bunche was born in Detroit, MI, on Aug. 7, 1904; AB, UCLA, 1927; AM, 1928, and Ph.D, 1934, Harvard Univ.; professor at Howard Univ. from 1929-1950, and at Harvard, 1950-1952; in 1948 joined Permanent Secretariat of UN; undersecretary for special political affairs, UN, 1958-67; became undersecretary general in 1968; awarded Nobel Peace Prize in 1950; died in NY, on Dec. 9, 1971.",,Bunche (Ralph J.) Papers,1927-1971,,,,,,,,38095597,http://www.oac.cdlib.org/findaid/ark:/13030/tf8r29p24k,"Collection consists of correspondence, speeches, manuscripts, articles, publications, and photographs related to the life and career of Ralph J. Bunche. Includes materials related to his teaching and research, his affiliations with various organizations and conferences, and his participation in The Negro in America project spearheaded by Gunnar Myrdal. Includes materials on Africa: photographs, field notes, US Office of Strategic Services (OSS) reports, and Institute of Pacific Relations documents. Also materials related to Bunche’s involvement with the United Nations , including UN records and materials dealing with his appointment as undersecretary of the UN in 1954. There are two boxes of materials on Bunche’s receipt of the Nobel Peace Prize in 1950, and material from Joan Bunche and Brian Urquhart’s notes from the biography he wrote, Ralph Bunche : an American life.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=709517,Ralph J. Bunche Papers,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0009gvc3
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017b0rg,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|Race discrimination--Washington (D.C.),"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,Washington (D.C.),,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 106, Folder 2|~|uclamss_2051_b2_f9_1",28 x 23 cm.,1936-05-19,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1936 May 19, Washington D.C. to Mr. Charles B. Dulcan, Vice-President, Hechts Department Store, Washington D.C.","May 19, 1936",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017b0th,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017b0rg/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017jpsb,Work,,,,,text,paged,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 339, Folder 4|~|uclamss_2051_b43_f1_1",22 x 14 cm.,1926/1927,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The Young Negro,"" given in Los Angeles (draft)",1926 or 1927,30 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jptv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017jpsb/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017jvcj,Work,,,,,text,paged,,,,fliers (printed matter),unknown,Labor movement--United States--Congresses|~|Working class--United States--Social conditions--Congresses,,,,,,,Doylestown (Pa.),"United Consumers Cooperative (Philadelphia, Pa.)",,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 434, Folder 4|~|uclamss_2051_b43_f23_4",28 x 22 cm.,1935-07-15/1935-07-29,Digitization took place as part of the California Cultures Project.|~|Ralph Bunche is among the speakers listed.,http://calcultures.cdlib.org,"Work and Play at the Workers Institute : Ralph Bunche, speaker","July 15 to July 29, 1935",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017knvb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017jvcj/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017jvr7,Work,,,,,text,paged,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",Blacks--Africa--Social conditions,Morgan State College,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,Great Britain--Colonies--Africa--Race relations|~|France--Colonies--Africa--Race relations,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 340, Folder 14|~|uclamss_2051_b43_f37_5",21 x 13 cm.,1939,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, given at Morgan College, relating observations on the status of the Negro in French and British colonial Africa (draft)",1939,11 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jvt8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017jvr7/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017k0jh,Work,,,,,text,paged,,,,fliers (printed matter),"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|Race discrimination--Washington (D.C.)|~|Boycotts--Washington (D.C.),Hechts (Department store),,,,,,,National Negro Congress (U.S.). Washington Youth Committee,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 434, Folder 10|~|uclamss_2051_b43_f45_6",22 x 14 cm.,1936-06-11,Digitization took place as part of the California Cultures Project.|~|Includes hand-written notes about the speakers and topics,http://calcultures.cdlib.org,"Mass Meeting for United Action Against the Hecht Store : Dr. Ralph J. Bunche, presiding","June 11, 1936",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017k0k1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017k0jh/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017k5qh,Work,,,,,text,paged,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.","African Americans--Civil rights|~|Scottsboro Trial, Scottsboro, Ala., 1931",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 339, Folder 17|~|uclamss_2051_b43_f53_7",15 x 10 cm.,1936-02-10,Digitization took place as part of the California Cultures Project.|~|Handwritten points to address in speech,http://calcultures.cdlib.org,"Speech, Scottsboro rally, Vermont Ave. Baptist Church (draft)","February 10, 1936",5 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017k7r0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017k5qh/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017kbd8,Work,,,,,text,paged,,,,letters (correspondence),unknown,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations Conference on International Organization (1945 : San Francisco, Calif.)|~|Stettinius, Edward R. (Edward Reilly), 1900-1949",,,"Stettinius, Edward R. (Edward Reilly), 1900-1949",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 109, Folder 6|~|uclamss_2051_b100_f14_1",23 x 18 cm.,1945-04-19,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1945 April 19, the Secretary of State, Washington D.C. to Mr. Ralph Bunche, Acting Associate Chief, Division of Dependent Area Affairs","April 19, 1945",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kd22,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kbd8/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017kftx,Work,,,,,text,paged,,,,memorandums,"Regents of the University of California, UCLA Library.",African Americans--Social conditions|~|Race discrimination--United States|~|Segregation in transportation--United States,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 111, Folder 6|~|uclamss_2051_b101_f6_1-1",28 x 22 cm.,1947-03-12,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Memorandum to Dr. Victor Hoo regarding discriminatory action (""Jim Crow"") aboard the Pennsylvania-Southern Railroad train en route to Atlanta, Georgia from New York City","March 12, 1947",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kfvf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kftx/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017kfwz,Work,,,,,text,paged,,,,fliers (printed matter),unknown,"African Americans--Civil rights|~|Scottsboro Trial, Scottsboro, Ala., 1931",,,,,,,,Scottsboro Defense Committee,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 339, Folder 17|~|uclamss_2051_b43_f53_8",21.5 x 14 cm.,1936-02-10,"Digitization took place as part of the California Cultures Project.|~|Flyer announcing a rally in support of the ""Scottsboro Boys."" Ralph Bunche was one of the featured speakers at the rally.",http://calcultures.cdlib.org,Save the Scottsboro Boys flyer,"February 10, 1936",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kfxg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kfwz/manifest
