"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Original language title","Translated Title","Alternative title","Creator","Contributor","Publisher","Publisher.place","Date.created","Date.created (single)","Language | code","TypeOfResource","Genre","Extent","Dimensions","Insitution/Repository","collection name","collection number","box number","folder number","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Abstract | eng","Note.content","Subject.topic","Subject.temporal","Digital Collection Title","Latitude/longitude","Subject.place","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0001.tif","Page","Page 1","1","ark:/21198/z1m63krk","ark:/21198/z10s1q0w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1q0w",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0002.tif","Page","Page 2","2","ark:/21198/z1m63krk","ark:/21198/z1w116hw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w116hw",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0003.tif","Page","Page 3","3","ark:/21198/z1m63krk","ark:/21198/z1rb955w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb955w",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0004.tif","Page","Page 4","4","ark:/21198/z1m63krk","ark:/21198/z1mk8dh2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk8dh2",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0005.tif","Page","Page 5","5","ark:/21198/z1m63krk","ark:/21198/z1gt7nts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7nts",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0006.tif","Page","Page 6","6","ark:/21198/z1m63krk","ark:/21198/z1c26x3s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26x3s",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0007.tif","Page","Page 7","7","ark:/21198/z1m63krk","ark:/21198/z1796583","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1796583",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0008.tif","Page","Page 8","8","ark:/21198/z1m63krk","ark:/21198/z13j5djc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5djc",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0009.tif","Page","Page 9","9","ark:/21198/z1m63krk","ark:/21198/z1zs4x40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4x40",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0010.tif","Page","Page 10","10","ark:/21198/z1m63krk","ark:/21198/z1v42vr0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42vr0",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0011.tif","Page","Page 11","11","ark:/21198/z1m63krk","ark:/21198/z1qc243z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc243z",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0012.tif","Page","Page 12","12","ark:/21198/z1m63krk","ark:/21198/z1km1cf4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km1cf4",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0013.tif","Page","Page 13","13","ark:/21198/z1m63krk","ark:/21198/z1fv0mnh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0mnh",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0014.tif","Page","Page 14","14","ark:/21198/z1m63krk","ark:/21198/z1b29vw3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29vw3",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0015.tif","Page","Page 15","15","ark:/21198/z1m63krk","ark:/21198/z169944q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz169944q",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0016.tif","Page","Page 16","16","ark:/21198/z1m63krk","ark:/21198/z12j8cff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j8cff",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0017.tif","Page","Page 17","17","ark:/21198/z1m63krk","ark:/21198/z1xw6kcg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6kcg",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0014_0018.tif","Page","Page 18","18","ark:/21198/z1m63krk","ark:/21198/z1t45tqz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45tqz",""
