"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Original language title","Translated Title","Alternative title","Creator","Contributor","Publisher","Publisher.place","Date.created","Date.created (single)","Language | code","TypeOfResource","Genre","Extent","Dimensions","Insitution/Repository","collection name","collection number","box number","folder number","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Abstract | eng","Note.content","Subject.topic","Subject.temporal","Digital Collection Title","Latitude/longitude","Subject.place","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0001.tif","Page","Page 1","1","ark:/21198/z1pv8kv0","ark:/21198/z11r8r9z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8r9z",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0002.tif","Page","Page 2","2","ark:/21198/z1pv8kv0","ark:/21198/z1x087r2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x087r2",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0003.tif","Page","Page 3","3","ark:/21198/z1pv8kv0","ark:/21198/z1s77h1r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s77h1r",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0004.tif","Page","Page 4","4","ark:/21198/z1pv8kv0","ark:/21198/z1ng6rdc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6rdc",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0005.tif","Page","Page 5","5","ark:/21198/z1pv8kv0","ark:/21198/z1hq60rx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq60rx",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0006.tif","Page","Page 6","6","ark:/21198/z1pv8kv0","ark:/21198/z1d23zdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23zdd",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0007.tif","Page","Page 7","7","ark:/21198/z1pv8kv0","ark:/21198/z18936qh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18936qh",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0008.tif","Page","Page 8","8","ark:/21198/z1pv8kv0","ark:/21198/z14j2fxw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j2fxw",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0009.tif","Page","Page 9","9","ark:/21198/z1pv8kv0","ark:/21198/z10s1q54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1q54",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1973_h_0051_0010.tif","Page","Page 10","10","ark:/21198/z1pv8kv0","ark:/21198/z1w116np","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w116np",""
