Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.illuminator,Language,Author,AltTitle.other,Description.note,Date.creation,Summary,Date.normalized,Description.adminnote,Description.contents,Condition note,Illustrations note,Description.colophon,Description.history,Binding note,Format.extent,Alt ID.local,Format.dimensions,Relation.isPartOf,AltTitle.uniform,Place of origin
Manuscript No. 6 Commentaries on the Four Gospels/A.D. 1648,Armenian Manuscripts,ark:/21198/zz0025nrv7,ark:/21198/zz0009gx2d,Work,paged,,,text,Manuscripts|~|Illuminations,pd,,"University of California, Los Angeles. Library. Department of Special Collections",,arm,,Meknut’iwn Srboy Avetaranin,,1648,,1648,,,"Fairly good state of preservation. Apart from damaged binding, a large number of leaves are moth-eaten, but there is no damage to the written text; some leaves have been repaired.","The MS is illustrated with one small, one-column headpiece (fol. 1v), four incipit pages  (fol. 8v, 156, 295, and 428), 149 marginal ornaments, and 156 decorative initials. These illuminations are all crisply executed in various shades of the same magenta ink, with reserved blank paper as highlights. The incipit pages, which mark the four main divisions of the text, follow the pattern of Cilician Gospel illuminations: a carpet-like design fills the upper half of the page, its bottom frame broken by an archway of enframing the title of the text, in orange or black bolorgir. A symmetrical palmette extends the length of the outer margin. The text itself begins with several lines of ornamental writing. The letters of the first line are formed by birds. One to three lines of orange or magenta yerkatagir intervene before the black bolorgir of the text resumes. The first letter of the commentary on Luke (fol. 295) is formed by an ox, the symbol of the evangelist; similarly, the first letter of the commentary on John (fol. 428) is formed by an eagle, again the symbol of the evangelist. The marginal ornaments mark the subdivision throughout the commentaries. Eighty-six of these ornaments are palmettes, 43 are flowers, 19 are formed by birds, and one is a cross interlaced with floral designs. The decorative initials, which accompany the marginal ornaments, are mostly in the form of a bird and a fish; one is formed by triple birds; one by a bird with a human head; and one consists of floral designs. There are also 17 ornate initials. Systematically, the forms of most of the ornaments and initials follow Cilician traditions, although a few floral motifs (e.g. fols. 109, 137, 326v, 356) have stronger parallels in the delicate floral marginalia of 16th and 17th century Persian manuscripts.",Fol.  422-422v. Principal colophonFol. 553.  Colophon in minuscule bolorgirFol. 101.  In lower margin in notragirFol.  108v.  In lower margin in bolorgirFol. 111v .  In lower margin of first column (left blank) in notragirFol. 153v.  In lower margin in bolorgirFol. 339.  On last line of second column in bolorgir.Fol. 353.  On last line of column one in bolorgir.Fol. 453v. In lower margin in notragir.Fol. 461.  In lower margin in notragir.,"According to the principle colophon (fol. 422-422v.), the MS was written by the priest Poghos in the year 1097 of the Armenian era (=A.D. 1648) at the church of Surb Yakobay Mcbnay (St. James of Nisibis) in the village of (Nor) Jugha (=New Julfa) in Aspahan (=Isfahan). The book was commissioned by Baron Poghos, son of Baron Sarhat and Gulberikhan and grandson of Khojay Israel and Mertatik. The scribe states that he commenced the writing of the book on the day Israyel, the son of the commissioner Baron Poghos, was born. The latter’s name recurs in a colophon on fol. 553.As indicated earlier, five folios had impressions of a seal that were deliberately cut out, and one has a seal mark that is partially erased. These seals probably bear the name of the individual who at one time owned the codex.According to a notice written in pencil on fol. 554v, the book was purchased by Dr. Minassian from Mesrovb Dawt’ian for 800 rials.","Rebound, probably in the 19th century. Only detached lower board remains. It is pasteboard, covered with light brown calfskin, with some gold-tooling. No endbands remain. Red, blue, and gray marbled paper pastedown.  Head, fore-edge, and tail marbled in same pattern as pastedown. Textblock split in two at spine, which is heavily glued. Sewn on five cords recessed into shallow notches, but sewing not visible. Some marginal decorations have been cut into, indicating that the edges were trimmed during rebinding.",554 folios,,23.5X18 cm.,,,
"Manuscript No. 33:  Liturgical Texts, A.D. 1460-61",Armenian Manuscripts,ark:/21198/zz0026hvq7,ark:/21198/zz0009gx2d,Work,paged,,,text,Manuscripts,pd,,"University of California, Los Angeles. Library. Department of Special Collections",,arm,,,"Text in bolorgir, written in one column of 16 lines. Subtitles in bolorgir, and initials throughout the text in erkat’agir in red or magenta. The two opening lines of the “Canon of Baptism” (fol. 108v) are in magenta and red erkat’agir, respectively. Fifteen quires, usually 12 leaves each, numbered with the letters of the Armenian alphabet, written in bolorgir in the ipper or lower margin of the page.",1460-61 A.D.,,1460/1461,,"The codex is a defective copy of Armenian liturgical texts: a Calendar of Feasts (Tonats’oyts’), a Guide to Gospel Readings (Avetaranats’oyts’), and a Ritual Book (Mashtots’). Its principle divisions are as follows:I. Calendar of FeastsFols. 1-5v. Blank. (Presentation of Jesus in the Temple. The beginning of the text is missing.)Fols. 5v-10v. Shrove Tuesday.Fols. 10v-29. Eve of Palm Sunday.Fols. 29-50v. Eve of the First Sunday.Fols. 50v-55v. Dormition of Theotokos.Fols. 55v-70. Eve of the Exaltation of the Holy Cross.Fols. 70-71. Mesedis of the Lord’s Birth.Fol. 71-71v. Mesedis for the feast of martyrs.Fols. 71v-72v. Mesedis for the Days of Peitence.Fols. 72v-73. Mesedis of the Resurrection.Fols. 73v-86v. Introits.II. Guide to Gospel ReadingsFols. 87-93v. (Reading from the Gospel of Matthew for the Marys, healing, and repose.)Fols. 93v-101. (Reading from the Gospel of Mark for the Marys, healing, and repose.)Fols. 101-102. (Reading from the Gospel of Luke for repose.)Fols. 102-108v. (Reading from the Gospel of John for the Marys, healing, and rpose.)III. Ritual BookFols. 108v-129v. Canon of Baptism.Fols. 129v.-136. Canon of Holy Communion.Fols. 136-148. Canon of blessing of a home.Fols. 148-154. Canon of Jesus’ Presentation in the Temple.Fols. 154-157v. Canticle for Easter.Fols. 158-160. Hymn for Easter.Fols. 160-162. Principle colophon, dated A.D. 1460-61.Fols. 162-164. (Text without title).","Fair state of preservation. Besides the missing upper cover and the spine, the book has been extensively damaged by the fire and dampness. Fols. Missing at the beginning and end of the book; there are also lacunae between fols. 33 and 34, 43 and 44, 56 and 57, 64 and 65, 65 and 66.",,Fols. 160-162. Principle colophon.Fol. 100. In the lower margin.,"According to the principle colophon (fols. 160-162), the codex was written by the monk Maghagiay, son of Jandar and Mink’ir, at the monastery of Goghgoda (Golgotha) in the village of Yurc, located in the district of Ayrarat. It was executed during the khanate of Jahansha (Jihanshah); the writing was begun toward the end of the year 909 of the Armenian Era (= A.D. 1460) and completed in the early part of the year  910 (=A.D. 1461). There are no inscriptions indicating the later history of the book, Nor is there information as to when and from whom it was acquired by Dr. Minasian, whose library stamps are found on fol. 43 and on the inside of the back cover.","Unusual book, made in a horizontal instead of vertical format (that is, the book is wider than it is high); however, the script is oriented parallel to the spine (the short side). Traditional Armenain binding otherwise. Upper board lacking. Lower board of dark brown leather over wood cut with a horizontal grain. Spine leather lacking, and spine lined with white cloth. No fore-edge flap. One hole on lower board may be evidence of a single clasp, now wanting. Traditional red, white and black silk raised endbands, very deteriorated. Blue-green cloth lines inside board. Edges darkened. Three loops as board attachment; three notches. No evidence of rebinding.",164 folios,,13x5.5 cm.,,"Tonatsʻoytsʻ, Avetaranats'oyts, Mashtots'",
"Manuscript No. 85:  MS 85. Menologium (Fragments), A.D. 1882",Armenian Manuscripts,ark:/21198/zz0026w2rk,ark:/21198/zz0009gx2d,Work,paged,,,text,Manuscripts|~|Illuminations,pd,,"University of California, Los Angeles. Library. Department of Special Collections",,arm,,,"Text in modern sheghagir, written in two columns of 52-59 lines each. Subtitles in sheghagir. The first line on page 2 of the text is in red erkat ‘agir; the first line on page 29 is in bird letters, and the second in black erkat ‘agir. The quires are not numbered. Because of the many lacunae throughout the text, the number of leaves in the gatherings cannot be determined.",1882 A.D.,,1882,,"The codex represents fragments from a copy of the Armenian Menologium (Yasmawurk‘), preceded by five leaves not related to this ritualistic book. The readings that have survived are as follows:Pages 1-2.  “Sēr” (treatise on love).Pages 2-5. (Brief biographies of the twelve apostles and the seventy-two disciples).Pages 5-6. St. Simeon Stylites. Pages 6-7. St. Gerasimus. Pages 7-10. St. Serapion and Abba Marcus.Pages 10-12. St. Marcus of Rome.Pages 12-13. The blessed Alexianus.Pages 13-14. Pope Gregory of Rome and his pupil Peter. Pages 14-16. Presentation of Jesus in the Temple.Pages 16-17. St.Sandukht.Pages 17-18. Peter the Merciless. Pages 18-19. The blessed Theodore.Pages 19-20. The 160 Virgins in the region of Antioch.Pages 20-21. St. Erinea the Virgin.Pages 21-22. St. Cyriacus and Urbath.Pages 22-23. St. Boniface (of Rome).Pages 23-25. St. Anthony the Anchorite.Pages 25-27. Emperor Theodosius.Pages 27-29. St. Athanasius, Patriarch of Alexandria.Pages 29-32. The Nativity of Christ.Pages 32-33. St. Andronicus and his wife Athanasia.Pages 33-35. Annunciation to Mary the Theotokos. Pages 35-37. Resurrection of Christ and All Souls’ Day.Pages 37-39. The Twelve Vardapets.Pages 40-42. St. Hṛip‘simē and the 34 Virgins.Pages 42-44. St. Gayanē and her companions.Pages 44-45. St. Ephrem Syrus.Pages 45-46. John the Precursor. (Lacuna between pages 46 and 47.)Page 47. The Nativity and Circumcision of Christ. Pages 47-48. Martyrdom of the 20,000.Pages 48-49. Vision of St. Gregory the Illuminator.Pages 49-51. Feast of the Holy Cross of Varag.Pages 51-54. Dormition of the Virgin Mary.Pages 55-56. Prophet Jeremiah (incomplete at the end; lacuna between the pages 56 and 61.)Pages 61-62. St. Clement the Pontiff.Pages 62-63. John and James, Sons of Thunder.Pages 63-65. St. James of Nisibis.Pages 65-66. Prophet David; James the Apostle.Page 66. St. Stephen.Pages 66-69. St. Gregory the Illuminator.Pages 69-70. King Abgar.Pages 70-73. St. Basil (of Caesarea).Pages 73-74. St. Sergius the General.Pages 74-76. Barsuma the Hermit.Pages 76-78. St. George.Pages 78-80. St. Nicholas the Pontiff.Pages 80-82. The Apostle Matthew.Pages 82-83. St. Philippicus and Mary.Pages 83-87. St. Gregory of Agrigentum.Page 87. St. Gregory Thaumaturgus,Pages 87-89. The Apostle Andrew.Pages 89-90. St. Barbara.Pages 90-91. St. Stephen.Pages 91-93. Paul the Hermit.Pages 93-94. Saints Minas, Ermogine, and Grabos.Page 95. St. Ignatius the Patriarch.Pages 95-97. King Constantine.Page 97. St Shushan.Page 98. St. Gregory of Narek.Page 99. St. John the Almoner.Pages 100-102. Martha and Gaspar.Page 102. St. Minas the Egyptian.Page 102. St. Antonimus the Hermit.Page 102. St. Victor.Page 103. St. Porphyrius.Pages 103-104. Bishop Akifsimus, Joseph the Priest, and Aethalus the Deacon.Page 104. St Phitinus (?)Pages 104-105. Joshua, son of Nun.Pages 105-106. St. Simeaon Stylites.Pages 106-107. St. Mamona.Page 107. St. Khantugh (incomplete at the end; lacuna between pages 107 and 108).Pages 108-109. St. Oskan and his companions.Pages 109-110. St. Eustachius and his wife and two children.Pages 110-111. Prophet Elijah (incomplete at the end).Pages 112-113, 115. (Stray leaves; texts unknown).Page 114. Colophon, dated A.D. 1882.","Due to defective binding, the leaves are loose. Some folios have been damaged by dampness, and others have suffered wear and tear.","The illuminations of these fragments consist of 57 decorative initials which mark the individual readings of the Menologium. Fifty-five of these initlas are bird-form and floral initials; the other two (pages 22 and 25) are human-form initials.The hurried script and cramped margins of this text hardly suggest a luxury book, and illuminated initlas are entirely lacking for long passages (e.g., pages 38-62, 74-90). The initials seem to be the work of the scribe. They are all drawn in short, nervous strokes of black ink over penciled drawings. The repertoire of motifs is large, ranging from rather traditional bird-form initials (e.g. pages 1 and 2) to similar initials in which the dove-like birds lack the sharp liveliness of traditional Armenian examples. Floral initials throughout (e.g., pages 2 and 63) are composed of delicate sprays, rather more like the alphabets of William Morris than the bold geometry of the Armenian tradition. The two figural initials also suggest a debt to the Gothic Revival of the English Arts and Crafts movement.",Page 114. Principle colophon.The following are written by the scribe at the end of readings:Page2. Page 10. Page 10. Page 17. Page 19. Page 47. Page 55. Page 78. Page 82. Page 83. Page 94. Page 99. Page 102. V 102. Page 103. Page 107.,"From the colophon on page 114 we learn that the codex to which these fragments belonged was written by a priest who here calls himself Kirakos Vardan, as well as Kirakos Tēr  Yakobian. In the prayers written at the end of several readings, the scribe also refers to himself as Kirakos Vardan Tēr Kirakosian, or merely as Kirakos; the only exception is on page 55, where he signs his name as Kirakos Vardan Tēr Kirakos Tēr Yakobian. We also learn from the colophon that Kirakos wrote the codex in two weeks, April 14-27, in 1882, and that it was intended for his own use. The date 1882 is also recorded at the end of eight readings; in one of these, Kirakos states that he “wrote [this] on November 15, 1882” (page 83), which suggests that he may have written this page or reading after he had completed the writing of the book. At the end of the reading on page 82, however, Kirakos has, in addition to recording his name, given the date 1880; this is obviously an inadvertent error, for everywhere else the date of execution of the codex is stated to be 1882.In the colophon on page 114 Kirakos refers to himself as a “lowly servant of Surb Astuatsatsin (Holy Theotokos), but fails to mention the location of this church. We can perhaps asuume that the reference is to the church of Surb Astuatsatsin at New Julfa in Isfahan, which was built by Khōja  Awetik‘  in 1612/13. (See Tēr Yovnaniants‘  , Patmut‘ iwn, 2:191; Carswell, New Julfa, 41-42). If this assumption is valid, we can conclude that the book was written at the church of Surb Astuatsatsin at New Julfa in 1882.There are no inscriptions indicating the later history of the codex, nor is there any information as to when and from whom it was acquired by Dr.  Minasian.","None; single leaves only. Large watermark on paper: “1888”, a large shield with “LESCHALLAS” written across it diagonally, three fleur-de-lis in upper right and three crescent moons in lower left. Above the coat-of-arms is a profile of a horse’s or donkey’s head holding three plants (thistles?) in its mouth.",115 pages,,32.5x20.5 cm.,,Yasmawurk‘,New Julfa
"Manuscript No. 49: Grigor Tat‘ewats‘i’s Book of Sermons: Volume II, Amaran, A.D. 1630",Armenian Manuscripts,ark:/21198/zz0026w2q2,ark:/21198/zz0009gx2d,Work,paged,,,text,Manuscripts|~|Illuminations,pd,,"University of California, Los Angeles. Library. Department of Special Collections",,arm,,,"Text in notragir, written in two columns of 44 lines each. Subtitles written in red notragir; opening lines of individual homilies usually in purple or red bolorgir, and initials throughout the text in red notragir Thirty-one quires numbered with the letters of the Armenian alphabet, written in notragir in the lower margin of the page. The gatherings are of 12 leaves each, excepting quire 17, which has only 10 leaves",1630 A.D.,,1630,,"Fols. 1-5. Index to the homilies in Volume II. (Fol. 5v is blank.)Fols. 6-352v. Texts of the homilies, dealing with (1) Psalm 27:11. (2-4) Ten Commandments. (5) The plagues in Egypt. (6) Hosea’s dream. (7) Counsel to all mankind. (8-11) On the Ascension. (12-21) Pentecost. (22-24) The Lord’s prayer. (25-26) Faith. (27) Faith, hope, and love. (28) Hope. (29-30) Love. (31) Virtue. (32) Prudence. (33) Wisdom. (34-35)Valorous deeds. (36) Husbandman. (37) Idleness. (38) Sleeping. (39) Marriage. (40-42) Righteousness. (43) Just measures and weights. (44) False accusations. (45) Seven sacraments. (46) Baptism. (47-48) Holy Communion. (49) Divine Liturgy. (50) Ordination. (51) Priesthood. (52)Ascetics. (53-55) Priesthood. (56-57)Nuptials. (58-69) Sins, slander, and passion. (70)Patience. (71) Mockery. (72) Pride and humility. (73) Jealousy. (74-76)Greed, avarice, and gluttony. (77) Drunkenness. (78) Satanic temptations. (79-80) Fornication. (81) Idolatry. (82) Untimely death. (83) Evil day. (84) Distress. (85) Punishment. (86-88) Penitence. (89-91) Confession. (92-99) Prayer. (100) Blessing of food. (101-105) Prayer. (106) Joyfulness and sadness. (107) Fasting. (108-112) The poor and almsgiving. (113-118) The church and congregation. (119-123) Virgins. (124-125) The rich man. (126-127) Deception, and the rich and the poor.  (128) Patriarchs and prelates. (129-130) Vardapets. (131-132) Youth. (133) Judges. (134) Feast of Peter and Paul. (135) The 72 disciples. (136) The Apostle Bartholomew. (137) The Tabernacle. (138-142) Transfiguration. (143-147) Dormition of the Theotokos. (148) Birth of the Virgin Mary. (149-153) The Holy Cross. (154-157) Martyrs. (158-160) The Archangels. (161-167) Death. (168-177) Consolation. (178) The Antichrist. (179) The Resurrection. (180-181) Pentecost. (182-183) Judgment Day. (184) All Saints. (185-186) Heavenly glory. (187) Divine Liturgy. (188) Blessing of bread. (189) Counsel. (190) Confession. (191) False pride. (192) Death of a bishop or prelate. Fol. 352v. Colophon by Grigor Tat‘ewats‘i, dated A.D. 1407.Fols. 353-366v. Homilies by other authors (nos. 193-199).Fols. 366v-377. Colophon, dated A.D. 1630.Fols. 367-374. Subject index of the homilies in alphabetical order. (Folios missing at the end.)Fols. 375-378v. Blank, except for fol. 377v, which has an index in modern hand.|~|The codex is a copy of Volume II, entitled “Amaran”, or “Summer Volume” (Amaran Hator), of Grigor Tat‘ewats‘i’s two-volume “Book of Sermons” (K‘arozgirk‘). For details concerning the compilation of this volume and its predecessor, the “Dzmeran” or “Winter Volume”, see MS 48. (The text of Volume II was published in Grigor Tat‘watsi’, Girk‘ K‘arozut‘ean or Kochi Amaran Hator (Constantiniople, 1741); see also Oskanyan, Hay Girk‘, 368-369 (no. 462).)Fol.  352v of the present codex reproduces Grigor Tat‘ewats‘i’s own colophon, written at the monastery of Tat‘ew in A.D. 1407, explaining the circumstances which prompted him to compile his homilies in two volumes. The colophon informs us that the first volume, Dzmeran Hator, comprising  160 homilies, deals with themes beginning with the Nativity and concluding with the Resurrection of Christ; the second volume, Amaran Hator, consisting of 192 homilies, deals with themes beginning with the Ascension and concluding with the Second Coming of Christ, as well as those drawn from Psalms, Isaiah, Proverbs, the Song of Songs, the Gospels, and the Apostolic Epistles. The present codex contains a total of 199 homilies; of these, 192 are the work of Grigor Tat‘ewats‘i. In providing here the contents of the book we have, for purposes of brevity and economy, omitted the full folio numbers and have indicated only the themes of the homilies. As remarked above, fol. 377 should directly follow fol. 366. The principle divisions of the codex are as follows:","Even though many leaves have been damaged by dampness, the MS is in a fairly good state of preservation. Fol. 377 has been misbound; it should have followed fol. 366. One or more leaves of the index at the end are missing.","The codex is illustrated with one half-page carpet headpiece (fol. 6) and four one-column ribbon headpieces (fols. 1, 259v, 269v, and 284v) with corresponding tubular initials which mark the beginning of individual homilies. The scant illuminations in this manuscript is crisp and competent. The pages were ruled before the illumination and, at least in the case of the marginal palmettes and initials, written out beforehand. Most motifs are centered on the vertical red or magenta lines which define the columns. The impressive grid of tightly marshalled buds making up the carpet headpiece on fol. 6 was also laid out over these lines.The ruling are in various shades of red, ranging from magenta to almost orange. The illuminations are done in blue and a shade of red which contrasts with the rulings; usually, it is more magenta.","Fol. 352v Colophon by Grigor Tat‘ewats‘i.Fols. 366v, 377. Principle colophon.On inside front cover in modern hand.Fol. 139. Fol. 159. Fol. 190v. Fol. 199. Fol. 199v. Fol. 200. Fol. 299v. Fol. 230v. Fol. 230v. Fol. 365v. Fol. 366v.","According to the principle colophon (fols. 366v-377), the book was written by the scribe T‘oros, son of Barkhudar and Sh‘nofor, at the behest of “the great pedagogue [rabunapet] and theologian/vardapet Lukas”, son of Grigor and P‘ashay. The codex was executed at the churches of Surb Astuats‘ats‘in (Holy Theotokos) and Surb T‘oros (St. Theodore) in the city of Lonia (that is, Konya) in the year 1079 of the Armenian Era (= A.D. 1630). The scribe mentions the names of several monks belonging to his own monastic congregation; he also refers with gratitude to “our spiritual mother, mahtesi Sult‘an, who labors much to prepare food and beverages for us and all the children” of God. The epithet mahtesi used in reference to Sult‘an indicates that she had made the pilgrimage to Jerusalem.The scribe T‘oros makes entreaties to God in more than a dozen instances throughout the text, written either at the end of individual homilies or below the titles of homilies; however, only in two instances (fols. 139 and 159) does he mention his name.Several inscriptions provide information concerning the later history of the codex. One of these (fol. 230v) indicates that the codex was purchased in 1871 by an individual named Karapet Martirosian; another (fol. 190v), however, claims that the same individual purchased it on November 2, 1877. A partially legible inscription (fol. 229v) states that the book was acquired by a vardapet named Martiros of Aleppo. This cleric is probably the same indivudual who stamped his seal on fol. 6, but only the last two syllables of his name (=tiros) and the first two digits of the date are legible. A notice on fol. 199, dated May 3, 1884, informs us that Archbishop Grigoris of New Julfa in Isfahan ordained Grigoris Step‘anian as a priest. A partially legible inscription on the inside front cover hears the signature of Minas Matirosian of Mamuk‘ay. Finally, there are six stamped seals in the codex (one on fol. 1v, two on fol. 6, two on fol. 239, and one on fol. 366v); but except for the seal probably belonging to Martiros Vardapet, all are illegible.According to a notice on fol. 230v, Dr. Minasian acquired the codex on September 16, 1947, as a gift from the priest Grigoris and Suren P‘anosian and their children and grandchildren. These donots were from Mamuk‘ay, located in the district of Charmahal in the Iranian province of Isfahan.","Worn brown leather over pasteboards; boards damaged at edges. Upper board almost completely detached. Evidence of blind-tooling at border using a tiny roll, otherwise undecorated. Spine rebacked with brown leather, now damaged. No evidence of fore-edge flap or clasps. Endbands not raised. Secondary sewing consists of red and green silk (?) woven into chevron design, similar to an Islamic endband. Paper pastedowns. Edges uncolored. Five sewing stations with V-notches. Board attachment appears to be typical loops. Gutter repairs are evidence of rebinding. Traditional Armenian structure, except for unusual endbands (which may have been done when the book was rebound) and the use of pasteboards.",378 folios,,27x19.5,,"K‘arozgirk‘, Amaran Hator",Konya
Manuscript No. 51,Armenian Manuscripts,ark:/21198/zz002gxc8f,ark:/21198/zz0009gx2d,Work,paged,,,text,Manuscripts,pd,,"University of California, Los Angeles. Library. Department of Special Collections",,arm,,,,,,,,,,,,,,,,,,,
Manuscript No. 13 Nerses Lambronac'i's Commentary on the Divine Liturgy,Armenian Manuscripts,ark:/21198/zz00256zs8,ark:/21198/zz0009gx2d,Work,paged,,,text,Manuscripts|~|Illuminations,pd,,"University of California, Los Angeles. Library. Department of Special Collections",,arm,"Nerses, of Lambron, Saint, 1153-1198",Meknutʻiwn pataragamatoyc' aghotic'n/ Nersēs Lambronatsʻi,,A.D. 1811,"Text in modern sheghagir (fols. 1-19) and notragir (19-128), written in different hands in one column of 26 lines (fols. 1-20v), then in 31 lines (fols. 21-128). Subtitles in red bolorgir or notragir, and large initials in red erkat'agir. Althoug the blank pages at the end of the codex suggest that the text was copied in a bound book, the scribe has written the letters of the Armenian alphabet in the lowe margins of some pages (e.g. fols 4v and 5), conveying the impression that they are the numbers of the quires; actually, however, they do not correspond to the gatherings, the scribe has also numbered the pages of the codex with Arabic numerals.According to the colophon (fol. 128), the  MS was written at Madras, India in 1811. The priest Grigor Ter Hayrapetian, who wrote this colophon, states that the codex was copied partly bu himself and partly by others, whom he does not name.Nerses Lambronac'i (1153-98), one of the most outstanding clerical authors in Cilician Armenia, is the author of numerous commentaries, homilies, treatises, hymns, encomias, and other works. He also traslated commentaries and canonical, liturgical, and other religious texts from Greek and Latin. His ""Commentary on the Divine Liturgy,"" written in 1177, was published in Jerusalem in 1842 and at Venice in 1847.",1811,,"The MS is a copy of the ""Commentary on the Divine Liturgy"" by Nerses Lambronac'i. The text is divided into 82 chapters. The principal divisions of the book are as follows:Fols. 1-2v. Index to the Commentary of Prayers of the Divine Liturgy by Nerses Lambronac'i) (fol. 3-3v is blank.)Fols. 4-128.  Text of the Commentary, divided into 82 chapters.Fol. 128.  Colophon dated A.D. 1811.Fols. 128v-140v.  Blank.","Good state of preservation. The inks of thetext have bled, affecting its legibility.","The illustrations in this codex consist of one headpiece and 70 decorative initials. The headpiece (fol. 4) is unfinished; it was sketched out in pencil, and the frame is outlined in red ink. The large initial of the opening line of text on this page is formed by a peacock. The decorative initials throughout the book are labored attempts at traditional Cilician forms.  They are drawn in lead pencil and finished either in the red and black inks used for the text (e.g. fols. 1, 4v, 8), or in blue- and apricot- colored pencils (e.g., fols. 16v, 17v, 18). Several initials were not completed (e.g., 35, 35v). The majority of the initials have ornate designs; others are formed by birds.",Fol. 128. At the end of the text of the Commentary in bolorgir.,,"Not a traditional Armenian binding. Executed in 19th century. Brown/red sprinkled leather over pasteboards. No tooling except on spine, where eight gold-tooled horizontal decorative lines divide tje spine into seven panels. Red and white silk endbands, with bead on the edge. Poor pastedown. Blue sprinkled edges. Sewn on four raised cords; no notches. Watermark: (1805"" and crown with pipe and fleur-de-lis.","140 fols. : paper, ill.",,22 x17 cm. (9 x 7 in.),,Commentary on The Divine Liturgy,
Manuscript No. 13: front cover,Armenian Manuscripts,ark:/21198/zz000911td,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz000911td-1-master.tif,1,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: inside front cover [pastedown],Armenian Manuscripts,ark:/21198/zz000911vx,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz000911vx-1-master.tif,2,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: endsheet recto [blank page],Armenian Manuscripts,ark:/21198/zz000911wf,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz000911wf-1-master.tif,3,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: endsheet verso [blank page],Armenian Manuscripts,ark:/21198/zz000911xz,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz000911xz-1-master.tif,4,text,,,,,,,,,,,,,,,,,,,,,,,,,
