Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.servicesContact,Type.typeOfResource,Name.repository,Type.genre,Name.creator,Title
Gilbert (Herschel Burke) Collection,ark:/21198/zz000n8zrp,,2,Completed,Collection,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,Gilbert (Herschel Burke) Collection
Gilbert (Herschel Burke) Collection,ark:/21198/zz000n93kg,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000n93kg-1-master.wav,1,,,,,sound recording-musical,,,"Gilbert, Herschel Burke",1 The Bandit Reel 1 10-6
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nmcnd,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000nmcnd-1-master.wav,2,,,,,sound recording-musical,,,"Gilbert, Herschel Burke",2 The Bandit Reel 2 10-6
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nmcpx,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000nmcpx-1-master.wav,4,,,,,sound recording-musical,,,"Gilbert, Herschel Burke",4 Bard Stereo Album
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nmz6w,ark:/21198/zz000n8zrp,2,Completed,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000nmz6w%2Fc953wd8n,,sound recording-musical,,,,6 Commanche Reel 1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nn37s,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000nn37s-1-master.wav,6,,,,,sound recording-musical,,,,7 Commanche Reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nn389,ark:/21198/zz000n8zrp,2,Completed,Work,,7,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000nn389%2Ft239g906,,sound recording-musical,,,,8 Commanche Reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nn39t,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000nn39t-1-master.wav,8,,,,,sound recording-musical,,,,9 Commanche Reel 4
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nn3cv,ark:/21198/zz000n8zrp,2,Completed,Work,,9,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000nn3cv%2F8752830f,,sound recording-musical,,,,10 Commanche Reel 5
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nn3fw,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000nn3fw-1-master.wav,10,,,,,sound recording-musical,,,,12 Commanche Reel 7
