Item ARK,Parent ARK,Object Type,Visibility,File Name,Item Sequence,Title,Thumbnail,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Alt ID.local
,,Work,,,,Manuscript and Inscription Letters,,,,,,"Johnston, Edward, 1872-1944|~|Gill, Eric, 1882-1940",,Offset and lithograph on paper,"For schools & classes & for the use of craftsmen by Edward Johnston with 5 plates by A.E.R. Gill (Portfolio No.2, “School copies & Examples). Second impression, revisited.",1911-1912,1911/1912,"variable, in a folder measuring 10 x 12”",CEG1583
,,Page,,eric_gill/image/CEG1583.tif,1,Page 1,,letterforms,,,,"Johnston, Edward, 1872-1944|~|Gill, Eric, 1882-1940",,Offset and lithograph on paper,"For schools & classes & for the use of craftsmen by Edward Johnston with 5 plates by A.E.R. Gill (Portfolio No.2, “School copies & Examples). Second impression, revisited.",1911,1911,"variable, in a folder measuring 10 x 12”",CEG1583
,,Page,,eric_gill/image/CEG1583_2.tif,2,Page 2,,letterforms,,,,"Johnston, Edward, 1872-1944|~|Gill, Eric, 1882-1941",,Offset and lithograph on paper,"For schools & classes & for the use of craftsmen by Edward Johnston with 5 plates by A.E.R. Gill (Portfolio No.2, “School copies & Examples). Second impression, revisited.",1912,1912,"variable, in a folder measuring 10 x 12”",CEG1583
,,Work,,,,A.L.S. from H.S. Sanders-Clark,,letters (correspondence),,,,"Sanders-Clark, H.S.",,Ink on paper,"A.L.S. from H.S. Sanders-Clark to Romney Green relative regarding a carving of the coat of arms, crest and motto of Haberdasher’s Hall to be carved on the back of Master’s chair. This item is boxed with CEG530-531.",1931 December 31,1931-12-11,5 x 8”,CEG2299
,,Page,,eric_gill/image/CEG2299.tif,1,Page 1,,letters (correspondence),,,,"Sanders-Clark, H.S.",,Ink on paper,"A.L.S. from H.S. Sanders-Clark to Romney Green relative regarding a carving of the coat of arms, crest and motto of Haberdasher’s Hall to be carved on the back of Master’s chair. This item is boxed with CEG530-531.",1931 December 31,1931-12-11,5 x 8”,CEG2299
,,Page,,eric_gill/image/CEG2299_2.tif,2,Page 2,,letters (correspondence),,,,"Sanders-Clark, H.S.",,Ink on paper,"A.L.S. from H.S. Sanders-Clark to Romney Green relative regarding a carving of the coat of arms, crest and motto of Haberdasher’s Hall to be carved on the back of Master’s chair. This item is boxed with CEG530-531.",1932 December 31,1931-12-12,6 x 8”,CEG2299
,,Work,,eric_gill/image/CEG426.tif,,Untitled [War Memorial Cross at Trumpington],,religious art|~|drawings,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"War Memorial Cross at Trumpington Camb., in memory of those who fell in the Great War 1914-1918. Two sketches for the west panel of the cross. See Physick 185.",,1921,,CEG426
,,Work,,eric_gill/image/CEG427.tif,,Untitled,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,Design for a decorative carving (circular) for over doorway of a church or public building. Signed “E.G. 10.6.’15” Heightened in gray.,1915 June 10,1915-06-10,5 ½ x 7 ¼”,CEG427
,,Work,,eric_gill/image/CEG428.tif,,Cross in Wimbledon Cemetery,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"In pencil, front & side views with detailed size & textural notes. Signed EG, Oct 1916.",1916 October,1916-10,10 x 11 ¾”,CEG428
,,Work,,eric_gill/image/CEG429.tif,,"Jack Nye cross in Portland Stone, S. Andrews Churchyard, Burgess Hill",,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Working drawing in pencil, 3 views, with detail measurement annotations. Signed EG. March 26, 1917.",1917 March 26,1917-03-26,13 ½ x 17”,CEG429
