Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Subject,Type.genre,Coverage.geographic,Name.photographer,Name.creator,Author,Name.repository,Format.medium,Format.dimensions,Format.extent,Title,Alt ID.local,Description.note,Date.normalized,Date.publication,Alt ID.oclc,Publisher.publisherName,Date.creation,Publisher.placeOfOrigin,Note,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rghf,,2,Completed,Collection,,,,,,still image,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Friedlander, Jonathan",,,"University of California, Los Angeles. Library. Department of Special Collections",,,,"Friedlander (Jonathan) Collection of Middle Eastern Americana, 1875-2006",,,,,,,,,"Jonathan Friedlander, former assistant director of the UCLA Center for Near Eastern Studies, began collecting this wide array of print, audio visual, and electronic materials and ephemera in the early 1970s. His interest in the commercialization and wide dissemination and marketing of products and services bearing Middle Eastern iconography, images and brand names has yielded several publications, exhibitions, videographs, websites, and most importantly a sizable collection of primary sources including his own photography of parades and festivals, jazz musicians, belly dancers, Arabian horses and their trainers and caretakers, and architectural styles deemed Moorish, ancient Egyptian and Assyrian, Saharan, and otherwise inspired by the Arabian Nights and seen across America.","The several thousand items contained in the Middle Eastern Americana collection document the substantial and significant presence of the Middle East in the annals of American popular culture. Over the course of more than 150 years and well into the present public interest in the Middle East has engendered a consumer appetite for a material culture that ranges from popular fiction and cinema to tobacco and coffee. In all its parts and subsets this diverse and multifaceted collection is geared for academic research and scholarly exploration of issues related to the representation of the Middle East in various popular culture domains including literature, cinema, music, photography, graphics and visual art, the performing arts, and entertainment.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6013409,https://oac.cdlib.org/findaid/ark:/13030/kt4779r5hf/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0009rghf
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rgsk,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rgsk-2-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.001,54.001,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rgsk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rgsk/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rgz5,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rgz5-2-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,,"Friedlander, Jonathan",,,color print,4 x 6 in.,1 photograph,54.002,54.002,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rgz5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rgz5/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rh47,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rh47-2-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.003,54.003,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rh47,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rh47/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rjhd,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rjhd-1-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.004,54.004,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rjhd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rjhd/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rjjx,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rjjx-1-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.005,54.005,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rjjx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rjjx/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rjkf,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rjkf-1-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.008,54.008,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rjkf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rjkf/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rjmz,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rjmz-1-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.009,54.009,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rjmz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rjmz/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rjng,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rjng-1-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.007,54.007,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rjng,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rjng/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz0009rjp0,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz0009rjp0-1-master.tif,,,,,still image,,,Indio (Calif.)--Parades,documentary photographs,,"Friedlander, Jonathan",,,,color print,4 x 6 in.,1 photograph,54.010,54.010,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009rjp0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rjp0/manifest
