Item ARK,Parent ARK,Object Type,Title,File Name,Item Sequence,AltTitle.other,AltTitle.translated,collection.physical,Description.note,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,Subject,Subject,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
ark:/21198/z1zw3k32,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,читайте-покупайте газеты и журналы 1967,Masters/othermasters/DEParmenianposters/images/soviet_00234_p_arm_38.tif,,,You should purchase and read newspapers and magazines.,,,,,1967,,,Newspapers and magazines are multifaceted. Թերթերն ու ամսագրերը իրենց բնույթով բազմաբովանդակ են,51 x 23 cm. (20 x 9 in.),1 poster,,posters|~|advertisements,rus,,,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Newpapers|~|Serials subscription agencies,Arts and Culture|~|Արվեստ և Մշակույթ|~|Լրագիր|~|Բաժանորդութիւն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3k32,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zw3k32/manifest
ark:/21198/z1v42tcn,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,схема совершенствования производства и организации труда в строительстве,Masters/othermasters/DEParmenianposters/images/soviet_00147_p_arm_252.tif,,,Labor and production improvement methods in construction work,,,,,1953/1963,,,The construction worker advances his work according to the program. Շինարարությունում աշխատող բանվորը իր աշխատանքը բարելավում է ծրագրով,82 x 55.5 cm. (32.3 x 21.9 in.),1 poster,,posters,rus,,Ministry of Industrial Construction of the Armenian SSR|~|ՀՍՍՀ Արդյունաբերական Շինարարության նախարարություն,,,Ереван,,,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Construction,"Environment, Science, and Technology|~|Բնապահպանություն, գիտություն եւ տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42tcn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v42tcn/manifest
ark:/21198/z1qc22q6,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Социалистищеские обязательства,Masters/othermasters/DEParmenianposters/images/soviet_00372_p_arm_103.tif,,,Let's achieve new ground during the second year of the seven-year plan,,,,,1960,,,Socialist obligations of agricultural workers in the Republic of Soviet Armenia in 1960. Социалистищеские обязательства работников сельского хозяйства Армянской ССР на 1960 год,84 x 60 cm. (33 x 23.6 in.),1 poster,,posters,rus,,,,,Երևան,Полиграфкомбинат (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Agriculture|~|Economic policy,Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc22q6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc22q6/manifest
ark:/21198/z1km1b2s,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,светлое будущее человечества,Masters/othermasters/DEParmenianposters/images/soviet_00154_p_arm_224.tif,,,Mankind's bright future,,,,,1951/1961,,,A draft of a program from the Soviet Union Communist Party. Սովետական միության կոմունիստական կուսակցության նախագծային ծրագրից,91 x 57 cm. (35.8 x 22.4 in.),1 poster,,posters,rus,,The House of Political Enlightenment of the Central Committee and the EGK KP of Armenia|~|ՀԿՊ Կենտկոմի եւ Երքաղկոմի քաղաքական լուսավորության տուն,,,Ереван,Полиграфкомбинат (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,"Propaganda, Communist",History and Politics|~|Պատմություն և Քաղաքականություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km1b2s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km1b2s/manifest
ark:/21198/z1fv0k85,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Расписание - Аэрофлот,Masters/othermasters/DEParmenianposters/images/soviet_00117_p_arm_93.tif,,,Timetable for domestic flights on the Armenian Airlines,,,,,1964,,,Armenian airlines flight schedule. Հայկական ավիոուղիների ժամանակացույցը,90 x 59 cm. (35.4 x 23.2 in.),1 poster,,posters,rus,,Aeroflot|~|Աերոֆլոտ,,,Ереван,,,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Air travel|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0k85,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0k85/manifest
ark:/21198/z1b29thr,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Расписание - Аэрофлот,Masters/othermasters/DEParmenianposters/images/soviet_00197_p_arm_89.tif,,,The schedule of flights and connections at Yerevan Airport,,,,,1964,,,The timetable of Armenian airlines. Հայկական ավիոուղիների ժամանակացույցը,90 x 59.5 cm. (35.4 x 23.4 in.),1 poster,,posters|~|timetables,rus,,,,,Ереван,Полиграфкомбинат (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Transportation,Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29thr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b29thr/manifest
ark:/21198/z16992rz,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Расписание - Аэрофлот,Masters/othermasters/DEParmenianposters/images/soviet_00210_p_arm_91.tif,,,Domestic flight schedule from Yerevan airport...,,,,,1964,,,Armenian Airlines flight schedule. Հայկական ավիոուղիների չվացուցակը,90 x 60 cm. (35.4 x 23.6 in.),1 poster,,posters|~|timetables,rus,,,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Transportation,Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16992rz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16992rz/manifest
ark:/21198/z12n71fz,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Расписание - Аэрофлот,Masters/othermasters/DEParmenianposters/images/soviet_00251_a_p_arm_98.tif,,,Local aircraft timetable for Armenian civil aviation groups,,,,,1964/1965,,,Armenian Airlines local aviation timetable. Հայկական ավիոուղիների տեղական օդային գծերի չվացուցակը,31 x 20 cm. (12 x 7.8 in.),1 poster,,posters|~|timetables,rus,,Aeroflot|~|Աէրոֆլոտ,,,Երևան,,,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Transportation,Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n71fz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12n71fz/manifest
ark:/21198/z1xw6hz8,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Расписание - Аэрофлот,Masters/othermasters/DEParmenianposters/images/soviet_00251_b_p_arm_98.tif,,,Local aircraft timetable for Armenian civil aviation groups,,,,,1964/1965,,,Armenian Airlines local aviation timetable. Հայկական ավիոուղիների տեղական օդային գծերի չվացուցակը,31 x 20 cm. (12 x 7.8 in.),1 poster,,posters|~|timetables,rus,,Aeroflot|~|Աէրոֆլոտ,,,Երևան,,,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Transportation,Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6hz8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xw6hz8/manifest
ark:/21198/z1t45s95,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,разработки и внедрения планов нот,Masters/othermasters/DEParmenianposters/images/soviet_00149_p_arm_254.tif,,,"The stages of the development and implementation of the ""NTT"" plan",,,,,1953/1963,,,The construction worker realizes the project blueprint in phases. Շինարար բանվորը փուլերով իրականացնում է նախագծած ծրագիրը,82 x 55 cm. (32.3 x 21.6 in.),1 poster,,posters,rus,,Ministry of Industrial Construction of the Armenian SSR|~|ՀՍՍՀ Արդյունաբերական Շինարարության նախարարություն,,,Ереван,,,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Armenia (Republic)|~|Economic policy,Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45s95,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t45s95/manifest
