Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Title,AltTitle.other,Alt ID.local,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Rights.rightsHolderContact,Subject,Description.note,Summary,Relation.isPartOf,Date.normalized,Date.creation,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Thrope (Martin) Collection,ark:/21198/zz002ddr65,,2,Completed,Collection,,,,,,,Thrope (Martin) Papers,"Thrope (Martin) Collection|~|Martin Thrope Papers, 1968-2000, bulk 1969-1973",Collection 2329,,,,,,,,"Thrope, Martin",Kleinrock Internet History Center,,"Thrope, Martin--Archives","From 1969 to 1974, Martin Thrope was a member of the of the team at Bolt Beranek and Newman (BBN), that implemented the ARPANET, the precursor to the Internet. His papers detail the BBN company of that time, and his work developing procedures for reports of network outages, installing Interface Message Processor (IMP) systems at various sites around the country, and designing specialized interfaces to connect a variety of host computers to the IMPs for connection to the ARPANET.","From 1969 to 1974, after completing undergraduate studies at Harvard, Martin Thrope was a member of the team at Bolt Beranek & Newman (BBN) that implemented the Advanced Research Projects Agency Network (ARPANET) for the Advanced Research Projects Agency (ARPA) of the U.S. Department of Defense. The BBN team led by Frank Heart developed the Interface Message Processors (IMPs) which connected host systems to the ARPANET. Thrope connected host systems to the ARPANET, and made key contributions to the ARPANET architecture. Thrope developed a set of diagnostic procedures for producing specific information on line failures for reports of network outages of both IMPs and the phone lines that connected them, to be relayed to the phone company offices responsible for each line. BBN established a Network Control Center (NCC) run by Thrope which used a minicomputer, the NCC host, to analyze IMP status reports, print out alerts, and display the status of each IMP on a set of light panels mounted in wood grain box. For the NCC, Thrope compiled and maintained a comprehensive set of useful reference information on each IMP site and each phone line. In addition to his role in network operations, Thrope also designed and installed specialized interfaces sold by BBN to connect a variety of mainframe host computers to the IMPs at their sites. Toward the end of his time at BBN, he was a member of the team that designed a multiprocessor version of the IMP and its specialized hardware interfaces. After leaving BBN in 1974, Thrope earned his MBA degree from Harvard, followed by various management roles in organizations providing computer based products and services for the retail and financial industries.",,1969/1973,1969-1973,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=8134824,https://oac.cdlib.org/findaid/ark:/13030/c8hm5gp1/?query=Thrope+(Martin)+Papers,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002ddr65
Thrope (Martin) Collection,ark:/21198/zz002djfgr,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002djfgr_2152009_master.tif,,,,,,Line Outage Report 113a,,,,,,copyrighted,US,Y,eng,"Thrope, Martin",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djfgr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfgr/manifest
Thrope (Martin) Collection,ark:/21198/zz002djfwz,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002djfwz_2152050_master.tif,,,,,,Fix to UCLA Ready Line,,,,,still image,copyrighted,US,Y,eng,"Thrope, Martin",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),,,Martin Thrope Collection,1971/1972,21 Feb,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djfwz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfwz/manifest
Thrope (Martin) Collection,ark:/21198/zz002djfxg,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002djfxg_2152053_master.tif,,,,,,BBN Host Interface Schematic,,,,,,copyrighted,US,Y,eng,"Thrope, Martin",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),,,,1972/1974,1972-1974,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djfxg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfxg/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx97z,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx97z_2215368_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 01,,,,still image,,copyrighted,,Y,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx97z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx97z/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx98g,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx98g_2215371_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 02,,,,still image,,copyrighted,,Y,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx98g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx98g/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx990,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx990_2215380_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 03,,,,,,copyrighted,,Y,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx990,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx990/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx9bh,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx9bh_2215383_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 04,,,,still image,,copyrighted,,Y,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx9bh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx9bh/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx9c1,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx9c1_2215386_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 05,,,,still image,,copyrighted,,,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx9c1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx9c1/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx9dj,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx9dj_2215389_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 06,,,,still image,,,,,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1973-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx9dj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx9dj/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx9f2,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx9f2_2215392_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 07,,,,still image,,,,,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx9f2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx9f2/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx9gk,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx9gk_2215395_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 08,,,,still image,,,,,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx9gk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx9gk/manifest
Thrope (Martin) Collection,ark:/21198/zz002gx9h3,ark:/21198/zz002ddr65,2,Completed,Work,martin_thrope/image/21198-zz002gx9h3_2215398_master.tif,,,,,,UNIVAC 418 TO IMP Special HOST Interface 09,,,,still image,,,,,,,Kleinrock Internet History Center,,ARPANET (Computer network),,,,1972-03,March 1972,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gx9h3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gx9h3/manifest
