"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Title","Relation.rectoVerso","Description.abstract","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngc7s","2","Completed","Page","polygraph/masters/21198-zz001ngc7s-1-master.tif","1","","","","","","","text","","Polygraph Newsletter_0001","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngc7s",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngc89","2","Completed","Page","polygraph/masters/21198-zz001ngc89-1-master.tif","2","","","","","","","text","","Polygraph Newsletter_0002","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngc89",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngc9t","2","Completed","Page","polygraph/masters/21198-zz001ngc9t-1-master.tif","3","","","","","","","text","","Polygraph Newsletter_0003","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngc9t",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcbb","2","Completed","Page","polygraph/masters/21198-zz001ngcbb-1-master.tif","4","","","","","","","text","","Polygraph Newsletter_0004","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcbb",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngccv","2","Completed","Page","polygraph/masters/21198-zz001ngccv-1-master.tif","5","","","","","","","text","","Polygraph Newsletter_0005","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngccv",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcdc","2","Completed","Page","polygraph/masters/21198-zz001ngcdc-1-master.tif","6","","","","","","","text","","Polygraph Newsletter_0006","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcdc",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcfw","2","Completed","Page","polygraph/masters/21198-zz001ngcfw-1-master.tif","7","","","","","","","text","","Polygraph Newsletter_0007","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcfw",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcgd","2","Completed","Page","polygraph/masters/21198-zz001ngcgd-1-master.tif","8","","","","","","","text","","Polygraph Newsletter_0008","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcgd",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngchx","2","Completed","Page","polygraph/masters/21198-zz001ngchx-1-master.tif","9","","","","","","","text","","Polygraph Newsletter_0009","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngchx",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcjf","2","Completed","Page","polygraph/masters/21198-zz001ngcjf-1-master.tif","10","","","","","","","text","","Polygraph Newsletter_0010","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcjf",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngckz","2","Completed","Page","polygraph/masters/21198-zz001ngckz-1-master.tif","11","","","","","","","text","","Polygraph Newsletter_0011","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngckz",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcmg","2","Completed","Page","polygraph/masters/21198-zz001ngcmg-1-master.tif","12","","","","","","","text","","Polygraph Newsletter_0012","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcmg",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcn0","2","Completed","Page","polygraph/masters/21198-zz001ngcn0-1-master.tif","13","","","","","","","text","","Polygraph Newsletter_0013","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcn0",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcph","2","Completed","Page","polygraph/masters/21198-zz001ngcph-1-master.tif","14","","","","","","","text","","Polygraph Newsletter_0014","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcph",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcq1","2","Completed","Page","polygraph/masters/21198-zz001ngcq1-1-master.tif","15","","","","","","","text","","Polygraph Newsletter_0015","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcq1",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcrj","2","Completed","Page","polygraph/masters/21198-zz001ngcrj-1-master.tif","16","","","","","","","text","","Polygraph Newsletter_0016","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcrj",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcs2","2","Completed","Page","polygraph/masters/21198-zz001ngcs2-1-master.tif","17","","","","","","","text","","Polygraph Newsletter_0017","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcs2",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngctk","2","Completed","Page","polygraph/masters/21198-zz001ngctk-1-master.tif","18","","","","","","","text","","Polygraph Newsletter_0018","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngctk",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcv3","2","Completed","Page","polygraph/masters/21198-zz001ngcv3-1-master.tif","19","","","","","","","text","","Polygraph Newsletter_0019","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcv3",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcwm","2","Completed","Page","polygraph/masters/21198-zz001ngcwm-1-master.tif","20","","","","","","","text","","Polygraph Newsletter_0020","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcwm",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngcx4","2","Completed","Page","polygraph/masters/21198-zz001ngcx4-1-master.tif","21","","","","","","","text","","Polygraph Newsletter_0021","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngcx4",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngczn","2","Completed","Page","polygraph/masters/21198-zz001ngczn-1-master.tif","22","","","","","","","text","","Polygraph Newsletter_0022","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngczn",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngd0n","2","Completed","Page","polygraph/masters/21198-zz001ngd0n-1-master.tif","23","","","","","","","text","","Polygraph Newsletter_0023","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd0n",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngd15","2","Completed","Page","polygraph/masters/21198-zz001ngd15-1-master.tif","24","","","","","","","text","","Polygraph Newsletter_0024","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd15",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngd2p","2","Completed","Page","polygraph/masters/21198-zz001ngd2p-1-master.tif","25","","","","","","","text","","Polygraph Newsletter_0025","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd2p",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngd36","2","Completed","Page","polygraph/masters/21198-zz001ngd36-1-master.tif","26","","","","","","","text","","Polygraph Newsletter_0026","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd36",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngd4q","2","Completed","Page","polygraph/masters/21198-zz001ngd4q-1-master.tif","27","","","","","","","text","","Polygraph Newsletter_0027","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd4q",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngd57","2","Completed","Page","polygraph/masters/21198-zz001ngd57-1-master.tif","28","","","","","","","text","","Polygraph Newsletter_0028","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd57",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngc68","ark:/21198/zz001ngd6r","2","Completed","Page","polygraph/masters/21198-zz001ngd6r-1-master.tif","29","","","","","","","text","","Polygraph Newsletter_0029","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd6r",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngd8s","2","Completed","Page","polygraph/masters/21198-zz001ngd8s-1-master.tif","1","","","","","","","text","","Polygraph Newsletter_0030","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd8s",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngd99","2","Completed","Page","polygraph/masters/21198-zz001ngd99-1-master.tif","2","","","","","","","text","","Polygraph Newsletter_0031","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd99",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdbt","2","Completed","Page","polygraph/masters/21198-zz001ngdbt-1-master.tif","3","","","","","","","text","","Polygraph Newsletter_0032","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdbt",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdcb","2","Completed","Page","polygraph/masters/21198-zz001ngdcb-1-master.tif","4","","","","","","","text","","Polygraph Newsletter_0033","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdcb",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngddv","2","Completed","Page","polygraph/masters/21198-zz001ngddv-1-master.tif","5","","","","","","","text","","Polygraph Newsletter_0034","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngddv",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdfc","2","Completed","Page","polygraph/masters/21198-zz001ngdfc-1-master.tif","6","","","","","","","text","","Polygraph Newsletter_0035","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdfc",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdgw","2","Completed","Page","polygraph/masters/21198-zz001ngdgw-1-master.tif","7","","","","","","","text","","Polygraph Newsletter_0036","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdgw",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdhd","2","Completed","Page","polygraph/masters/21198-zz001ngdhd-1-master.tif","8","","","","","","","text","","Polygraph Newsletter_0037","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdhd",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdjx","2","Completed","Page","polygraph/masters/21198-zz001ngdjx-1-master.tif","9","","","","","","","text","","Polygraph Newsletter_0038","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdjx",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdkf","2","Completed","Page","polygraph/masters/21198-zz001ngdkf-1-master.tif","10","","","","","","","text","","Polygraph Newsletter_0039","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdkf",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdmz","2","Completed","Page","polygraph/masters/21198-zz001ngdmz-1-master.tif","11","","","","","","","text","","Polygraph Newsletter_0040","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdmz",""
