File Name,Title,Object Type,Parent ARK,Item ARK,Item Sequence,AltIdentifier.local,Type.typeOfResource,Date.creation,Date.normalized,Name.creator,Summary,Description.note,Language,Rights.copyrightStatus,Rights.statementLocal,Rights.,Rights.rightsHolderContact,Type.genre,Provenance,Name.repository,Bucketeer State,IIIF Access URL,IIIF Manifest URL
,"Quinn, Alfred Thomas Collection",Collection,,ark:/21198/z1c83tvb,,,,,,,"Alfred Thomas Quinn (1922-2003) was a notable educator and civic leader in Santa Monica, California. His parents Minister Alfred Kerruthers Quinn and Essie Carolyn Quinn, nee Jones moved the family to California in 1924 where Alfred Quinn would attend a series of racially segregated grammar schools. The family moved to Santa Monica, CA in 1935 after Dr. Quinn's father became a founding minister to the First African Methodist Episcopal Church in Santa Monica. Dr. Quinn attended William McKinley Junior High School in Santa Monica and matriculated to Santa Monica High School where he graduated in 1939. Quinn attended Santa Monica College (SMC) where he earned an Associate of Arts Degree in 1942 before enlisting in the armed forces, first in the Coast Guard and then the Army Air Corps. He married Sylvia Dorothy Pierce during his military service in 1943. During the war he was stationed in Italy. He worked in the Veterans Administration in Westwood and attended UCLA after he was honorably discharged from the Army Air Corps December 1945. In 1953 he became the first African American tenured teacher in the Santa Monica School District. He and his wife Dottie adopted their only child, Jill Renee. He joined the faculty at Santa Monica College in 1966. Quinn was appointed Dean of Student Services in 1980. He retired from Santa Monica College in 1988. In 1990 he was elected a trustee of the College and served in that capacity until 1997.",,,,,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5852,,Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1c83tvb
Masters/othermasters/dl_quinn/ATQ_1_02_Penmanship_004.tif,"Alfred Thomas Quinn Penmanship Award from William McKinley Junior High School in Los Angeles, CA",Work,ark:/21198/z1c83tvb,ark:/21198/z17m1sf0,,ATQ_1_02_Penmanship_004,text,undated,1934/1937,,,"McKinley Junior High School (Los Angeles, California) Penmanship Award given to Alfred Quinn Junior. Signed by Pearl J. [unclear] Vice-Principal, [unclear] C. Wilson Vice-Principal, Arthur C. Brown Principal and Lena M. La [unclear].",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5852,certificates,Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m1sf0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17m1sf0/manifest
Masters/othermasters/dl_quinn/ATQ_1_03_AthleticCer_008.tif,William McKinley Junior High School Athletic Certificate   ,Work,ark:/21198/z1c83tvb,ark:/21198/z13v11r3,,ATQ_1_03_AthleticCer_008,text,1936,1936,William McKinley Junior High School,,William McKinley junior High School athletic certificate awarded to Alfred Quinn 12 Jun 1936. Signed by Instructor Howard Provan and Principal Arthur C. Brown,eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5856,certificates,Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v11r3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v11r3/manifest
Masters/othermasters/dl_quinn/ATQ_1_03_BoxingThrills_012.tif,Alfred Thomas Quinn Santa Monica JC Boxing Tournament,Work,ark:/21198/z1c83tvb,ark:/21198/z1030930,,ATQ_1_03_BoxingThrills_012,text,undated,1938/1942,,,"Newspaper Clipping documenting Alfred Quinn's participation in the Seventh Annual Santa Monica JC Boxing Tournament. Alfred ""Slow Freight"" Quinn and Morgan Warner.",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5860,clippings (information artifacts),Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030930,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030930/manifest
Masters/othermasters/dl_quinn/ATQ_1_03_FinalBoxing_011.tif,Alfred Thomas Quinn 135 lb Boxing Division,Work,ark:/21198/z1c83tvb,ark:/21198/z1v99spn,,ATQ_1_03_FinalBoxing_011,text,undated,1938/1942,,,"""Final Boxing Matches"" Lyle Anderson takes on Gerald Bell in the 135-pound division. Alfred Quinn and Roy Odell mix it in another 135-pound bout. ""...Notice how the colored fellow in the fights sure knocked the vanilla out the Gerry Bell. Being a Bell fan, got my tongue wrapped around my eye tooth and couldn't see what I was saying and yelled the famous words: 'stop that bloody battle!'""",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5859,clippings (information artifacts),Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v99spn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v99spn/manifest
Masters/othermasters/dl_quinn/ATQ_1_03_InterClub_009.tif,Alfred Thomas Quinn and Koshi Ando basketball tournament,Work,ark:/21198/z1c83tvb,ark:/21198/z1qj91wd,,ATQ_1_03_InterClub_009,text,undated,1936,,,"Newspaper clippings of Alfred Quinn basketball games. Clockwise from Left. (1) Inter-Club Tourney Finals Wednesday. Spanish Club maintained its undefeated lead. [Alfred] Quinn and [Koshi] Ando starred for the winners scoring from all angles. (2) Vike Hi-Y Walloped by First Presbyterians. African Methodists vs. Calvary Baptists. Quinn Statistics: G-3 FT=1 F=2.(3)Spanish Club Drubs Travel Club, 43-29.SMJC (Spanish Club) -LACC (Travel Club) conference basketball game. Koshi Ando of Spanish Club scored 9 points. (4) Spanish, Pre-Legal, French Clubs Win First Contests In Intramural Basketball Tourney. Intramural basketball tournament, 12 teams divided into 2 leagues. ""After their first game, in which they defeated the German Club, 27-14, the Spanish Club looks like a good thing to capture the American league crown. This team boasts two classy players in [Alfred] Al Quinn and Koshi Ando, who both hit the bucket for 10 points in their game.""",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5857,clippings (information artifacts),Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj91wd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qj91wd/manifest
Masters/othermasters/dl_quinn/ATQ_1_03_SMJCBoxing_010.tif,Alfred Thomas Quinn Wins Boxing Championship,Work,ark:/21198/z1c83tvb,ark:/21198/z1ks8936,,ATQ_1_03_SMJCBoxing_010,text,undated,1938/1942,,,"""Frequent upsets occur in SMJC boxing matches. ""The next bout was a 'honey.' Alfred Quinn and Gerald bell put on a classy performance characteristic of professionals. Lanky Quinn threw a few semi-circle punches to floor Bell twice in the first round. Quinn went ahead to take the third round and the championship."" Other names mentioned: Robert Hayashi and Ko Yamada.",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5858,clippings (information artifacts),Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8936,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks8936/manifest
Masters/othermasters/dl_quinn/ATQ_1_03_StuInTheNews_005.tif,Alfred Thomas Quinn profiled with other high school students,Work,ark:/21198/z1c83tvb,ark:/21198/z1g17jcs,,ATQ_1_03_StuInTheNews_005,text,1938,1938,,,"""Students in the News"" Top to bottom: William Boswell, John F. Browne, Jr and Alfred K. Quinn, Jr. ""The son of Rev. and Mrs. A. K. Quinn of Santa Monica High School at the age of 16 years. He is the president of Santa Monica Tri. Y and is an active leader among the younger group of the A.M.E. Church, of which his father is pastor. Alfred plans to enter college in the fall.""",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5853,clippings (information artifacts),Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17jcs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g17jcs/manifest
Masters/othermasters/dl_quinn/ATQ_1_04_AADegree_007.tif,Santa Monica Jr. College Diploma/Certificate of Completion (copy),Work,ark:/21198/z1c83tvb,ark:/21198/z1bc5h2s,,ATQ_1_04_AADegree_007,text,undated,1942/1950,Santa Monica Junior College,,"Alfred Thomas Quinn, Jr. Santa Monica Junior College Diploma, Associate of Arts 5 February 1942 and University of California Certificate of Completion of Work 15 June 1950.",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5855,certificates,Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5h2s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bc5h2s/manifest
Masters/othermasters/dl_quinn/ATQ_1_04_HSDiploma_006.tif,Alfred Thomas Quinn Diploma from Santa Monica High School,Work,ark:/21198/z1c83tvb,ark:/21198/z16m4rch,,ATQ_1_04_HSDiploma_006,text,1939,1939,"Santa Monica High School, Santa Monica, CA",,"Santa Monica High School Diploma awarded to Alfred Thomas Quinn, Jr. 15 June 1939. Signed by William F. [unclear] Principal, Edith M. Herman President Board of Education and Percy R. Davis Superintendent of Schools.",eng,copyrighted,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,Carolyne Payne Edwards,librarian@bunche.ucla.edu or 310-825-5854,certificates,Gift of Carolyne and WIlliam Edwards,The Ralph J. Bunche Center for African American Studies,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4rch,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m4rch/manifest
