Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract,IIIF Manifest URL
Cruikshank (Margaret) Collection,ark:/21198/zz000s2z8d,,2,Completed,Collection,,,,,,,copyrighted,,,United States,"Cruikshank, Margaret",,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,June L. Mazer Lesbian Archives,,,,,,Cruikshank (Margaret) Collection,1971/1986,Between 1971 and 1986,,,"The Cruikshank papers consists of the following: book reviews and publicity materials relating to Lesbian Studies and lesbian and women's publishing; Cruikshank's original proposal for Lesbian Studies; publicity materials related to Cruikshank's hiring and firing at USF; book reviews, correspondence and materials regarding Lesbian Path; New Lesbian Writing publicity announcements, press releases, and book reviews; correspondence and publicity relating to Lesbian-Feminist Study Clearing House; interviews with Cruikshank; book reviews authored by Cruikshank.",https://ingest.iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000s2z8d
Cruikshank (Margaret) Collection,ark:/21198/zz0019rs71,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019sfx0,text,copyrighted,N,published,United States,,"Jay, Karla",,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Gay News",,,individuals,,private,,Review of Lesbian Studies - Past and Present,1983-02,"February, 1983",Rights.generalNote: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019rs71/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019sg0h,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019sg2j,text,copyrighted,unknown,unknown,United States,Feminist Press,,,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,Lesbians Studies Order Form From Feminist Press,1981/1983,Between 1981 and 1983,,Rights.generalNote: Unsure whether or not permission is granted to reproduce flyers.,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019sg0h/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019t8zj,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t90j,text,copyrighted,N,published,Stanford (Calif.),,"Allen, Jeffner, 1947",,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press|~|Stanford University. Center for Research on Women",,,individuals,,private,,Review of Lesbian Studies - Past and Present,1981/1983,Between 1981 and 1983,Rights.generalNote: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019t8zj/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019t912,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t92k,text,copyrighted,N,published,United States,Feminist Collections Quarterly,Unknown,,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press",,,individuals,,private,,Review of Lesbian Studies - Past and Present,1983,1983,Rights.generalNote: Need to obtain permission to publish from original author.|~|Rights.generalNote: Original author unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019t912/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019t933,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t954,text,copyrighted,N,published,United States,,"Daly, Mary Ann",,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Washington Blade, Inc.|~|Feminist Press",,,individuals,,private,,Review of Lesbian Studies - Past and Present,1983-04-08,"April 8, 1983",,Rights.generalNote: Need to obtain permission to publish from original author.,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019t933/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019t9kb,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t9xh,text,copyrighted,N,published,United States,Feminist Press,Unknown,,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,Announcement of Publication of Lesbian Studies - Past and Present,1982,1982,Rights.generalNote: Original author unknown.,Rights.generalNote: Need to obtain permission to publish from original author.,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019t9kb/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tbmb,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tcqc,text,copyrighted,unknown,unknown,Santa Barbara (Calif.),"University of California, Santa Barbara",,,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,Flyer Announcement of Faculty Lecture on Lesbian Studies,1983,1983,Rights.generalNote: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tbmb/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcrw,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tcsd,text,copyrighted,unknown,unknown,San Francisco (Calif.),City College of San Francisco,,,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,Flyer Announcement of Faculty Lecture on Lesbian Studies,1983,1983,Rights.generalNote: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tcrw/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcvf,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tcwz,text,copyrighted,N,published,United States,,"Noll, Dolores",,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Gay Studies Newsletter|~|Feminist Press",,,individuals,,private,,Review of Lesbian Studies - Past and Present,1982-03,"March, 1983",,Rights.generalNote: Need to obtain permission to publish from original author.,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tcvf/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcz0,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019td00,text,copyrighted,N,published,United States,,"Douglas, Carol Anne",,eng,,"Lesbian Studies - Book Reviews and Publicity Materials|~|Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press|~|Off Our Backs: The Feminist Newsjournal",,,individuals,,private,,Review of Lesbian Studies - Past and Present,1982-02,"February, 1982",,Rights.generalNote: Need to obtain permission to publish from original author.,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tcz0/manifest
