Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000922nr,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,text,paged,,,,letters (correspondence),unknown,,,"Windshield House (Fishers Island, N.Y.)","Brown, John Nicholas, 1900-",,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng,"John Nicholas Brown House (Fishers Island, N.Y.)",,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 26 cm.,clus_1179_b29_f1_letter1936,,"Letter from John N. Brown commenting on floor plan design and ideas on changes to design for house.  Handwriting in margins, grayscale scan of original document.","Letter, 1936 December 1, Providence, R.I. to Richard J. Neutra, Los Angeles, Calif.","December 1, 1936",7 p.,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0009232f,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,text,paged,,,,letters (correspondence),unknown,,,"Windshield House (Fishers Island, N.Y.)","Brown, John Nicholas, 1900-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng,"John Nicholas Brown House (Fishers Island, N.Y.)",,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 26 cm.,clus_1179_b30_f5_letter31940,,"Letter from John N. Brown explaining his decision to not write ""an appreciation"" of Windshield [J. N. Brown House] for publication in Architectural Record.  In addition to having the house photographed for Town and County magazine.","Letter, 1940 April 16, Providence, R.I. to Richard J. Neutra, Los Angeles, Calif.","April 16, 1940",2 p.,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0009238j,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,"Brown, John Nicholas, 1900-",text,paged,,,,memorandums|~|letters (correspondence),copyrighted,,,"Windshield House (Fishers Island, N.Y.)",,,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng,"John Nicholas Brown House (Fishers Island, N.Y.)",,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",22 x 28 cm.,clus_1179_b30_f8_1,,"Memorandum from John N. Brown answering questionnaire (do not have questionnaire).  Brown describes the weather and land of property site where he plans on building the house, the Brown family and servants, and wants and desires for what they wish and require from their new house.",Memorandum for Mr. Richard J. Neutra in Answer to Questionaire [John Nicholas Brown House],circa 1937,7 p.,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0009241d,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,text,paged,,,,letters (correspondence),unknown,,,"Windshield House (Fishers Island, N.Y.)","Brown, John Nicholas, 1900-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng,"John Nicholas Brown House (Fishers Island, N.Y.)",,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm.,clus_1179_b30_f5_1,,Photocopy of handwritten letter from John N. Brown describing his reaction to the Neutra designed furniture that had arrived at Windshield.,"Letter, 1938 August 18, Fishers Island, N.Y. to Neutras","August 18, 1938",3 p.,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000931m6,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,still image,individuals,,,,Black-and-white photographs,copyrighted,,,"Neutra, Richard Joseph, $d 1892-1970|~|Neutra, Dione",,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm. (8 x 10 in.),clus_1179_b870_f3_001,,Two versions of same photograph on this record. 1 grayscale with border removed.  1 RGB scan with border.,"Richard J. Neutra and his wife, Dione",n.d.,1 photographic print,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz000931ss,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,still image,individuals,,,,Black-and-white photographs|~|Portrait photographs,copyrighted,,,"Neutra, Richard Joseph, $d 1892-1970",,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23 x 18 cm. (9 x 7 in.),clus_1179_b870_f3_005,,This record has 2 versions of photograph.  1 grayscale and 1 RGB.,"Richard J. Neutra, portrait, pen in hand, circa 1966",circa 1966,1 photographic print,1960/1969,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0009f1c2,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,still image,individuals,,,,Black-and-white photographs|~|Group portraits,,,,"Wright, Frank Lloyd, 1867-1959|~|Mendelsohn, Erich, 1887-1953|~|Neutra, Richard Joseph, $d 1892-1970|~|Moser, Werner M. (Werner Max), 1896-1970|~|Tsuchiura, Kameki, 1897-1996|~|Moser, Sylva|~|Tsuchiura, Nobuko, 1900-1998",,Architects $z 20th century,,,,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",18 x 25 cm. (6.5 x 9.5 in.),clus_1179_b870_f3_016,,Record includes image of backside of photograph.,"Architects Richard J. Neutra, Wright, Mendelsohn, the Tsuchiuras, and the Mosers, 1924 [photograph]",1924,1 photographic print mounted on paper,1924,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0009f1dk,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,still image,individuals,,,,Black-and-white photographs,copyrighted,unknown,,"Neutra, Dion|~|Neutra, Richard Joseph, $d 1892-1970|~|Neutra, Dione",,,,,eng,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 x 18 cm. (5 x 7 in.),clus_1179_b870_f3_013,,"Handwriting on back of photograph reads: (Fig 7) Neutra, with wife Dione, holding son Dion, and sister-in-law Doris Neederman, with second-hand Franklin car, Los Angeles, ca. 1926.","Richard J. Neutra and family by Yuuca Tree, circa 1926",circa 1926,1 photographic print,1920/1930,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0009f1k5,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,still image,individuals,,,,Black-and-white photographs,copyrighted,unknown,,"Neutra, Richard Joseph, $d 1892-1970",,,,,,,,"Pierre Joly, Vera Cardot",,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 20 cm. (8 x 8 in.),clus_1179_b870_f3_015,,Record includes image of backside of photograph.,"Richard J. Neutra in chair before mirror, circa 1960",circa 1960,1 photographic print,1959/1969,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177ttr,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,individuals,,,,Sketches,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",9 3/4 x 13 3/4 inches,uclamss_1179_b1288_f0010|~|Travel sketches,,"View of an audience sitting under a tent watching a performance at the [Aspen Music Festival] in Aspen, Colorado. According to the September 1952 issue of Fortune the sketch was created during the Aspen Conference on Design, and shows a meeting being held in the tented amphitheatre, designed by Eero Saarinen.Inscription by artist reads ""Aspen."" Signed and dated on bottom middle.|~|LAPL Exhibit 2009","Aspen, 1952",1952,1 drawing,1952,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
