Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Subject,Rights.servicesContact,Language,Name.artist,Name.repository,Relation.isPartOf,Name.creator,Coverage.geographic,Author,Relation.rectoVerso,Relation.pageNumber,Title,Alt ID.local,Description.adminnote,Note,Format.dimensions,AltTitle.firstLine,Description.caption,AltTitle.descriptive,Format.medium,Format.extent,Place of origin,Date.normalized,Date.creation,Description.note,Summary,Description.tableOfContents,AltTitle.uniform,AltTitle.other,Opac url,Finding Aid URL,IIIF Access URL,IIIF Manifest URL,Representative Image,Masthead
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz00089wzq,,2,Completed,Collection,,,,,,,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"University of California, Los Angeles. $b Library Special Collections","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,,,Bound Manuscripts Collection,Collection 170,,,,,,,,,,599/1900,circa 600-1899,,"Collection consists of bound manuscripts of varying contents most notable for its early material which includes a papyrus fragment from the 7th century, a vellum Breviary (French, 15th century), a North French or Flemish Book of hours (late 15th or early 16th century), Persian and Arabic manuscripts, manuscript books from the 16th through 18th century, commonplace books, Friendship albums, and personal journals.",,,Bound Manuscripts Collection. Collection 170,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4230403,http://www.oac.cdlib.org/findaid/ark:/13030/kt538nb916,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00089wzq,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5gj,"/335,1712,4950,1544/full/0/default.jpg"
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0009gjmc,ark:/21198/zz00089wzq,2,Completed,Work,,,,,individuals,,,,,manuscripts (document genre),pd,unknown,,,,,"University of California, Los Angeles. $b Library Special Collections","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,,,MS 170/351 : Schoenbartbuch. [Nuremberg  ca. 1600. ],MS 170/351,,,,,,,,"Manuscript, 116 leaves : ill.",Nuremberg (Germany),1590/1620,circa 1600,Chronicle of the Nuremberg carnival with finely executed paintings of costumes and floats from 1449 to 1539. Includes coats of arms of the noble families of Nuremberg.,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009gkbq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gjmc/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0009gjnw,ark:/21198/zz00089wzq,2,Completed,Work,,,,,individuals,,,,,manuscripts (document genre),pd,unknown,Folklore --Arab countries|~|Legends--Middle East,,ara,,,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,,,MS 170/46 : Arabian Nights. Sinbad the Sailor.,MS 170/46,,"Illustrated with 12 original colored primitive pictures, probably dating from the 18th century.",19 x 28 cm. (7.5 x 11 in.),,,Quissat as-Sindbad al-bahri wa-l'-Hindbad al-barri.,,26 leaves : ill.,,1699/1799,circa 1700,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009j6mf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gjnw/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0009gjpd,ark:/21198/zz00089wzq,2,Completed,Work,,,,,individuals,,,,,manuscripts (document genre),pd,unknown,,,lat,,,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.",John of Tübingen|~|Johannes de Tuibingen,,,,,MS 170/642 : Collectanea. Vitae patrum,MS 170/642,,"Manuscript, on paper.  Bound in 15th century deer skin over boards.",16 x 23 cm.,,,,,180 leaves,Germany,,circa 1470,"L. da Segni, De miseria condicionis humanae; unidentified, incomplete, text; Hugh of St. Victor, Soliloquium de arrha animae; Johannes Herrolt, Sermones (West Germany, 1476-78). **Written by John of Tübingen, subdeacon of the Cistercian abbey of Salem near Heidelberg.",,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009j7r0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gjpd/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0009gjqx,ark:/21198/zz00089wzq,2,Completed,Work,,,,,paged,,,,,manuscripts (document genre),pd,,Folklore --Arab countries|~|Legends--Middle East,,,"Robinson, W. Heath (William Heath), 1872-1944",,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,,,MS 170/448 : Illustrations for The Child's Arabian Nights / W. Heath Robinson,clus_170/448,,"Illustrations for The Child's Arabian Nights (England,  ca. 1905). The work itself was published in 1906.",26 x 19 cm. bound to 27 x 21 cm.,,,,,"94 leaves : paper, ill.",,1904/1906,circa 1905,,,"ff. 1-3: blank; ff. 4r-5r: Watercolor and color proof of the title page for The child’s Arabian nights; ff. 6r-11r: Illustrations for ""The fisherman"", including 1 color proof; ff. 12r-18r: Illustrations for ""The magic horse"", including 1 color proof; ff. 19r-29r: Illustrations for ""Aladdin"" (Parts 1 and 2), including 1 color proof; ff. 30r-36r: Illustrations for ""Ali Baba"", including 1 color proof; ff. 37r-43r: Illustrations for ""The Sea Monster"" (Sinbad’s first voyage), including 1 color proof; ff. 44r-50r: Illustrations for ""The valley of diamonds"" (Sinbad’s second voyage), including 1 color proof; ff. 51r-57r: Illustrations for ""The old man of the sea"" (Sinbad’s fifth voyage), including 1 color proof; ff. 58r-64r: Illustrations for ""Abu"", including 1 color proof; ff. 65r-71r: Illustrations for ""Alvaschar"" (Barber’s fifth brother), including 1 color proof; ff. 72r-78r: Illustrations for ""Shakalik"" (Barber’s sixth brother), including 1 color proof; ff. 79r-85r: Illustrations for ""The fish-bone"" (The hunchback), including 1 color proof; ff. 86r-87r: Illustrations of a boy reading, pen and ink; ff. 88r: Illustration with the caption ""The talkative barber""; holograph note: ""Unused""; ff. 89v-90r: Table of contents for The child’s Arabian nights has been sewn into the volume; ff. 89-94: blank; end.",Child’s Arabian nights,Illustrations for The Child's Arabian Nights,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009j9kc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gjqx/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0009gjrf,ark:/21198/zz00089wzq,2,Completed,Work,,,,,individuals,,,,,manuscripts (document genre),pd,unknown,,,,"Caceres, Samuel de",,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","Mortera, Saul Levi, 1596?-1660",,,,,MS 170/107 : Sete derasiot / Saul Levi Morteira,170/107,,"(Amsterdam 5404 [= 1644). Book of sermons. Ink drawings by Samuel de Caceres, brother-in-law of Spinoza.",,,,,,,,1644,1644,,,,,Sete derasiot,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009j9nd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gjrf/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0009jfxg,ark:/21198/zz00089wzq,2,Completed,Work,,,,,paged,,,,text,manuscripts (document genre),pd,unknown,"Africa, North--Description and travel|~|Manuscripts|~|Captivity narratives--Africa, North",,eng,,,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","Crisp, Elizabeth",,,,,"MS 170/604 : Narrative of Her Captivity in Barbary, 1756. Journal of a Voyage by Sea from Calcutta to Madras, and of a Journal from there back to Dacca. (December 13, 1774-June 20,1775) / Marsh, Elizabeth Crisp",170/604,,"Dates of execution from Elizabeth Marsh's journal, dated, presumably in her own hand, Dec. 13, 1774-June 20, 1776. Bound with a copy of her captivity narrative in the hand of her brother John Marsh. The captivity narrative, an account of the seven months in 1756 she was held in Morocco as prisoner of the sultan Sidi Muhammad, has title ""Narrative written by Miss Elizabeth Marsh during her captivity in Barbary in the year 1756.""",,"The following narrative written by Miss Elizabeth Marsh, during her captivity in Barbary, in the year 1756.",,"Journal of a Voyage by Sea from Calcutta to Madras, and of a Journal from there back to Dacca, December 13, 1774-June 20,1775.",,65 pages.; 112pages.,,1756/1775,1756-1775,"Journal of a Voyage by Sea from Calcutta to Madras, and of a Journal from there back to Dacca ( December 13, 1774-June 20,1775 ); Narrative of her Captivity in Barbary (1756).",,"The journal documents the travels of Elizabeth Marsh Crisp from Dhaka (Bangladesh) down the eastern coast of India to Madrass (Chennai), with stops in Calcutta, and other ports including Balasore, Puri, Srikakulam, Machilipatnam and Pulicat, and her return to Dhaka, between Dec. 13, 1774 and early July 1776. Wishing to improve her ill health, Elizabeth Marsh departs for Calcutta on Dec. 13, 1774, leaving her husband James Crisp behind. Instead, Marsh travels in the company of a campanion Captain George Smith, often referred to in the journal as her ""cousin."" In Calcutta, she and Smith board the ship ""Goodwill"" for Madras (Chennai), arriving on Feb. 14, 1775. Marsh remained in Madras, an Asian city but somewhat familiar with its European streets, squares and buildings. From there, over the next 11 months, she make various excursions to settlements out into the Madras Presidency, accompanied by European and indigenous troops, traveling with ""about 40 coolees...with peons, debashes etc."" and eight sepoys and a havildar, native infantry of the East India Company. In particular, between June 1775 and February 1776, she was based in Ellore, a military settlement three hundred miles from Madras, where she resided in the house of Captain Smith who commanded a regiment at the settlement. Finally in the spring of 1776, the focus of the journal begins to look outwards at the people, places, and culture Marsh visited in her travels. En route to Aska, she describes her visit to the Hindu temple in Srikakulam, and although forbidden, enters an underground temple at one of the sacred sites in Ganjam to escape the intense heat. Rather than return to Calcutta by boat from Ganjam, Marsh decides to follow an inland route, through Lake Chilka, Manickpatam, and the pilgrimage site of Puri--with its two-hundred foot high temple to Vishnu, dating from the 12th century; Marsh comments extensively on all the pilgrims she observes travelling to that city. Heading towards Cuttack, the travelers encounter hostility and harassment, and famine in the surrounding area forces them to ration food. On June 13, 1776, Marsh and Smith part company, Marsh heading towards Calcutta, Smith to Ganjam. Her arrival in Midnapur brings her back to the safety of East India Company territory. The journal ends with Marsh's return to Calcutta on June 20, 1776, her six-week stay there with her friend Johanna Ross, and finally, her return to Dhaka to reunite with her husband and son, whom she has not seen for eighteen months.",,,8498728,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjwcj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009jfxg/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0015228s,ark:/21198/zz00089wzq,2,Completed,Work,,,,,paged,,,,text,manuscripts (document genre),,,,,eng,,,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","Young, Charles B. ",,,,,MS 170/339: Record of the voyage of the transport Loo Choo from New York to San Francisco,170/339,,"Record of the voyage of the transport Loo Choo from New York to San Francisco carrying units of Colonel Jonathan D. Stevenson's 1st New York Volunteer Regiment to participate in the military conquest of California. Included are descriptions of life aboard the vessel, in San Francisco and at Santa Barbara, where the troops were on garrison duty.",,,,,,1 v. (52 pp.),,1846/1847,"September 26, 1846-July 3, 1847",,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001522fc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015228s/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0019rp5j,ark:/21198/zz00089wzq,2,Completed,Work,,,,,paged,,,,text,manuscripts (document genre),pd,,Chemistry,,eng,,,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","Edgeworth, Lovell, 1775-1842",,,,,MS 170/587: Lectures on Chemistry by Doctor Black and Doctor Hope taken by Lovell Edgeworth,MS 170/587,,"In most of the manuscript, text is only written on one side of each page.",,,,,,1 v. (989 p.),Edinburgh,1796,1796,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpfp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019rp5j/manifest,,
Bound Manuscripts Collection.  Collection 170,ark:/21198/zz0019rt1d,ark:/21198/zz00089wzq,2,Completed,Work,,,,,paged,,,,text,,pd,,,,eng,,,"Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","Edgeworth, Richard Lovell, 1744-1817|~|Edgeworth, Maria, 1767-1849",,,,,"MS 170/650: Memoirs of Richard Lovell Edgeworth, Esq. begun by himself, and concluded by his daughter, Maria Edgeworth.",,"Published London: Richard Bentley, New Burlington Street, 1844.Third edition.",,,,,,,1 v.,London,1844,1844,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rtb2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019rt1d/manifest,,
