Project Name,Item ARK,Parent ARK,Visibility,Object Type,File Name,Item Sequence,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Language,Subject,Name.repository,Name.subject,Name.photographer,Name.creator,Title,Representative image,Masthead,Description.abstract,Description.note,Coverage.geographic,Description.latitude,Description.fundingNote,Alt ID.local,Format.extent,Format.medium,Relation.isPartOf,Date.creation,Date.normalized,Description.caption,Description.longitude,Subject.temporal,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx6sg,,,Collection,,,,pd,black-and-white photographs,,Bicycle touring -- Asia|~|Bicycle touring -- Greece,"University of California, Los Angeles. $b Library Special Collections",,"Sachtleben, William Lewis",,Sachtleben (William Lewis) Papers. Collection 1841,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfmfj,"/47,1759,6776,2622/full/0/default.jpg","William Lewis Sachtleben was an American long-distance cyclist who rode across Asia from Istanbul to Peking in 1891 to 1892 with Thomas Gaskell Allen Jr., his classmate from Washington University. Their journey had actually begun the day after they graduated from college, when they travelled to New York and on to Liverpool. In all they travelled 15,044 miles by bicycle, “the longest continuous land journey ever made around the world” as reported in their book Across Asia on a bicycle (1895). This collection consists of photographs taken in 1891 covering their winter stay in Athens and part of the journey that followed from Istanbul to Tashkent. The circular format photographs were taken with a Kodak box camera which was one of the first cameras available to amateur photographers (the Kodak, the No. 1, or the No. 2).",,,,Access to this collection is generously supported by Arcadia funds.,,,,,1891,1891,,,,6816809,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5d8w,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001nx6sg
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx6w1,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx6w1_1453660_master.tif,,still image,pd,,,,,,,,Armenian priests,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx6w1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx6w1/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx6xj,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx6xj_1453663_master.tif,,still image,pd,,,,,,,,Armenian priests [verso],,,,"Note reads in full: Armenian priests, of the Gregorian Church. The one on the right, Der Garabed, was murdered by a Turkish officer (strangled to death in his own home) in his own house in Karakillisseh recently in Alashgerd. The murderers of Armenians are never punished.",,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx6xj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx6xj/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx6z2,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx6z2_1453666_master.tif,,still image,pd,,,,,,,,Mass grave [photograph],,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx6z2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx6z2/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx702,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx702_1453669_master.tif,,still image,pd,,,,,,,,Men with bicycles in front of large group at an arched structure [photograph],,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx702,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx702/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx71k,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx71k_1453672_master.tif,,still image,pd,,,,,,,,Chest [photograph],,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx71k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx71k/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx723,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx723_1453677_master.tif,,still image,pd,,,,,,,,scene in Erzeroum (i.e. Erzurum),,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx723,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx723/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx765,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx765_1453686_master.tif,,still image,pd,,,,,,,,scene in Erzeroum (i.e. Erzurum) [verso],,,,"Note reads in full:No. 1. Sent March 15. '97.Scene in Erzeroum in the ""Street-back-of-the-Custom House,"" as the Turks term it. Several thousand sheep passing through Erzeroum to market.",,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",1897,1897,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx765,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx765/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx77p,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx77p_1453689_master.tif,,still image,pd,,,,,,,,First view of Erzeroum (i.e. Erzurum),,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx77p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx77p/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx786,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx786_1453692_master.tif,,still image,pd,,,,,,,,Three Armenians and one Kurd [photograph],,,,"Subjects identified from left to right: Achmet. Kurd of Khassus[?]; Garabed Kalenian of Erzeroum; Nerses of Moush; Garabed of Alashgerd, who had been to Stamboul.",,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx786,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx786/manifest
