"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.subject","Name.author","Name.creator","Name.recipient","Name.correspondent","Name.repository","AltIdentifier.local","Title","Date.creation","Date.normalized","Format.extent","Description.note","Language.text","Description.abstract"
"Weber (Mark) Collection","ark:/21198/zz000965hx","ark:/21198/zz00095z2v","2","Completed","Work","weber/images/masters/21198-zz000965hx-1-master.tif","","","","","","","","","","","","","","","","MS 200/3/7/13","","","","","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009c6r8","","2","Completed","Collection","","1","","","","","","","","","","","","","","Brotherton Library. Special Collections","","Marshall and Co., Leeds, Papers","1788 - ca. 1900","1788/1905","","Physical collection is held by University of Leeds, Library, Department of Special Collections, MS 200.|~|Marshall, Fenton & Co was founded in 1788 by John Marshall (1765 1845), son of a Leeds draper, to take advantage of recent developments in the spinning of flax by machine. He set up a short-lived partnership with Samuel Fenton and Ralph Dearlove who were subsequently replaced by Thomas and Benjamin Benyon, Shrewsbury woollen merchants. By 1795, the latter had a controlling interest, and built a mill at Shrewsbury for making thread. Marshall grew dissatisfied with his minority holding, and in 1804 bought the pair out. He appointed two men from the works as junior partners, John Hives and William Hutton, who were later joined by a third, Moses Atkinson.The business prospered as a result of experiment, trade conditions in the Napoleonic wars, John Marshall's commercial ability and his concentration upon what he wished to achieve. As a consequence, he made a fortune between 1803 and the year of Waterloo. In the latter, 1815, John's son, also named John (1797 1836), entered the firm, becoming a partner five years later. The remaining junior partners withdrew ; Marshall's thus became and would remain a family firm. Marshall's other sons joined the business in the next decade, and he gradually retired from active participation. His son James Garth Marshall (1802 1873) subsequently became the dominant partner in the management of the business.Despite early success, conditions in the trade inevitably changed. Other firms were now producing yarn of the quality that Marshalls had pioneered and monopolised for decades. After 1850, the firm became unprofitable, partly due to the younger Marshalls’ lack of drive or business acumen. By the 1870s, the third generation had little interest in the business, faced by a world-wide recession, falling prices and rising wages. Labour troubles began to affect the firm and by 1884 only two partners, John III (1840 1894) and Stephen (1843 1904), were active in the company. The firm closed in 1886.","","Business papers of Marshall & Co., one of the largest textile firms in 19th-century Leeds, England. A cooperative project with the University of Leeds Library, where the papers are held."
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cb7f","ark:/21198/zz0009c6r8","2","Completed","Work","","322","","","","paged","","","","Spinning|~|Weaving|~|Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/20/2","Volume 1 Spinning and Weaving [1788-1790]","1788-1790","1788/1790","Small Notebook","The notebook contains notes on experiments that were carried out by John Marshall. This notebook contains notes on experiments on spinning tow, wetting the yarn, spinning from cards and laying out flax from a hackle.  The experiments are numbered between 1 and 17.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cb9g","ark:/21198/zz0009cb7f","2","Completed","ChildWork","marshall/masters/21198-zz0009cb9g-1-master.tif","2","","","","","","","","Industrial equipment |~|Industrial development |~|Spinning machinery ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/20/2/1","Contents Page","1790","1790","1 Double Page","A list of the contents of the notebook.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbb0","ark:/21198/zz0009c6r8","2","Completed","Work","","318","","","","paged","","","","Patents|~|Industrial equipment |~|Industrial development |~|Hackling|~|Industrial production ","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/18","Notes by James Garth Marshall","","","10 Pages","The item is an account of James Garth Marshall of a visit to try to purchase the patent for a new type of hackling machine. Page two is missing.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbch","ark:/21198/zz0009c6r8","2","Completed","Work","","324","","","","paged","","","","Spinning|~|Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production |~|Finance and Trade","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/20/4","Volume 3 Spinning [1803-1830]","1803-1830","1803/1830","1 Small Notebook","This volume continues the experiments from volume one and two.  The experiments number between 78 and 128.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbd1","ark:/21198/zz0009c6r8","2","Completed","Work","","321","","","","paged","","","","Engineering|~|Industrial development |~|Scientific Development|~|Scientific research|~|Research Work","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/20/1","Booth's Philosophical Lectures [1790-1811]","December 1790-1811","1790/1811","1 Small Notebook","The notebook contains notes from Booths Philosophical lectures.  This consists of lecture 1:  General Introduction, lecture 2 Pneumatics, lecture 3 and 4 Hydrostatics, lecture 5 Hydraulics, lecture 6 and 7 Astronomy, lecture 8 and 9 Optics, lecture 10 Pneumatic Chemistry, lecture 11 and 12 Electricity, lecture 13 Mechanics and lecture 14 Miscellany.  The notebook also contains notes from other lectures on the same themes and notes from books that have been read.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbfj","ark:/21198/zz0009c6r8","2","Completed","Work","","317","","","","paged","","","","Industrial equipment |~|Industrial development |~|Experiments|~|Industrial production |~|Ramie|~|China grass","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/17","Notes on Preparation of China Grass [1852]","31st March 1852","1852-03-31","12 Pages","Author appears to be P. S. Horsman.|~|The item is a report on experiments carried out on China grass.  The item looks like it is in the same hand as MS 200/3/16, and appears to have been torn from the same notebook.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbg2","ark:/21198/zz0009c6r8","7","Needs Review","Work","","307","","","","paged","","","","Industrial equipment |~|Industrial development |~|Experiments|~|Hackling|~|Mechanical drawings |~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/7","Memoranda on Hackling [1825] [NEED HELP!]","20th September - 24th October 1825","1825","1 Booklet","The item is a report on the introduction of a new hackling machine and experiments carried out on it. There are also diagrams of different parts of the machine.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbhk","ark:/21198/zz0009c6r8","2","Completed","Work","","313","","","","paged","","","","Industrial equipment |~|Industrial development |~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/13","Notebook [1834-1835]","1834-1835 (with insertions from 1861 and 1862)","1834/1862","1 Small Notebook","The notebook contains notes on flax boiling and also contains insertions in James Garth Marshall's hand.  There are only a few pages remaining in this notebook.  The notebook was probably written by Henry Cowper Marshall.","",""
