Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Name.subject,Name.author,Name.creator,Name.recipient,Name.correspondent,Name.repository,AltIdentifier.local,Title,Date.creation,Date.normalized,Format.extent,Description.note,Language.text,Description.abstract
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cb7f,ark:/21198/zz0009c6r8,2,Completed,Work,,322,,,,paged,,,,Spinning|~|Weaving|~|Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/20/2,Volume 1 Spinning and Weaving [1788-1790],1788-1790,1788/1790,Small Notebook,"The notebook contains notes on experiments that were carried out by John Marshall. This notebook contains notes on experiments on spinning tow, wetting the yarn, spinning from cards and laying out flax from a hackle.  The experiments are numbered between 1 and 17.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbb0,ark:/21198/zz0009c6r8,2,Completed,Work,,318,,,,paged,,,,Patents|~|Industrial equipment |~|Industrial development |~|Hackling|~|Industrial production ,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ",,,,MS 200/3/18,Notes by James Garth Marshall,,,10 Pages,The item is an account of James Garth Marshall of a visit to try to purchase the patent for a new type of hackling machine. Page two is missing.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbch,ark:/21198/zz0009c6r8,2,Completed,Work,,324,,,,paged,,,,Spinning|~|Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production |~|Finance and Trade,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/20/4,Volume 3 Spinning [1803-1830],1803-1830,1803/1830,1 Small Notebook,This volume continues the experiments from volume one and two.  The experiments number between 78 and 128.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbd1,ark:/21198/zz0009c6r8,2,Completed,Work,,321,,,,paged,,,,Engineering|~|Industrial development |~|Scientific Development|~|Scientific research|~|Research Work,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/20/1,Booth's Philosophical Lectures [1790-1811],December 1790-1811,1790/1811,1 Small Notebook,"The notebook contains notes from Booths Philosophical lectures.  This consists of lecture 1:  General Introduction, lecture 2 Pneumatics, lecture 3 and 4 Hydrostatics, lecture 5 Hydraulics, lecture 6 and 7 Astronomy, lecture 8 and 9 Optics, lecture 10 Pneumatic Chemistry, lecture 11 and 12 Electricity, lecture 13 Mechanics and lecture 14 Miscellany.  The notebook also contains notes from other lectures on the same themes and notes from books that have been read.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbfj,ark:/21198/zz0009c6r8,2,Completed,Work,,317,,,,paged,,,,Industrial equipment |~|Industrial development |~|Experiments|~|Industrial production |~|Ramie|~|China grass,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/17,Notes on Preparation of China Grass [1852],31st March 1852,1852-03-31,12 Pages,"Author appears to be P. S. Horsman.|~|The item is a report on experiments carried out on China grass.  The item looks like it is in the same hand as MS 200/3/16, and appears to have been torn from the same notebook.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbg2,ark:/21198/zz0009c6r8,7,Needs Review,Work,,307,,,,paged,,private,,Industrial equipment |~|Industrial development |~|Experiments|~|Hackling|~|Mechanical drawings |~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/7,Memoranda on Hackling [1825] [NEED HELP!],20th September - 24th October 1825,1825,1 Booklet,The item is a report on the introduction of a new hackling machine and experiments carried out on it. There are also diagrams of different parts of the machine.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbhk,ark:/21198/zz0009c6r8,2,Completed,Work,,313,,,,paged,,,,Industrial equipment |~|Industrial development |~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/13,Notebook [1834-1835],1834-1835 (with insertions from 1861 and 1862),1834/1862,1 Small Notebook,The notebook contains notes on flax boiling and also contains insertions in James Garth Marshall's hand.  There are only a few pages remaining in this notebook.  The notebook was probably written by Henry Cowper Marshall.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbj3,ark:/21198/zz0009c6r8,2,Completed,Work,,301,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/1,General Notebook [1790-1830],1790-1830,1790/1830,1 Notebook,"The notebook contains various different notes on general production matters.  These include notes on steam engines, coals, water wheels, spindles, wood, iron, cards, hours of working, spinning frames, boilers, weights and measures, bobbins, equipment, drying and flax.  Although the notebook covers the dates 1790 to 1830 the majority of the notes were made around 1810.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbkm,ark:/21198/zz0009c6r8,2,Completed,Work,,304,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/4,Notebook September 1821 to May 1825,1820-1829,1820/1829,1 Small Notebook,"The notebook contains various different notes on production and experiments as well as sales prices. These include notes on experiments on wet spinning, gill spinning, yarn spun, reels, flax orders, prices of yarn, prices of thread and increases in manufacturing. The notebook is probably that of Henry Cowper Marshall. There are lots of pages missing from this notebook p. 1-10, p. 12-14, p. 16-21, p. 26-44, p. 45-62, p. 64-66, p. 68-73, p. 77-82 and p. 86-93.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbm4,ark:/21198/zz0009c6r8,2,Completed,Work,,312,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production |~|Finance and Trade,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/12,Salop [1829-1837],1829-1837,1829/1837,1 Small Notebook,"The notebook contains notes on different processes carried out and developed at the mill in Salop.  The notes seem to cover the same general processes which are revisited every year.  The notebook contains notes on hackling, line preparing, tow preparing, wet spinning, steam engines, stores, spinning, twisting, gas and visits to different mills in Manchester.  Thenotebook was probably written by James Garth Marshall.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbnn,ark:/21198/zz0009c6r8,3,Pending,Work,,309,,,,paged,,private,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/9,Notes on Processes [1825-1829] [2 IMAGES MISSING],1825-1829,1825/1829,1 Notebook,"The notebook contains notes on processes carried out at Marshall's mill.  These include wet spinning, carding, line preparing and tow preparing.  The notebook was probably written by James Garth Marshall.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbp5,ark:/21198/zz0009c6r8,2,Completed,Work,,316,,,,paged,,,,Industrial equipment |~|Industrial development |~|Experiments|~|Industrial production |~|Flax straw,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/16,Notes on Experiments Upon Flax Straw [1840-1851],"March 1840, April 1845 and July 1851",1845-04|~|1851-07|~|1840-03,17 Pages,The items are notes on different experiments carried out on flax straw to try and find an improved method of separating the flax from the straw.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbqp,ark:/21198/zz0009c6r8,2,Completed,Work,,323,,,,paged,,,,Spinning|~|Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/20/3,Volume 2 Spinning [1790-1803],1790-1803,1790/1803,1 Small Notebook,This volume continues the experiments started in volume one.  The experiments number between 18 and 77.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbr6,ark:/21198/zz0009c6r8,2,Completed,Work,,303,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/3,Notebook [1816/1818],1816-1818,1816/1818,1 Notebook,"The notebook contains notes on different production processes including flax preparing and wet roving.  It also contains notes on one machine called 'Big Ben'.  There are lots of pages missing from this notebook, p. 1-11, p. 18-21, p. 28-41, p. 44-59 and p. 64-134.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbsq,ark:/21198/zz0009c6r8,2,Completed,Work,,314,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production |~|Wet Spinning|~|Roving,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/14,Notes on Experimental Spinning Frame [1839-1845],20th December 1839 - May 1845,1839/1845,5 Pages,The item contains notes about experiments with wet rovings and wet spinning.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbt7,ark:/21198/zz0009c6r8,2,Completed,Work,,310,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production |~|Finance and Trade,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/10,Notebook [1826-1851],1826-1851,1826/1851,1 Small Notebook,"The notebook contains information on different production matters, including some financial information.  The notebook contains notes on crop estimations, prices of flax, orders for flax, orders for machines, prices of machines, placement of machines, settings of machines, clerks wages, yarn calculations and thread calculations.  Although the notebook covers the dates between 1826 and 1851 the majority of the notes were written between 1830 and 1835.  The notebook was probably written by Henry Cowper Marshall.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbvr,ark:/21198/zz0009c6r8,2,Completed,Work,,305,,,,paged,,,,Spinning|~|Yarn|~|Industrial equipment |~|Industrial development |~|Industrial production |~|Steam engineering |~|Coal Power,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/5,Coal Consumed and Yarn Spun at Marshalls [1823-1825],1823/1825,1823/1825,15 Pages,The item is the account of the coals consumed by the steam engines at Marshalls mill and also the quantity of yarn spun in the year 1823.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbw8,ark:/21198/zz0009c6r8,2,Completed,Work,,325,,,,paged,,,,Bleaching|~|Industrial equipment |~|Industrial development |~|Experiments|~|Industrial production |~|Research Work,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/20/5,Volume 4 Bleaching [1788-1815],1788-1815,1788/1815,1 Small Notebook,The notebook contains notes on experiments in bleaching.  These include experiments with acids and alkalies.  There are also notes from other articles.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbxs,ark:/21198/zz0009c6r8,2,Completed,Work,,306,,,,paged,,,,Industrial equipment |~|Industrial development |~|Industrial production |~|Finance and Trade,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/6,Notebook [1825-1827],1825-1827,1825/1827,1 Small Notebook,"The first notebook contains notes on production methods and finance.  These include hackling, cost of flax, Kay's plan for spinning flax and Hives plan for spinning flax.  This notebook was probably written by John Marshall II.  There are missing pages.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cbz9,ark:/21198/zz0009c6r8,2,Completed,Work,,408,,,,paged,,,,Strikes and lockouts|~|Labor disputes|~|Wages|~|Working Conditions|~|Labor--Standards|~|Factory workers|~|Factory laws and legislation|~|Labor relations|~|Working time,National Association of Factory Occupiers (Great Britain) |~|Leeds and District Association of Factory Occupiers (England) ,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/4/8,Minutes of Meetings of the Leeds and District Association of Factory Occupiers [1872-1875],1872-1875,1872/1875,1 Notebook,"The Leeds and District Association of Factory Occupiers was formed to protect of the interests of the employers of factory labour in Leeds and district, brought about by the strikes in 1872.  The notebook contains minutes from the meetings held by the association, subjects covered include working hours, working conditions and women and children working in the mills.  Notes were probably written by Stephen A. Marshall.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc09,ark:/21198/zz0009c6r8,2,Completed,Work,,315,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production |~|Finance and Trade,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/15,Notebook [1839-1858],1839-1858,1839/1858,1 Small Notebook,"The notebook contains financial notes.  These include notes on the price of yarns, linen and thread.  There are some pages missing from the back of this book, p. 108-115, p. 118-131 and p. 134-152.  This notebook was probably written by Henry Cowper Marshall.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc1t,ark:/21198/zz0009c6r8,2,Completed,Work,,568,,,,paged,,,,Spinning|~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ,,"Ainsworth, Thomas","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/68,Letter from Thomas Ainsworth to Marshalls [22 Oct 1852],22nd October 1852,1852-10-22,1 Letter,The letter is in regards to a trip made to experiment with tow on different machines.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc2b,ark:/21198/zz0009c6r8,2,Completed,Work,,583,,,,paged,,,,Working Conditions,,,"Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/83,Part of a letter to John Marshall [n.d.],,,1 Letter,This letter is in regards to retracting a comment.  However it can not be certain if this is a letter or if it is a note that had been written on a spare piece of paper.,,
