"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.subject","Author","Name.creator","Name.recipient","Name.correspondent","Name.repository","AltIdentifier.local","Title","Date.creation","Date.normalized","Format.extent","Description.note","Language.text","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgdm","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgdm-1-master.tif","2","","","","","","","","Accounts|~|Account books","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/1","Index Page","","","1 Page","Index to the Ledger","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgdm",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgf4","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgf4-1-master.tif","3","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/2","Page 1","1788-1791","1788/1791","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgf4",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjggn","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjggn-1-master.tif","5","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/3","Page 2","1791-1792","1791/1792","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjggn",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgh5","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgh5-1-master.tif","6","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/4","Page 3","1791","1791","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgh5",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgjp","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgjp-1-master.tif","7","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/5","Page 4","1791-1792","1791/1792","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgjp",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgk6","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgk6-1-master.tif","8","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/6","Page 5","1792","1792","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgk6",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgmq","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgmq-1-master.tif","9","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/7","Page 6","1792","1792","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgmq",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgn7","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgn7-1-master.tif","10","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/8","Page 7","1792","1792","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgn7",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgpr","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgpr-1-master.tif","11","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/9","Page 8","1792","1792","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgpr",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgq8","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgq8-1-master.tif","12","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/10","Page 9","1792-1793","1792/1793","1 Double Page","Accounts for Marshall and Fenton Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgq8",""
