Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz0028tr8x,,2,Completed,Collection,,,,,,,,cartographic,map,,,,,eng,Los Angeles (Calif.) $v Maps|~|Los Angeles County (Calif.) $v Maps|~|California $v Maps,,Patagonia (Argentina and Chile)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Bruman (Henry J.) Map Collection, UCLA Library",[between 1860 and 1950],,,,,maps,,,,,,,Henry J. Bruman Map Collection,,,,1860/1950,,"The Henry J. Bruman Map Collection at UCLA contains historical and contemporary maps from around the world.  The digital collection focuses on historical maps of California, Los Angeles County, and the city of Los Angeles with an emphasis on maps from 1860-1950.  This is an ongoing project and maps will be added to this collection as they are scanned and processed."
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz0028vdvb,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz0028vdvb_2387409_master.tif,,,,,,,cartographic,map,,,Lambert & Lane.|~|David Rumsey Collection.|~|Cartography Associates.,"Jackson, Wm. A. (William A.).",eng,,,"California, Northern--Maps",,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of the mining district of California,1851|~|c1851,southernmost:N0364500|~|westernmost:W1225000|~|westernmost:E1160000|~|northernmost:N0393000|~|easternmost:W1195500,Lambert & Lane,"by Wm. A. Jackson.|~|David Rumsey Collection (Pub. list no. 2545.000).|~|The only map to label Santa Cruz County ""Branciforte.""|~|Relief represented by hachures.|~|Scanned raster image of original: 1 map : hand col. ; 51 x 42 cm., folded in cover 14 x 10 cm., with appendix (16 p.) Scanned by Cartography Associates.|~|Shows drainage, county boundaries, roads, mines, Indian villages, etc.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5090887"">UCLA Catalog Record</a>",nyu|~|New York,,"California, Northern",,G4360 1851 .J33 1998,,,595000,西烏珠穆沁王府,,"2nd ed., rev. and enl.",,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293dns,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293dns_1966473_master.tif,,,,,,,cartographic,map,pd_usfed,,,United States. Resettlement Administration. Land Utilization Division. Land Use Planning Section. California Unit.,eng,,,California--Population,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Significant population movements in non-urban areas, 1930-1935",1936|~|[1936],westernmost:W1242500|~|southernmost:N0323200|~|easternmost:W1140700|~|northernmost:N0420000,The Unit,"""Survey made and map compiled in 1936.""|~|Shows areas with increases or decreases of 10 or more families.|~|California Unit, Land-Use Planning Section, Land Utilization Division, Resettlement Administration.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6788522"">UCLA Catalog Record</a>",cau|~|[California?],1 map ; on sheet 23 x 36 cm.,California,24388297,G4361.E2 C.L.P. 1936,3515950,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293dzf,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293dzf_1966512_master.tif,,,,,,,cartographic,map,,,,United States. Bureau of Agricultural Economics.,eng,,,California--Population--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,California cities and towns,[1940?],southernmost:N0323200|~|easternmost:W1140700|~|northernmost:N0420000|~|westernmost:W1242500,The Bureau,"Brown line print.|~|North oriented to upper right.|~|prepared by U.S. Department of Agriculture, Bureau of Agricultural Economics.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3469152"">UCLA Catalog Record</a>","cau|~|Berkeley, Calif",1 map : photocopy ; 104 x 43 cm.,California,24388183,G4361.E2 USDA 1940,3469152,,1500000,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293fsb,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293fsb_1966540_master.tif,,,,,,,cartographic,map,,,,"Mora, Jo, $d 1876-1947",eng,"California--Maps, Pictorial",,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,California (Jo Mora),c1927,,A.M. Robertson,"Includes col. ill.|~|Jo Mora.|~|Relief represented pictorially.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6788525"">UCLA Catalog Record</a>",cau|~|San Francisco,1 map : col. ; 86 x 66 cm.,California,24904704,G4361.A6 AMR 1927,,2482501,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293ftv,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293ftv_1966546_master.tif,,,,,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of public surveys in California : to accompany report of Surveyor Genl., 1857.",1857,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516600"">UCLA Catalog Record</a>","San Francisco, Calif. : Surveyor General’s Office, 1857.","1 map ; 91 x 77 cm., folded to 23 x 12 cm.",California,21637256,G4361.B5 1.14m S.G.O. 1857,,3516600,,,,,,1857,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293fvc,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293fvc_1966549_master.tif,,,,,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of public surveys in California : to accompany report of Surveyor Genl., 1862.",1862,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516602"">UCLA Catalog Record</a>",,1 map ; 90 x 77 cm.,California,15291830,G4361.B5 1.14m S.G.O. 1862,,3516602,,,,,,1862,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293fww,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293fww_1966552_master.tif,,,,,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of public surveys in California : to accompany report of Surveyor Genl., 1855",1855,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516599"">UCLA Catalog Record</a>",,1 map ; 92 x 79 cm.,California,24689931,G4361.B5 1.14m S.G.O. 1855,,3516599,,,,,,1855,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293fxd,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293fxd_1966555_master.tif,,,,,,,cartographic,map|~|Pictorial maps.,unknown,,,Bank of America.,eng,"California--Maps, Pictorial",,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[Map of California].,c1938,,Bank of America,"Not drawn to scale.|~|Oriented with north toward the upper left.|~|Relief shown pictorially.|~|Includes text.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=549699"">UCLA Catalog Record</a>","San Francisco, Calif.",1 map : col. ; on sheet 36 x 88 cm.,California,22878651,G4361.A5 B of A 1938,,549699,,,,,,1938,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kqp,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294kqp_1968927_master.tif,,,,,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of public surveys in California : to accompany report of Surveyor Genl., 1858",1858,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516601"">UCLA Catalog Record</a>",,1 map : mounted on linen ; 91 x 78 cm.,California,26272351,G4363 .B5 1.14m S.G.O 1858,,3516601,,,,,,1858,,
