Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2jf,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR1130F1/G6032_S7_4_3M_OSS_1945.tif,,,,,,,cartographic,map,unknown,unknown,,,,Germany--Boundaries--History|~|Germany--History--1933-1945--Maps,,Germany--Maps|~|Yugoslavia--Maps|~|Hungary--Maps|~|Poland--Maps|~|Czechoslovakia--Maps|~|Austria--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Eastern Front,1945,,,,,,Poland|~|Yugoslavia|~|Germany|~|Czchoslovakia|~|Austria|~|Hungary,,,,,,,G6032_S7_4_3M_OSS_1945|~|DR1130F1,,,1945,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2mg,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR1130F1/G6036_P1_OSS_1943.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Alps--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,The Brenner Pass Routes Part I. Innsbruck to Vipiteno,1943,,,,,,,,,,,,,G6036_P1_OSS_1943|~|DR1130F1,,,1943,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2n0,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_I.tif,,,,,,,cartographic,ger|~|map,unknown,unknown,Austria. K.K. MilitaÌˆrisch-Geografisches Institut.,"Scheda, Josef. 1815-1888.",ger,,,Europe--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"General-Karte des oesterreichischen Kaiserstaates, mit einem grossen Theile der angrenzenden Lainder",1856,,Das Institut,"im K.K. MilitaÌˆrisch-Geografischen Institute durch Josef Scheda bearbeitet und herausgegeben.|~|Coverage of the Austrian empire and bordering areas complete in 20 numbered sheets. Unnumbered supplemental sheets cover surrounding regions of Europe.|~|Ill., table ""FlaÌˆchen, Inhalt, Wohnorte, und BevoÌˆlkerung,"" list of abbreviations, and glossary on sheet 19.|~|Relief represented by hachures.|~|""Seiner Kaiserl. KoÌˆnigl. Apostolischen MajestaÌˆt Franz Josef dem Ersten, Kaiser von Oesterreich, & . & . & . in allertiefster Ehrfurcht gewidmet.""|~|Title from sheet 20.",au|~|[Vienna?],"maps : some col., sectioned and mounted on cloth ; 44 x 51 cm., folded to 25 x 19 cm. + 2 index maps (22 x 34 cm. and 18 x 25 cm., folded to 23 x 16 cm. and 23 x 14 cm.)",Europe,,G6030s 57c Scheda I,,,576000,,G6030s_576_Scheda_I|~|DR1130F2,,,1856,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2ph,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_II.tif,,,,,,,cartographic,map,unknown|~|public domain,unknown,Austria. K.K. Militärisch-Geografisches Institut.,"Scheda, Josef. 1815-1888.",ger,,,Europe--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"General-Karte des oesterreichischen Kaiserstaates, mit einem grossen Theile der angrenzenden Länder",1856-,,Das Institut,"im K.K. Militärisch-Geografischen Institute durch Josef Scheda bearbeitet und herausgegeben.|~|Ill., table ""Flächen, Inhalt, Wohnorte, und Bevölkerung,"" list of abbreviations, and glossary on sheet 19.|~|Relief represented by hachures.|~|""Seiner Kaiserl. Königl. Apostolischen Majestät Franz Josef dem Ersten, Kaiser von Oesterreich, & . & . & . in allertiefster Ehrfurcht gewidmet.""|~|Coverage of the Austrian empire and bordering areas complete in 20 numbered sheets. Unnumbered supplemental sheets cover surrounding regions of Europe.|~|Title from sheet 20.",au|~|[Vienna?],"maps : some col., sectioned and mounted on cloth ; 44 x 51 cm., folded to 25 x 19 cm. + 2 index maps (22 x 34 cm. and 18 x 25 cm., folded to 23 x 16 cm. and 23 x 14 cm.)",Europe,40773556,G6030s 576 Scheda,,4278317,576000,,G6030s_576_Scheda_II|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2q1,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_III.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Scheda III,,,,,,,,,,,,,,G6030s_576_Scheda_III|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2rj,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_Index.tif,,,,,,,cartographic,map,unknown,unknown,,,ger,,,"Europe, Central--Maps",,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Für die Zusammenstellung der Blätter der Karte von Central - Europa.,1856,,,,,,"Europe, Central",,,,,,For the compilation of the leaves of the map of Central - Europe.,G6030s_576_Scheda_Index|~|DR1130F2,,,1856,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2s2,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_IV.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Scheda IV,,,,,,,,,,,,,,G6030s_576_Scheda_IV|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2tk,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_IX.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_IX,,,,,,,,,,,,,,G6030s_576_Scheda_IX|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2v3,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_V.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_V,,,,,,,,,,,,,,G6030s_576_Scheda_V|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2wm,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_VI.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_VI,,,,,,,,,,,,,,G6030s_576_Scheda_VI|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2x4,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_VII.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_VII,,,,,,,,,,,,,,G6030s_576_Scheda_VII|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz2zn,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_VIII.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_VIII,,,,,,,,,,,,,,G6030s_576_Scheda_VIII|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz30n,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_X.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_X,,,,,,,,,,,,,,G6030s_576_Scheda_X|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz315,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_XI.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XI,,,,,,,,,,,,,,G6030s_576_Scheda_XI|~|DR1130F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz32p,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XII.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XII,,,,,,,,,,,,,,G6030s_576_Scheda_XII|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz336,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XIII.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XIII,,,,,,,,,,,,,,G6030s_576_Scheda_XIII|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz34q,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XIV.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XIV,,,,,,,,,,,,,,G6030s_576_Scheda_XIV|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz357,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XIX.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XIX,,,,,,,,,,,,,,G6030s_576_Scheda_XIX|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz36r,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XV.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XV,,,,,,,,,,,,,,G6030s_576_Scheda_XV|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz378,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XVI.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XVI,,,,,,,,,,,,,,G6030s_576_Scheda_XVI|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz38s,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XVII.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XVII,,,,,,,,,,,,,,G6030s_576_Scheda_XVII|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz399,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XVIII.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_XVIII,,,,,,,,,,,,,,G6030s_576_Scheda_XVIII|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz3bt,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XX.tif,,,,,,,cartographic,map,unknown|~|public domain,unknown,Austria. K.K. Militärisch-Geografisches Institut.,"Scheda, Josef. 1815-1888.",ger,,,Europe--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"General-Karte des oesterreichischen Kaiserstaates, mit einem grossen Theile der angrenzenden Länder",1856-,,Das Institut,"im K.K. Militärisch-Geografischen Institute durch Josef Scheda bearbeitet und herausgegeben.|~|Ill., table ""Flächen, Inhalt, Wohnorte, und Bevölkerung,"" list of abbreviations, and glossary on sheet 19.|~|Relief represented by hachures.|~|""Seiner Kaiserl. Königl. Apostolischen Majestät Franz Josef dem Ersten, Kaiser von Oesterreich, & . & . & . in allertiefster Ehrfurcht gewidmet.""|~|Coverage of the Austrian empire and bordering areas complete in 20 numbered sheets. Unnumbered supplemental sheets cover surrounding regions of Europe.|~|Title from sheet 20.",au|~|[Vienna?],"maps : some col., sectioned and mounted on cloth ; 44 x 51 cm., folded to 25 x 19 cm. + 2 index maps (22 x 34 cm. and 18 x 25 cm., folded to 23 x 16 cm. and 23 x 14 cm.)",Europe,40773556,G6030s 576 Scheda,,4278317,576000,,G6030s_576_Scheda_XX|~|DR1130F3,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz3cb,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_300_IAG.tif,,,,,,,cartographic,ger|~|map,unknown,unknown,Germany. Reichsamt für Landesaufnahme.|~|Institut für Angewandte Geodäsie (Deutsches Geodätisches Forschungsinstitut),Prussia. Landesaufnahme.,ger,"Europe--Maps|~|Europe, Central--Maps",,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Übersichtskarte von Mitteleuropa 1:300,000",1893-,,Prussia Landesaufnahme,"Relief represented by shading.|~|Revised editions by Reichsamt für Landesaufnahme 1938-1943, and Institut für Angewandte Geodäsie 1939-1965.|~|Issued in 1 x 2-degree quadrangles, extending from Paris to Baltic states.",gw|~|Berlin,maps : col. ; 39 x 54 cm.,"Europe|~|Europe, Central",,,,,300000,,G6030s_300_IAG|~|DR1130F4,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cz3dv,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_576_Scheda_No12.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6030s_576_Scheda_No12,,,,,,,,,,,,,,G6030s_576_Scheda_No12|~|DR1130F4,,,,,
