Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,Visibility,File Name,Thumbnail,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.illuminator,Language,Author,Scribe,AltTitle.other,Description.note,Date.creation,Date.normalized,Summary,Representative image,Masthead,Description.contents,Condition note,Illustrations note,Description.colophon,Description.history,Binding note,Format.extent,Alt ID.local,Format.dimensions,Relation.isPartOf,AltTitle.uniform,Place of origin,IIIF Access URL,IIIF Manifest URL
Armenian Manuscripts,Armenian Manuscripts,ark:/21198/zz0009gx2d,,Collection,,,,"https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7rj/full/600,/0/default.jpg",,,,,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988","University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,"Armenian manuscripts, gifted to the UCLA Library in 1968 by Dr. Garo Owen Minasian of Isfahan, Iran.  The collection includes manuscripts of ecclesiastical character such as gospels, psalters, menologia, and ritual books, as well as theological and philosophical works, medical treatises, and anthologies of poetry.",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvf1/,"/15,1582,2327,1134/full/0/default.jpg",,,,,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0009gx2d
Manuscript No. 1: Gladzor Gospels,Armenian Manuscripts,ark:/21198/zz0009gx6g,ark:/21198/zz0009gx2d,Work,paged,,,"https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h18d/full/600,/0/default.jpg",,text,Manuscripts|~|Illuminations,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4987","University of California, Los Angeles. Library. Department of Special Collections",T'oros of Taron  (Gladzor Gospels)|~|Second Painter|~|Third Painter|~|First Painter|~|Fourth Painter,arm,,,Four Gospels,"The manuscript is the work of two scribes (except for the colophons, inscriptions and prefatory material before the Gospel of Matthew, which were done later). The principal scribe wrote the entire text of the four gospels in bolorgir (cursive) script; he also wrote the prefaces and indexes that stand before each gospel. The other scribe wrote the numbers within the Canon Tables, as well as the text of the Eusebian Introduction and the Eusebian numbers throughout the manuscript. (Sanjian, p. 46)|~|See Sanjian, Avedis K. Medieval Armenian Manuscripts at the University of California, Los Angeles. Berkeley : University of California Press, 1999.|~|See Mathews, Thomas F. and Sanjian, Avedis K. Armenian Gospel Iconography : the tradition of the Glajor Gospel. Washington, D.C. : Dumbarton Oaks Research Library and Collection, 1991.",1300-1307,1300/1307,,,,,,"The illustrations of the codex consist of the Eusebian Prologue, Ten Canon Tables, the portraits of the four evangelists and the incipits to their gospels, 55 miniatures depicting scenes from the life of Christ, and numerous marginal ornaments and decorative initials. The painting of the manuscript was done in two distinct workshops and in two stages. The figurative miniatures are the work of five different artists, only one of whom [T'oros of Taron] is known by name. The First Painter and Second Painter worked at the scriptorium of Ełegis or Noravank’. The Third Painter, Fourth Painter and T'oros of Taron completed the illustrations at the monastery at Gladzor.The First Painter did the canon tables and most of the decorated initials and marginal ornaments.The Second Painter painted the portraits of the four evangelists and the incipit pages of their gospels. The Third Painter illuminated seven subjects between pages 92 and 122.The Fourth Painter executed fourteen subjects between pages 124 and 211. The Fifth Painter, T'oros of Taron, is responsible for twenty-three narrative scenes.  (Sanjian, p. 53, 57-58)",,"Executed for an important ecclesiastical figure in the early fourteenth century, [the Gladzor Gospels] passed in 1377 into the private possession of the Ōrbēlian princely family, who, after its capture and redemption from the Mongols, deposited it in the monastery of Gełard in 1393-1404. Here it seems to have remained until the beginning of the seventeenth century, when it accompanied the Armenian exodus to New Julfa. At that time it was probably placed in the church of Mec Xōĵenc’ or St. George, where it remained until that church gave it to a priest named Yōvakim Abraham in 1824. Thereafter it seems to have remained in the private possession of individual priests, changing hands once again in 1901, before finally being acquired by Dr. [Garo Owen] Minasian. There is no precise information as to when and from whom Dr. Minasian acquired the book. (Sanjian, p. 52)","The Index to the Gospel of Matthew is incomplete; only 19 of the 69 entries have been written in. Several folios are missing; the second gathering lacks its initial leaf, as well as the miniature of the Baptism; the ninth gathering, which consisted of only two bifolia, lacks the conjugate leaf at the start, which most likely had the original dedicatory colophon of the manuscript. In the colophon of 1393-1404 a leaf is missing between pages 578 and 579. Also lacking are the traditional endleaves, which in Armenia were reused from older manuscripts as a way of sanctifying the new one; possibly this was a casualty of the nineteenth-century rebinding. (Sanjian, p. 49)",1 volume (582 pages),Armenian MS. 1|~|170/466,23.5 x 17.6 cm (average),,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gx6g/manifest
Manuscript No. 2  Four Gospels,Armenian Manuscripts,ark:/21198/zz0025djx7,ark:/21198/zz0009gx2d,Work,paged,,,"https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025djzr/full/600,/0/default.jpg",,text,Manuscripts|~|Illuminations,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4986","University of California, Los Angeles. Library. Department of Special Collections",,arm,,,,"Text in large bolorgir in black ink, written in two columns of 19-21 lines. Initials and first lines of pericopes in large erkat'agir in red ink. Eusebian section numbers in margins against text; concordance numbers in lower margins.According to the principal colophon (fols. 218v-219), the MS was written by the priest Astuacatur, during the pontificate of Catholicos Zak'aria I (Sefedinian, 1296-1327), of the see if Aghtamar. Although the book was initally commissioned by the priests Karapet and Hayrapet, it was actually acquired by Hayrapet. Although the book's okace if execution is unknown, it can perhaps safely be assumed that it was written in teh region of Lake Van.",A.D. 1327,1327,,,,"A defective copy of the Four Gospels, whose principal divisions are as follows:Fols. 1-68v/ Gospel of Matthew (with Iacunae).Fols. 69-108v. Gospel of Mark (with Iacunae).Fols. 109-170v. Gospel of Luke (with Iacunae).Fols. 171-218v. Gospel of John (with Iacunae).Fols. 218v-219 Principal colphon, dated A.D. 1327.Fol. 219 Later inscription; undated.Fol. 219v. Two later inscriptions; undated.","Poor state of preservation. The penciled pagination shows that  originally the codex consisted of 259 folios, at least 40 of which had been removed before the book entered the Minasian collection. While retaining the original pagination, we have renumbered the surviving leaves to reflect the current state of the codex, and its contents are given according to this foliation. Because the covers are missing, the spine of the book and several leaves are loose. The edges of the leaves are frayed and many folios are partially torn. The codex also lacks the usual Letter of Eusebius to Carpianus, the Canon Tables, and the Prefacesand Indexes to the gospels. THere are some scribbles in Persian on fol. 219v.","It appeas that vandals have removed all the folios that once contained the codex's major illuminations, which probably included the usual rubricated Letter of Eusebius to Carpianus, the Canon Tables, the portraits of the evangelists, and the illustrated incipit pages of the individual gospels. The surviving folios contain 117 marginal illuminations, marking the pericope numbers. Around each number, a compass was used to rule a circle, which served as a guide for palmettes, birds, and floral and geometric designs, painted in a very light sepia wash. These swift sketches may have been intended to receive color later.",Fols. 218v-219. Principal colophon in large bolorgir.Fols. 219. Later inscription in minuscule bolorgir.Fol 219v. Later inscription in bolorgir.Fol. 219. Later inscription in notargir.,,"None. Textblock sewn and mostly intact (initial quires are detached from rest of textblock). Sewn on cords using a herringbone stitch. Traditional Armenian sewing structure, altough  present sewing is probably not the original, since there are two unusual notches visible. Fragment of cloth spine remains. Edges colored red.",219 folios,,32X24 cm.,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025djx7/manifest
Manuscript No. 3,Armenian Manuscripts,ark:/21198/zz0026w2v4,ark:/21198/zz0009gx2d,Work,paged,Private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w840/full/full/0/default.jpg,,text,Manuscripts,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4985","University of California, Los Angeles. Library. Department of Special Collections",,arm,,,,,,,,,,,,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026w2v4/manifest
Manuscript No. 5 Grigor Tatewac'i's Book of Questions,Armenian Manuscripts,ark:/21198/zz0025dkqm,ark:/21198/zz0009gx2d,Work,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dkw6/full/full/0/default.jpg,,text,Manuscripts|~|Illuminations,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4984","University of California, Los Angeles. Library. Department of Special Collections",,arm,,,Girk' Harc'manc',"Grigor Tatewac'i's ""Book of Questions"" appeared in two editions, the first published at New Julfa in 1685-87 and the second at Constantinople in 1729.|~|""The codex is a complete copy of Grigor Tatewac'i's  """"Book of Questions"""" which is a sort pf ecclesiastical-religious encyclopedia in the form of interrorgations and responses for the use of students. The work is divided into ten books.""",A.D. 1637,1673,,,,,"The codex is in a very good state of preservation. Its only defects: the binding is somewhat loose, and the margin of fol. 178 is partially torn off.","This manuscript's illustrations consist of the one half-page headpiece (fol. 6) eleven small one-column headpieces (fols. 1, 2, 57, 115, 155v. 211, 255, 350, 375, 417v, and 479v) with accompanying marginal ornaments and decorative initials, and two charts (fols. 193v and 328v).","Fols. 546-547.  Grigor Tatewac'i's colophon in minuscule nortargir.Fols. 556-556v.  Colophone of Grigor Tatewac'i's addressed to the vardapet Georg Erznkac'i, written in minuscule notargir. Fols. 556v-557.  Principal colophon of the codex, written in minuscule notargir.Fol. 1v.  Written by the scribeat the end of the table of contents, in nortargir.Fol. 435.  Written by the scribe in minuscule notargir.Fol. 479.  Written by the scribe in minuscule notargir.Much of the illumination in the codex is slightly smudged.",,"Rebound, probably in the late 19th century. Quarter cloth. Pasteboards covered with bright pink, stained paper, with faded purple cloth spine. No sqaures. Sewing intact, except first three quires resewn. Four V-notches evident. Edges colored red. No endbands, bit fragments of yellowed silk (?) endband threads remain.",557 fols.,,21x15 cm.,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025dkqm/manifest
Manuscript No. 8,Armenian Manuscripts,ark:/21198/zz001d8jd6,ark:/21198/zz0009gx2d,Work,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jg7/full/full/0/default.jpg,,text,Manuscripts,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4983","University of California, Los Angeles. Library. Department of Special Collections",,arm,"Hōhannis, Kostandinupōlsetsʻi",Yarut'iwn,"Miscellany, A. D. 1690-1700","See Sanjian, Avedis K. Medieval Armenian Manuscripts at the University of California, Los Angeles. Berkeley : University of California Press, 1999.|~|""A miscellany comprising three texts: (1) """"Book of Virtues"""" by Fra Pita; (2) """"The Wisdom of the Philosophers,"""" translated by the vardapet Yovhanes Kostandnupolsec'i; and (3) """"the Mirror of Conduct."""" (Sanjian, p. 88.)""",1690-1700,1690/1700,,,,"Book of Virtues by Fra Pita, pages 1-145.The 40 chapters of this book deal with the following themes: divine love, love of parents, natural love, sensual love, female love, love of friendship, wickedness and jealousy, rejoicing, sadness, peace, anger, charity, obduracy, liberality, greed, counsel, hypocrisy, prudence, foolishness, justice, injustice, fidelity, deceit, truth, falsehood, valor, timidity, magnanimity, vanity, perseverance, fickleness, temperance, intemperance, humility, pride, patience, gluttony, sagacity, licentiousness, and modesty. (Sanjian, p. 88-9.)Wisdom of the Philosophers, translated by the vardapet Yovhannēs of Constantinople, pages 145-170. This work is a compendium of philosophical ideas attributed to Philo, Pythagoras, Cleopolus, Archita, Socrates, Aristophanes, Euripides, Theophrastus, and others. (Sanjian, p. 89.)The Mirror of Conduct, pages 171-536. The 71 chapters in this book deal with the following subjects: greed, innocence, forgiveness, contemplation, repentance, superiors, hatred, the kingdom of heaven, slander, goodwill, pious life, knowledge, theft, God's judgment, judges, remission of sins, treachery, oats, repentance, wisdom, weeping, silence, heeding the word of life, amusement, power of the cross, humility, confession, speech, smiling, stubbornness, women, virgins, communion, sickness, hospitality, the spirit, pride, angels, philanthropy, homicide, the holy Virgin Mary, the rich man, success, jealousy, intemperance and gluttony, almsgiving, charity and philanthropy, peace be unto you, Mary, sanctuaries, the Passion of Christ, the Divine Liturgy, the image of Theotokos, honor, fornication, deception by Satan, Divine love, love of friend, customs, usury, profligacy, faint-heartedness, contemplation, ministry, and the name of Christ. (Sanjian, p. 89.)","Lacunae between pages 164-165, 191-192, and 204-205. Two chapters in the book have been misnumbered: chapter 35 (page 320) should be 31, and chapter 56 (page 441) should be 55. (Sanjian, p. 88.)",,"The principal colophon is missing, but there are three colophons in the codex written by the scribe/priest Yarut'iwn. On page 90 he asks the reader to pray for him and gives the date April 9 in the year 1140 of the Armenian era (AD 1691). In the second colophon, on page 170, he states that the writing of the first text in the book was completed on April 28 in the year 1140 of the Armenian Era (AD 1691), and that the codex was written at the church of Surb Sion (Holy Zion) ""in the village of Šoš, which is Aspahan"" (that is Isfahan in Iran). The third colophon, on page 536, states that the writing of the last text in the codex was completed in the year 1149 of the Armenian Era (AD 1700); the scribe also provides the last date according to the Lesser Armenian Era, that is, ""in the year 85 (AD 1700), on the second of the month of Adam"" (April 21). (Sanjian, p. 88.)","The codex was written in Isfahan by the scribe/priest Yarut'iwn between 1690 and 1700. There is no indication as to who commissioned the book; the scribe may have written it for his own use. (Sanjian, p. 88.)",,1 volume (536 pages),,15 x 10 cm (written surface area 11 x 7.5 cm),,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d8jd6/manifest
Manuscript No. 14: The Shield of Faith by Mik’ayēl Ch‘amch‘ian,Armenian Manuscripts,ark:/21198/zz0026hv6g,ark:/21198/zz0009gx2d,Work,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026x3rh/full/full/0/default.jpg,,text,Manuscripts,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4982","University of California, Los Angeles. Library. Department of Special Collections",,arm,,,,"The MS is a copy of the abridged version of ""The Shield of Faith, Concerning the Orthodoxy of the Armenian Church"" (Vahan havatoy ułłap῾aṙut῾ean Hayastaneayc῾ Yekełec῾voy), authored by the Venice Mekhitarist Father Mik῾ayēl Č’amčian (1738-1823). According to Ormanian, the original unabridged manuscript of this work, a copy of which he saw in the library of the Antonian Armenian Catholic monastic order at Constantinople, consisted of 924 handwritten pages (see Ormanian, 1816, Azgapatum, para. 2165). In this work, which was written during the years 1776-1816, Č’amčian endeavored to defend the ""orthodoxy"" of the Armenian church against Catholic Armenian charges that it had deviated from the truth. There were ten such charges, namely, that the Armenians: 1) reject the decisions of the Council of Chalcedon; 2)proclaim only one nature in Christ; 3)reject the procession of the Holy Spirit from the Father and the Son; 4) hold an erroneous position toward life in the hereafter; 5) recite ""Holy God"" with the addition of ""who were crucified for us""; 6) celebrate Christmas on January 6; 7)do not dilute the Eucharistic wine; 8) do not conform to the observance of the Roman church'es rules and commandments; 9) reject extreme unction; 10) reject the primacy of the Roman see. Discussing each of these accusations, Č’amčian concludes that the charges are groundless and that ""there is no justification for calling the Armenians deviationists or heretics; rather, they must be recognized as orthodox"".",,,,,,"The principle divisions, as they appear in the codex, are as follows:Fol. 1. Title page. (Fols. 1v-2v are blank.)Fols 3-4v. Introduction: Affirmation of the Orthodoxy of the Armenian Church.Fols. 4v-7. Chapter I: On the Council of Chalcedon.Fols. 7-9v. Chapter II: On the nature in Christ.Fols. 9v-11v. Chapter III: On the procession of the Holy Spirit.Fols. 11v-13v. Chapter V: On the recitation of ""Holy God"" with the addition ""who were crucified for us.""Fols. 13v-31. Chapter X: On the primacy of the Apostolic See of Rome. Fols. 31-37. Chapter IX: On extreme unction.Fols. 37-45v. Chapter VII: On diluting the Eucharistic wine. Fols. 45v-52. Chapter VIII: On conforming to the observance of church rules and commandments. (The scribe has erred in designating this as Chapter IV.)Fols. 52-54v. Chapter VI: On the feast of the Nativity of Christ.Fols. 54v-57v. Chapter IV: On the attitude toward life in the hereafter.Fol. 58. Blank.Fols. 59-60. Document concerning the original unabridged manuscript pf ""The Shield of Faith"" and the Inquisition's verdict exonerating  Č’amčian from charges of heresy.Fols. 60-60v. Inscription dated 1824 written by deacon Pōłos Petrosian.Fol. 61 Inscription dated 1846 written by vardapet Isahak Ter Grigorian.Fol. 61v. Inscription dated 1852 written by the priest Martiros Ter Yovakimian. Fols. 62-65v. Blank.",Very good state of preservation.,,Fols. 59-60. The unabridged Text and the Verdict of the InquisitionFol. 60-60vFol. 61Fol. 61v,"The title page on fol. 1 indicates that the codex was written by the deacon Pōłos Petrosian Konstandnupōlsec῾i in February 1823 at the port city of Tuzla in Cyprus. A notice written in pencil on the inside of the back cover informs us that Dr. Minasian acquired the codex on May 28, 1956, from Mrs. Rosie Dionisian.The text of the abridged version of Č’amčian's ""Shield of Faith"" was published in Calcutta in 1873 by the priest Yovhannes Xačikian. The publication was based on the abridged version copied at Tuzla, Cyprus, in 1823.","19th century half-leather, dark brown, with blue and brown marbled paper over pasteboards. Paper pastedown. No endbands. Spine is divided into six panels by gold-tooled fillets, with an acorn stamp gold-tooled into each panel. Edges lightly sprinkled in red. Text paper is pale purple. Not a traditional Armenian binding. Embossed stamp in upper right corner throughout text reads: ""J. WHATMAN [or WEATMAN?] 1941"" around a crown.",65 fols.,,18.5 X 11.5 cm.,,Vahan Havatoy,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026hv6g/manifest
Manuscript No. 16,Armenian Manuscripts,ark:/21198/zz002gxc5w,ark:/21198/zz0009gx2d,Work,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gxcs6/full/full/0/default.jpg,,text,Manuscripts,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4981","University of California, Los Angeles. Library. Department of Special Collections",,arm,,,,,,,,,,,,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxc5w/manifest
"Manuscript No. 17: Menologium and Sermonary, 17th Century",Armenian Manuscripts,ark:/21198/zz0026hv70,ark:/21198/zz0009gx2d,Work,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026xg6j/full/full/0/default.jpg,,text,Manuscripts|~|Illuminations,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4980","University of California, Los Angeles. Library. Department of Special Collections",,arm,,,Yaysmavurk' ew Kʻaroz girkʻ,"Paper; 89 folios. Text in notragir, written in one column on 28 lines. Subtitles of texts in red bolorgir. Large decorative initials on the opening lines of text: the first lines of text are in magenta arkat’agir, the second in red bolorgir, the rest of the page in notragir. Numerous initials throughout the codex in red notragir capital letters.There are two sets of quire numbers. According to the original numbering, the codex consisted of 8 quires, but at least 8 leaves are missing at the beginning and others at the end of the book.  The first numbered quire is on fol. 9v, designating it as quire 2. The remaining numbered quires have a varying number of leaves: no. 3 has fourteen, no. 4 has sixteen, nos. 5, 6, and 12 have twelve, and no. 7 has ten leaves. According to the second set of quire numbers, the original codex consisted of 14 numbered quires.",17th century,1601/1700 A.D.,,,,"This defective MS contains five readings from the Armenian Menologium (Yaysmavurk' ), twenty sermons (Kʻaroz girkʻ), and four leaves from a copy of the calendar of Feasts (Tonatsʻuytsʻ) of the Armenian Church. The principle divisions of the book are as follows:I.	MenologiumII.	SermonaryIII.	Calendar of Feasts","Poor state of preservation. Folios missing at the beginning and end of the codex. Some leaves have suffered damage from dampness. Crude outline drawings in black ink have been added in more recent times. The margin of fol. 4 has been cut out, probably to remove the decoration.","The MS is illustrated with 13 marginal ornaments and 14 large decorative initials.  Each illumination is based on a drawing in uneven lines of black ink. Up to folio 48v, the drawings have been overpainted in bright, uneven washes of red, blue, and purple. Little blank paper is reserved, and the resulting images look flat. Starting with fol. 48v, the ink drawings have not been colored. On folios 1-73, the decorative initials correspond to the marginal illuminations. These letters are all bird-form. Often they deviate awkwardly from traditional dispositions of the birds; for example, the letter A is composed if three birds of equal size, two joined at their tails to form the vertical body of the letter, and the third comprising a greatly oversized horizontal ligature. Starting with fol. 74v, the letters are no longer bird-form, and there are no marginalia.Fol. 86v, one of the older leaves at the end, that do not belong to this codex, carries a badly preserved one-column headpieces and a marginal palmette, drawn in magenta and highlighted in blue. Their softly modeled forms recall the illumination of MS 5.","Prayers/inscriptions written by scribe:Fols, 17, 20, 37v, 48v, 51v, 54, 57v, 61v, 65, and 79vLater inscriptions:Fols. 38v-39r. Written in lower margins of both pages in crude handwriting.Fol. 59v. In left margin in bolorgir.Fol. 85v. Two illegible inscriptions, one in left margin and the other in lower margin.Fol. 86. In lower margin in notragir.Fol. 86v. At the end of text in left column in notragir.Fol. 86v. In lower margin in crude notragir.Fol. 87v. In left and lower margins in crude notragir.","The principal colophon is missing; hence the book’s date of execution and provenance are unknown. However, nine of the texts end with prayers mentioning names of individuals associated with the writing of the codex. Additionally, there is prayer on fol. 17 which asks, “Christ God have mecy upon me, the recipient of this book, the unworthy priest”; this owner’s name, however, is not mentioned here. His identity is revealed in the prayer on fol. 79v, which asks that Christ forgive the sins of “the recipient of this book, the priest Margar, as well as my mentor Awet.” Four other prayers (fols. 20, 51v, 57v, and 61v) indicate that the MS was copied by the zhamarar (officiating priest) Margar, that is, the same cleric who owned the codex. Another four prayers (fols. 54 and 65) also provide the name of Margar’s immediate family members, namely, “my father Alayverdi, my mothers Asēlxan, Yana, and Khat’un, and my brother Kirakos”; two of these prayers (fols. 54 and 65) also provide the name of Margar’s sister Azat’lu. There is no explanation as to how Margar could have three mothers; we can perhaps conjecture that Asēlxan was his biological mother and Yana Xat’un were his stepmothers.The MS was probably written in the first half of the 17th century at New Julfa in Isfahan. The earliest date found in the codex is in an inscription on fol. 86v, referring to “the martyrdom for his Christian faith” of an individual named Grigor in the year 1090 of the Armenian Era (=A.D. 1641) in the village called Xoyigan. (Xoygan was an Armenian village in the district of P’ēria in the province of Isfahan.) Another inscription on fol. 86v refers to the death of an Armenian notable named Aghay Zak’arē on Ascension Day in the year 1137 of the Armenian Era (= A.D. 1688). Similarly, another inscription (fol. 87v) records the deaths of two other individuals ; K’erixan, son of Sahak, and Varder, in A.D. 1704 and 1747, respectively. Yet another inscription (fol. 86), dated A.D. 1721 and 1726, mentions Shah Sultan Husain of Iran, and the wedding og an individual named Apriham, son of Sahak.Two inscriptions suggest that in the late 19th century the codex may have been owned by an individual named Abraham Hērapet or Aprayham Hēraypet, whose notices are dated A.D. 1878 (fols. 38-39) and 1887 (fol. 59v).There is no indication as to when and from whom the codex was acquired by Dr. Minasian.","None: At present, textblock is crudely stab-sewn with thick cord wrapped through stabbed hole and spine. Fragments of original leather and cloth spine lining can be seen on spine. Text was previously sewn over four vellum supports.",,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026hv70/manifest
Manuscript No. 18,Armenian Manuscripts,ark:/21198/zz002gxc6d,ark:/21198/zz0009gx2d,Work,paged,,,"https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gz5g3/full/600,/0/default.jpg",,text,,pd,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4979","University of California, Los Angeles. Library. Department of Special Collections",,arm,,,,,,,,,,,,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxc6d/manifest
