Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sp507,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Koran. $p Sūrat al-Ikhlās $v Commentaries,,,"Dawwānī, Muḥammad ibn Asʿad, $d 1426 or 7-1512 or 13",,,,,,,,Arabic,Nastaʿlīq,,0030_005,Tafsīr Sūrat al-Ikhlāṣ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",984 [1576 or 1577],,,,(5) Pp. 153-195.  Qurʾānic commentary with notes in the margins.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",تفسير سورة الاخلاص,,1576/1577,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sp5cx,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Islam $x Doctrines $v Early works to 1800|~|Free will and determinism $x Religious aspects $x Islam $v Early works to 1800,,,"Dawwānī, Muḥammad ibn Asʿad, $d 1426 or 7-1512 or 13",,,,,,,,Arabic,Nastaʿlīq,,0030_006,Khalq al-aʿmāl,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",984 [1576 or 1577],,,,(6) Pp. 196-206.  Theological treatise on free will and predestination. Includes notes in the margins.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",خلق الاعمال,,1576/1577,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sp5rm,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Islam $x Doctrines $v Early works to 1800,,,"Jāmī, $d 1414-1492",,,,ʿAlī Riḍa Sabzawārī,,,,Arabic,unidentified|~|Nastaʿlīq,,0030_007,Al-Durrah al-fākhirah fī taḥqīq al-madhāhib al-thalāthah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",984 [1576 or 1577],,,,"(7) Pp. 208-243.   Differing theological arguments, including those of Ḥasan al-Baṣrī and Abū al-Ḥasan al-Ashʿarī. Includes notes in the margins.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",الدرة الفاخرة في تحقيق المذاهب الثلاثة,,1576/1577,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sp64s,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,God (Islam) $x Attributes $v Early works to 1800|~|Islam $x Doctrines $v Early works to 1800,,,"Jāmī, $d 1414-1492",,,,Faḍl Allāh Sabzawārī,,,,Arabic,Nastaʿlīq,,0030_008,Ithbāt wujūd al-kullī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",984 [1576 or 1577],,,,(8) Pp. 244-250.  Philosophical treatise on the unity of being. Includes notes in the margins.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",اثبات وجود الكلي,,1576/1577,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sp6hg,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,God (Islam) $x Attributes $v Early works to 1800|~|Arabic language $x Etymology $v Early works to 1800|~|Karam (The Arabic word) $v Early works to 1800,,,"Lārī, ʿAbd al-Ghafūr , $d d. 1506",,,,,,,,Arabic,Nastaʿlīq,,0030_009,Qāʿidah manqūlah min mawlānā ʿAbd Allāh al-Yazdī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",984 [1576 or 1577],,,,(9) P. 251.  Beginning missing.  A short treatise on the meaning of the Arabic word karam.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",قاعدة منقولة من مولانا عبد الله اليزدي,,1576/1577,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sp6w5,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Liar paradox $v Early works to 1800,,,"Ṣadr al-Dīn Shīrāzī, Muḥammad ibn Ibrahīm, $d d. 1641",,,,,,,,Arabic,Nastaʿlīq,,0030_010,Risālah fī ḥall mushkilat kull kalāmī kādhib,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",ca. 984 [1576 or 1577],,,,"(10) Pp. 252-254.  Three-page treatise on the liar paradox. This problem of logic has been discussed since the 4th century B.C.E. Theophrastus is thought to have written on this topic, but his work is lost.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",رسالة في حل مشكلة كل كلامي كاذب,,1576/1577,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sp78b,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"God (Islam) $x Attributes $v Early works to 1800|~|Sufism $v Early works to 1800|~|Jāmī, $d 1414-1492. $t Durrah al-Fākhirah ",,,,,,"Lārī, ʿAbd al-Ghafūr , $d d. 1506",,,,,Arabic,Nastaʿlīq,,0030_011,Ḥ̣āshiyat ʿAbd al-Ghafūr al-Lārī ʿalā al-Durrah al-fākhirah lil-Jāmī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",985 [1577 or 1578],,,,(11) Pp. 256-301.  On kalām. A commentary on al-Durrah al-Fākhirah by ʿAbd al-Rahmān al-Jāmī. Author is unknown. Includes notes in the margins.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",حاشية عبد الغفور اللاري على  الدرة الفاخرة للجامي,,1577/1578,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spg6p,ark:/21198/zz000spg55,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Islam $x Doctrines $v Early works to 1800|~|Philosophy $v Early works to 1800,,,"Ṣadr al-Dīn Shīrāzī, Muḥammad ibn Ibrahīm, $d d. 1641",,,,,,,,Arabic,Nastaʿlīq,,0031_001,al-Shawāhid al-rubūbīyah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",12th C. [ca. 1689 to 1786],19 x 14 cm,,,"(1) Pp. 6-236.  The first 41 pages are damaged. There is a hole in the top half of the pages. A treatise on various aspects of theology and philosophy, including metaphysics, epistemology, etc. Includes notes in the margins.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",الشواهد الربوبية,,1689/1786,Dānishpazhūh dates manuscript as 12th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spg76,ark:/21198/zz000spg55,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Islam $x Doctrines $v Early works to 1800|~|Philosophy $v Early works to 1800|~|Metaphysics $v Early works to 1800,,,"Ṣadr al-Dīn Shīrāzī, Muḥammad ibn Ibrahīm, $d d. 1641",,,,Muḥammad ʿAlī ibn Muḥammad Ibrāhīm Yazdī,,,,Arabic,Naskh,,0031_002,al-Mashāʿīr,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",1198 [1784],19 x 14 cm.,,,(2) Pp. 238-281.  A well-known philosophical treatise on some metaphysical and theological issues. Includes notes in the margins.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",المشاعر,,1784,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spg8q,ark:/21198/zz000spg55,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Hadith (Shiites) $x Authorities $v Early works to 1800,,,"ʿĀmilī, Bahāʾ al-Dīn Muḥammad ibn Ḥusayn $d 1547-1621",,,,,,,,Arabic,Nastaʿlīq,,0031_003,al-Wajīzah fī dirāyat al-ḥadīth,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",12th C. [ca. 1689 to 1786],19 x 14 cm,,,"(3) Pp. 290-297.  Treatise on the transmission of ḥadīth, or ʿilm al-dirāyah. Includes notes in the margins.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",al-Wajīzah fī ʿilm al-dirāyah|~|الوجيزة في علم الدراية,,1689/1786,,,,,,,,,,
