"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Rights.copyrightStatus","Rights.notice","Rights.countryCreation","Rights.creatorCorporate","Name.creator","Subject.descriptiveTopic","Type.typeOfResource","Type.genre","Name.repository","Name.performer","Name.composer","Rights.generalNote","Rights.servicesContact","Description.note","Title","AltIdentifier.local","Date.creation","Format.dimensions","Format.medium","Relation.isPartOf","Date.digitized","Format.extent","Description.tableOfContents","Description.abstract","Waveform","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095rzd","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095rzd-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5r/zd/21198=zz00095rzd/ark%2B=21198=zz00095rzd.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performer: L. V. Conerly|~|Recorded by: David Evans|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley","(Instrumental)","clym200203wsde020-65_side1-11","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 04s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095rzd%2Faudiowaveform.dat","","","64.682667","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095rzd/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095s0d","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095s0d-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/0d/21198=zz00095s0d/ark%2B=21198=zz00095s0d.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performers: Henry R. Crossley; L. V. Conerly|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley|~|Recorded by: David Evans","If I Could Hear My Mother Pray Again","clym200203wsde020-65_side1-12","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 43s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095s0d%2Faudiowaveform.dat","","","103.253333","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095s0d/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095s1x","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095s1x-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/1x/21198=zz00095s1x/ark%2B=21198=zz00095s1x.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performer: Roosevelt Holts|~|Recorded by: David Evans|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley","Coal Black Pony","clym200203wsde020-65_side1-13","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","02m 56s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095s1x%2Faudiowaveform.dat","","","176.469333","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095s1x/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095s2f","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095s2f-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/2f/21198=zz00095s2f/ark%2B=21198=zz00095s2f.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performer: Roosevelt Holts|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley|~|Recorded by: David Evans","(Instrumental)","clym200203wsde020-65_side1-14","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","02m 25s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095s2f%2Faudiowaveform.dat","","","145.408","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095s2f/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095s3z","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095s3z-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/3z/21198=zz00095s3z/ark%2B=21198=zz00095s3z.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performers: Eddie D. Vernardo; L. V. Conerly|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley|~|Recorded by: David Evans","Stagolee","clym200203wsde020-65_side2-01","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","01m 55s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095s3z%2Faudiowaveform.dat","","","115.712","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095s3z/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095s4g","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095s4g-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/4g/21198=zz00095s4g/ark%2B=21198=zz00095s4g.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performers: Henry R. Crossley; L. V. Conerly|~|Recorded by: David Evans|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley","Pearl Blues","clym200203wsde020-65_side2-02","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","02m 30s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095s4g%2Faudiowaveform.dat","","","150.869333","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095s4g/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095s50","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095s50-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/50/21198=zz00095s50/ark%2B=21198=zz00095s50.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performer: Roosevelt Holts|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley|~|Recorded by: David Evans","Big Road Blues","clym200203wsde020-65_side2-03","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","02m 08s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095s50%2Faudiowaveform.dat","","","128.512","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095s50/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095s6h","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095s6h-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/6h/21198=zz00095s6h/ark%2B=21198=zz00095s6h.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performers: Henry R. Crossley; L. V. Conerly|~|Recorded by: David Evans|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley","See See Rider","clym200203wsde020-65_side2-04","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","02m 16s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095s6h%2Faudiowaveform.dat","","","136.533333","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095s6h/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095sdm","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095sdm-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/dm/21198=zz00095sdm/ark%2B=21198=zz00095sdm.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performer: Myrt Holmes|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley|~|Recorded by: David Evans","See See Rider","clym200203wsde020-65_side2-05","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","02m 10s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095sdm%2Faudiowaveform.dat","","","130.389333","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095sdm/manifest"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00095sf4","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00095sf4-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/5s/f4/21198=zz00095sf4/ark%2B=21198=zz00095sf4.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Performer: Roosevelt Holts|~|Title from tape: Holts - Conerly - Evans - Holmes - Speck - Ryan - Varnardo - Crossley|~|Recorded by: David Evans","(Instrumental)","clym200203wsde020-65_side2-06","1965-09-03","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","00m 43s","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00095sf4%2Faudiowaveform.dat","","","43.52","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00095sf4/manifest"
