Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL,IIIF Manifest URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p0zm,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p0zm%2F3c06m90v,Sheriffs--California--Los Angeles County|~|Vibraphonists--United States|~|African American jazz musicians,still image,copyrighted,unknown,Black-and-white photographs,"Biscailuz, Eugene W., $d 1883-1969|~|Hampton, Lionel",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Merriman, Ted",,,,,,,Collection 1867 Box 1 Folder 1,"Eugene Biscailuz talking to Lionel Hampton, Los Angeles, 1940s",,"L to R: Eugene Biscailuz, Lionel Hampton|~|All information concerning the content and description of the image was provided by Walter Gordon.",002|~|YRLSC_gordonphotos_0002,"Eugene Biscailuz was a perennial sheriff year after year in Los Angeles county. He was a very popular person. He rode down the street on a beautiful white horse; he raised horses. He had a son, too, who went into politics.|~|Lionel Leo Hampton was an American jazz vibraphonist, pianist, percussionist, bandleader and actor.",1940/1949,[between 1940 and 1949?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p0zm/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p114,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p114%2F2h76hs1j,African American physicians--California--Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Coleman, John Charles, $d 1906-1989",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"John Coleman, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,4|~|YRLSC_gordonphotos_0004,Dr. John Coleman was a prominent dentist and a member of the Grand Boule Sigma Pi Phi and Alpha Phi Alpha fraternities.,,[1940s?',1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p114/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p198,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p198%2Fhd718j27,African American businesspeople $z California $z Los Angeles|~|African American barbers $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Browne, Spencer, $d 1904-1991",Lifestyle|~|People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,Sheffield Studio,,,,,,,Collection 1867 Box 1 Folder 1,"Mr. & Mrs. Spencer Browne, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0012,"Spencer James Browne was born and raised in 1904 in Texas, and later attended Howard University. He was a successful barber, opening his first shop on Central Avenue in 1932, and his second shop on Western in the late 1950s. He also opened a restaurant in Santa Ana in 1943. He married Bettye Maria Horace in 1954.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p198/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1dt,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1dt%2Fzw31tm12,African American lawyers--California--Los Angeles|~|African American judges $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Gordon, Walter L., $c Jr., $d 1908-2012|~|Miller, Cleo Baines Lang, $d b. 1934|~|Ty, Catherine|~|Lang, Xenophon, $d 1917-2003|~|Schaeffer, Ted",Lifestyle,Nightclubs $z California $z San Fernando Valley,"University of California, Los Angeles. $b Library Special Collections",,zxx,Bob Douglas Photo,,,,,,,Collection 1867 Box 1 Folder 1,"Party at a club on San Fernando Road, San Fernando, Calif, 1950s",,"L to R: Walter L. Gordon, Jr., Catherine Tye (identified separately as Cecile Tyson), unidentified woman, Xenophon Lang and his wife (probably Cleo, wearing pearl necklace), Theodore (Ted) Schaeffer, unidentified woman.|~|All information concerning the content and description of the image was provided by Walter Gordon.",015|~|YRLSC_gordonphotos_0015,"Theodore (Ted) Schaeffer was an attorney who graduated from USC's law school. He later got involved in horserace gambling which, according to Walter Gordon, ruined Mr. Schaeffer financially.|~|Xenophon F. Lang was a Los Angeles Municipal Court judge. At the start of his law career he was Walter Gordon's professional colleague. He was married to Cleo Baines Lang Miller in 1957.|~|Walter L. Gordon, Jr. was an African American attorney in Los Angeles.",1957/1959,[circa 1957-1959],1 photograph : b&w,California--San Fernando,On back of photo: BOB DOUGLAS PGOTO / 2626 SO. MANHATTAN PL. - APT. 100 / LOS ANGELES 18 - PHONE RE. 2-0207,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p1dt/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1jw,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1jw%2Fzm16q85t,,still image,copyrighted,unknown,Black-and-white photographs,"Harris, Cassie, $d b. 1907 or 08|~|Sissle, Ethel",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Cassie Harris and Ethel (Sissle) Gordon, Los Angeles, 1940s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|L to R: unidentified woman (possibly Cassie Harris' daughter?), Cassie Harris, Ethel (Sissle) Gordon.",YRLSC_gordonphotos_0019,"Ethel Sissle (1915-1984) was maried to the band leader Noble Sissle, and later to Walter L. Gordon, Jr.|~|Cassie Harris came to Los Angeles from Chicago, and eventually worked at the Dunbar Hotel. She was socially active, and a charter member of the organization 13 Aides, a group of prominent women who devoted their time to organizing programs to support the underprivileged. She was married to Paul Harris, a cook.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p1jw/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1kd,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1kd%2Ffn645g5c,,still image,copyrighted,unknown,Black-and-white photographs,"Bledsoe, Tom",Lifestyle|~|People,,"University of California, Los Angeles. $b Library Special Collections",,eng,,,,,,,,Collection 1867 Box 1 Folder 1,"Tom Bledsoe from New York, 1960s",,Photograph appears to have some water damage.|~|All information concerning the content and description of the image was provided by Walter Gordon.,020|~|YRLSC_gordonphotos_0020,"According to Walter L. Gordon, Jr., Bledsoe came out to Los Angeles from New York in the 1960s.",1960/1969,[1960s?],1 photograph : b&w,California--Los Angeles,"On back of photograph: ""Bledsoe, a hustler out of New York, never worked a day in his life.""",,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p1kd/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1mx,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1mx%2Fms26v63h,African American journalists|~|African American jazz musicians|~|Journalists $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Heywood, Eddie, $d 1915-1989|~|Goodrich, Jim, $d 1918-1988|~|Washington, Leon H., $c Jr. $q (Leon Harold), $d 1907-1974|~|Cole, Louis V., $d 1901-1974",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Jim Goodrich (?), Leon Washington, Eddie Heywood, and Louie Cole, Los Angeles, 1940s",,"Jim Goodrich is the likely identity of the man standing on the far left. Leon Washington is the second man from the left (in army uniform). Eddie Heywood is second from the right (in checked jacket), and Louie Cole is on the far right. The two women in the photograph are unidentified.|~|All information concerning the content and description of the image was provided by Walter Gordon.",021|~|YRLSC_gordonphotos_0021,"Louis ""Louie"" V. Cole began his career as a newspaper reporter for the Sentinel and became a civic leader of South Central Los Angeles. He dubbed himself the ""Mayor of Central Avenue.""|~|Leon Washington, Jr. was the founder and publisher of the Los Angeles Sentinel.|~|Eddie Heywood was a jazz pianist, arranger and bandleader.|~|Jim (James Russell) Goodrich had a rich and varied journalism career. He obtained a journalism degree from the University of Illinois, and earned two masters degrees from UCLA: in journalism and political science. He was an urban affairs reporter for the Press-Telegram (in Long Beach), and an assistant director of information and reseatch for the Joint Center of Political Studies in Washington D.C.. He was with John son Publications for more than 10 years where he was, at various times, Hollywood editor and associate editor of Ebony magazine and West Coast Bureau chief for Jet magazine. He was the public relationist for Sammy Davis Jr. and, afterwards, as an editor at the Los Angeles Sentinel (1966-67).  He went on to teach at Harbor College, UCLA, and UC  Irvine, then became the director of the Mass Media Program at Central Washington University in Washington state.",1940/1949,[1940s],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p1mx/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1qg,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1qg%2Fgg24hh05,African American lawyers--California--Los Angeles|~|African American photographers $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Taylor, Curtis C. $q (Cavielle), $d 1896-1967|~|Towles, H. H. $q (Henry Howard), $d 1888-1964|~|King, N. Curtis $q (Norris Curtis), $d 1894-1960",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Dr. H. H. Towles, Curtis Taylor and Dr. N. Curtis King, Los Angeles, 1940s",,"Attorney Curtis C. Taylor (standing), Dr. H. Towles (left), and Dr. N. Curtis King (right).|~|All information concerning the content and description of the image was provided by Walter Gordon.",024|~|YRLSC_gordonphotos_0024,"Curtis C. Taylor was a successful   attorney. He earned his law degree at Howard University.|~|Dr. H. H. Towles had a successful medical practice in Los Angeles and was the medical director of Golden State Mutual Life frmo 1925-1957, and a vice president begining in 1945.|~|Dr. N. Curtis King was a physician who founded the Rose Netta Hospital in Los Angeles. It was known for having an interracial staff, and the first interracial blood bank, established by the Red Cross in 1942. Dr. King was also head of the Los Angeles Venereal Clinic and several other clinics.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p1qg/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1sh,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1sh%2Fsd61r35c,African Americans in musical theater $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Garner, George, $d 1892-1971",Lifestyle|~|People|~|Arts,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Griffin, Lola",,,,,,,Collection 1867 Box 1 Folder 1,"Cast of the musical Carmen Jones at George Garner's residence, Pasadena, 1950s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|Cast of theater (?) production of the musical Carmen Jones, posing on the steps of the residence of tenor George R. Garner in Pasadena.",YRLSC_gordonphotos_0026,George Garner was a tenor vocalist (and first African American to sing with the Chicago Symphony Orchestra) and conductor.,1950/1959,[1950s?],1 photograph : b&w,California--Pasadena,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p1sh/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1z3,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1z3%2Fwp80hb50,,still image,copyrighted,unknown,Black-and-white photographs,"Club Alabam (Los Angeles, Calif.)",Events|~|Lifestyle|~|Culture,Drag shows--California--Los Angeles|~|Nightclubs $z California $z Los Angeles,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Woods, Clyde, $e photographer",,,,,,,Collection 1867 Box 1 Folder 1,"Drag contest hosted by Bill Hefflin at the Club Alabam, Los Angeles, 1940s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|Drag ball hosted by Bill Hefflin at the Club Alabam, most likely on Halloween. The winner is in a grey striped two-piece suit, fourth from the left in the lineup.|~|The Club Alabam was located at 4015 S. Central Ave.",31|~|YRLSC_gordonphotos_0031,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,34.010371,-118.256883,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p1z3/manifest
