Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Type.genre,Type.typeOfResource,Subject.descriptiveTopic,Rights.copyrightStatus,Rights.statementLocal,Rights.publicationStatus,Name.subject,Name.landscapeArchitect,Name.illustrator,Rights.countryCreation,Rights.rightsHolderContact,Rights.servicesContact,Name.architect,Language,Subject.conceptTopic,Name.repository,Name.photographer,Name.artist,Name.creator,Name.designer,Rights.permission,Subject topic,Name.engineer,Relation.isPartOf,Description.caption,Description.note,AltTitle.other,Relation.relatedTo,Coverage.geographic,Date.normalized,Format.dimensions,Date.creation,Description.fundingNote,Format.extent,Title,Alt ID.local,Description.latitude,Description.longitude,AltTitle.uniform,Format.medium,Description.contents,Description.adminnote,Opac url,Description.abstract,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz0008c7sv,,2,Completed,Collection,,0,,,,Black-and-white photographs|~|landscaping plans,still image,,copyrighted,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,eng,"Landscape architects--California, Southern--Archival resources|~|Gardens $z California, Southern $x Design|~|Landscape architecture $z California $z Los Angeles","University of California, Los Angeles. $b Library Special Collections",,,"Cornell, Ralph D.",,N,,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Photographs are from unprocessed section of collection; thus image Alt IDs have no box or folder numbers.  IDs named after name of residence.As of January 2, 2008, Photographs are kept in box in S/C downstairs(basement) with unprocessed materials.",Ralph D. Cornell Papers,,,1919/1950,,1919-1950,Access to this collection is generously supported by Arcadia funds.,,"Ralph D. Cornell Papers, 1925-1972",Collection 1411,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=964537,"Ralph D. Cornell was the supervising landscape architect at UCLA from 1937-72. Some of Cornell's other landscape architecture projects included Pomona College, Torrey Pines Park, Los Angeles Music Center, and La Brea Tar Pits. The collection consists of office files, business records, correspondence, photographs, slides, glass negatives, and books related to Ralph D. Cornell's career as a landscape architect and designer.",http://www.oac.cdlib.org/findaid/ark:/13030/kt7w100619,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008c7sv
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090k3t,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090k3t-1-master.tif,1,,,,Black-and-white photographs|~|exterior views,still image,dwellings|~|terraces (landscaped-site elements)|~|gardens|~|steps,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"Grant residence (Beverly Hills, Calif.)","Huntsman-Trout, Edward, 1889-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture|~|ponds (water) ,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","Note on back of photograph states: Edw. Huntsman -Trout, Land. Arch.  E.J. Grant - Beverly Hills - 2/15/31","View towards terraced garden, with lily pond, walkway and steps, an house|~|Text from nitrate negative sleeve: E. G. Grant, Beverly Hills, 2/15/1931, E. H. Hunt [sic], LA",Grant residence,ark:/21198/zz002b67rp (negative),California--Beverly Hills,1931-02-15,10 x 13 cm. (4 x 5 in.),"February 15, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"Grant residence, exterior of house with garden, Beverly Hills, 1931",clus_1411_EJ_Grant_1,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090k3t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090k3t/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090k4b,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090k4b-1-master.tif,2,,,,Black-and-white photographs,still image,dwellings|~|trees|~|lawns (landscaped grass)|~|gardens|~|walls,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"Grant residence (Beverly Hills, Calif.)","Huntsman-Trout, Edward, 1889-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from nitrate negative sleeve: E. G. Grant, Beverly Hills, 2/15/31, E. H. Trout, LA|~|Note on back of photograph states: E.J. Grant Beverly Hills - 2/15/1931  E.H. Trout, L.A.",View across lawn towards house and garden wall,Grant Residence,ark:/21198/zz002b67s6 (negative),California--Beverly Hills,1931-02-15,10 x 13 cm. (4 x 5 in.),"February 15, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"Grant residence, lawn and house, Beverly Hills, 1931",clus_1411_EJ_Grant_2,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090k4b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090k4b/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090k5v,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090k5v-1-master.tif,3,,,,Black-and-white photographs|~|exterior views,still image,gardens|~|ponds (water) |~|walkways,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"Grant residence (Beverly Hills, Calif.)","Huntsman-Trout, Edward, 1889-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,terraces (landscaped-site elements)|~|landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Split image: house and terraced garden (left), and walkway or driveway next to house (right)|~|Note on back of photograph states : E.J. Grant Beverly Hills - 2/15/1931  Edw. Huntsman -Trout, Land. Arch.",Grant Residence,,California--Beverly Hills,1931-02-15,10 x 13 cm. (4 x 5 in.),"February 15, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"Grant residence, spilt image walkway and terrace, Beverly Hills, 1931",clus_1411_EJ_Grant_3,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090k5v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090k5v/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090k6c,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090k6c-1-master.tif,4,,,,Black-and-white photographs|~|exterior views,still image,dwellings|~|trees|~|gardens|~|driveways|~|shrubs,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"Grant residence (Beverly Hills, Calif.)","Huntsman-Trout, Edward, 1889-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"View from driveway towards house with exterior stairway and planting beds with Italian cypress trees, trees, bushes, a low hedge and potted plants|~|Note on back of photograph states: E.J. Grant Beverly Hills - 2/15/1931  Edw. Huntsman -Trout, Land. Arch.",Grant Residence,ark:/21198/zz002b67q5 (negative),California--Beverly Hills,1931-02-15,10 x 13 cm. (4 x 5 in.),"February 15, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"Grant residence, landscape around house and driveway, Beverly Hills, 1931",clus_1411_EJ_Grant_4,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090k6c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090k6c/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090k7w,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090k7w-1-master.tif,5,,,,Black-and-white photographs,still image,terraces (landscaped-site elements)|~|gardens|~|pergolas|~|garden walks,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"James R. Martin Residence (Los Angeles, Calif.)","Huntsman-Trout, Edward, 1889-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from nitrate negative sleeve: Jas. R. Martin, Beverly Hills, 2/15/31. E. H. Trout, LA, 265 N. Carolwood Dr.","View of pergola on hillside terrace|~|Handwriting on back of photograph states: James R. Martin -Beverly Hills  Edward Huntsman-Trout, Land. Arch. 2/15/31.  Photo by: Ralph D. Cornell.|~|Handwriting on back of photograph states: A particularly interesting treatment. Would like very much to have it, but do you suppose photographer could paint out broken glass in & lamp?  Believe they can touch up minor points like that, but am not sure - Is it lemon trees on left?",James R. Martin residence,ark:/21198/zz002b67x8 (negative),California--Los Angeles,1931-02-15,10 x 13 cm. (4 x 5 in.),"February 15, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"James R. Martin residence, pergola, Los Angeles, 1931",clus_1411_James_Martin_1,34.08273,-118.427667,,b&w nitrate negative,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090k7w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090k7w/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090k8d,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090k8d-1-master.tif,6,,,,Black-and-white photographs,still image,stairs|~|trees|~|gardens|~|fountains |~|walls,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"James R. Martin Residence (Los Angeles, Calif.)","Huntsman-Trout, Edward, 1889-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Arts|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",Handwriting on back of photograph states: James R. Martin 265 N. Carolwood Dr.  Beverly Hills - 2/15/31  Edw. Huntsman-Trout - Land. Arch.,View towards stairs and high wall with lion head fountain beneath  arch spouting water into basin on ground below,James R. Martin residence,ark:/21198/zz002b67v7 (negative),California--Los Angeles,1931-02-15,10 x 13 cm. (4 x 5 in.),"February 15, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"James R. Martin residence, stairs and lion head wall fountain, Los Angeles, 1931",clus_1411_James_Martin_2,34.08273,-118.427667,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090k8d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090k8d/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090k9x,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090k9x-1-master.tif,7,,,,Black-and-white photographs,still image,terraces (landscaped-site elements)|~|flower gardens |~|pergolas|~|garden walks,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"James R. Martin Residence (Los Angeles, Calif.)","Huntsman-Trout, Edward, 1889-",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"View towards tile wall in pergola garden walk lined with flower beds on hillside terrace|~|Handwriting on back of photograph states: Both pictures of this pergola are lovely - hard to choose between them - Beams of eucalyptus wood? Is it wall fountain at end, or just decorative tile? It is sharp slope, with terrace cut for pergola against retaining wall?   Photo by : Ralph D. Cornell|~|Handwriting on back of photograph states:Edw. Huntsman -Trout, Land. Arch.  James R. Martin - Beverly Hills 2/15/1931",James R. Martin residence,ark:/21198/zz002b67wr (negative),California--Los Angeles,1931-02-15,10 x 13 cm. (4 x 5 in.),"February 15, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"James R. Martin residence, pergola, Los Angeles, 1931",clus_1411_James_Martin_3,34.08273,-118.427667,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090k9x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090k9x/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090kbf,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090kbf-1-master.tif,8,,,,Black-and-white photographs,still image,dwellings|~|trees|~|gardens|~|garden walks,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"Heberton residence (Montecito, Calif.)",,,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"The Heberton residence, also known as the as Casa Dracaena and El Hogar, was built  by the architect George Washington Smith for himself in 1917. It was an immediate success and commissions for similar houses soon began. Ultimately Smith designed 80 houses (of which 54 were built) in the Santa Barbara area and he is often credited as starting the Spanish-Colonial Revival style of architecture in the United States.|~|View towards house from garden with trees, hedges, and a brick-paved walkway bordered by potted plants and planting beds|~|Handwriting on back of photograph states: Montecito 3/1/30  Mrs. Craig Herberton - 131 Mesa Rd.",Heberton residence,ark:/21198/zz002b6819 (negative),California--Montecito,1930-03-01,10 x 13 cm. (4 x 5 in.),"March 1, 1930",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"Heberton residence, garden with walkway, Montecito, 1930",clus_1411_Heberton_1,34.4257798,-119.6441711,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090kbf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090kbf/manifest
Cornell (Ralph D.) Papers.  Collection 1411,ark:/21198/zz00090kcz,ark:/21198/zz0008c7sv,2,Completed,Work,cornell/masters/21198-zz00090kcz-1-master.tif,9,,,,Black-and-white photographs,still image,walled gardens |~|lawns (landscaped grass)|~|planters (containers)|~|reflecting pools ,copyrighted|~|unknown,Rights owned by the Regents of the University of California,unknown,"Alfred E. Dieterich Residence (Montecito, Calif.)","De Forest, Lockwood, III $d 1896-1949",,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,landscape architecture,"University of California, Los Angeles. $b Library Special Collections","Cornell, Ralph D.",,,,N,People|~|Environment,,"Ralph D. Cornell Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"The estate was created in 1929-1930. The architect of the house was Addison C. Mizner and the gardens were designed by Lockwood De Forest. Named Casa Bienvenida by its first owner, Alfred E. Dieterich, the estate is currently known as Park Lane.|~|Reflecting pool in center of lawn, bordered by potted plants, planting beds and a wall.|~|Handwriting on back of photograph states: A.E. Dietrich [Dieterich] - Fore court  Montecito - 3-28-31",,ark:/21198/zz002b6bhh (negative),California--Montecito,1931-03-28,10 x 13 cm. (4 x 5 in.),"March 28, 1931",Access to this collection is generously supported by Arcadia funds.,1 photographic print,"Alfred E. Dieterich residence, view of reflecting pool and lawn, Montecito, 1931",clus_1411_Dietrich_1,34.441087,-119.617115,Alfred E. Dietrich residence,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090kcz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090kcz/manifest
