"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.servicesContact","Subject","Name.subject","Name.repository","Format.extent","Title","Alt ID.local","thumbnailImageName","masterImageName"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz000s9bqk","","2","Completed","Collection","","","","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","University of California, Los Angeles. $b Library Special Collections","","Gilmore (John) Papers. Collection 1144","","",""
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz00140hkd","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz00140hkd-1-master.tif","1","","","still image","","","","","1 b&w photograph","Address book [photograph]","","21198-zz00140hkd-1-thumbnail.jpg","21198-zz00140hkd-1-master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz00140hnf","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz00140hnf-1-master.tif","2","","","still image","","Black Dahlia ","Short, Elizabeth, 1924-1947|~|Giese, Ray","","","Capt. Ray Giese [photograph]","","21198-zz00140hnf-1-thumbnail.jpg","21198-zz00140hnf-1-master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz00140hr0","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz00140hr0-1-master.tif","3","","","still image","","","Sands, Jack","","1 b&w photograph","Jack Sands [photograph]","","21198-zz00140hr0-1-thumbnail.jpg","21198-zz00140hr0-1-master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz00140hsh","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz00140hsh-1-master.tif","4","","","still image","","Black Dahlia ","Conners, Jeff","","","Jeff Conners","","21198-zz00140hsh-1-thumbnail.jpg","21198-zz00140hsh-1-master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz00140ht1","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz00140ht1-1-master.tif","5","","","still image","","","","","","Leslie Dillion AKA Jack Sands [photograph]","","21198-zz00140ht1-1-thumbnail.jpg","21198-zz00140ht1-1-master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz0019qh03","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz0019qh03_734013_master.tif","6","","","still image","","","","","","Abel and Elija Soza","Box 14, folder 1","21198-zz0019qh03_734013_thumbnail.jpg","21198-zz0019qh03_734013_master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz0019qh1m","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz0019qh1m_734019_master.tif","7","","","still image","","","","","","Al Greenberg","Box 14, folder 1","21198-zz0019qh1m_734019_thumbnail.jpg","21198-zz0019qh1m_734019_master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz0019qh24","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz0019qh24_734025_master.tif","8","","","still image","","","","","","Harry Burnow","Box 14, folder 1","21198-zz0019qh24_734025_thumbnail.jpg","21198-zz0019qh24_734025_master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz0019qh3n","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz0019qh3n_734035_master.tif","9","","","still image","","","","","","Louis Abrams","Box 14, folder 1","21198-zz0019qh3n_734035_thumbnail.jpg","21198-zz0019qh3n_734035_master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz0019qh45","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz0019qh45_734046_master.tif","10","","","still image","","","","","","Marty Abrams","Box 14, folder 1","21198-zz0019qh45_734046_thumbnail.jpg","21198-zz0019qh45_734046_master.tif"
"Gilmore (John) Papers. Collection 1144","ark:/21198/zz0019qh5p","ark:/21198/zz000s9bqk","2","Completed","Work","gilmore/masters/21198-zz0019qh5p_734065_master.tif","11","","","still image","","","","","","Lola Titus","Box 14, folder 1","21198-zz0019qh5p_734065_thumbnail.jpg","21198-zz0019qh5p_734065_master.tif"
