"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","iiif_access_url","Type.typeOfResource","Type.genre","Subject","Name.subject","Name.repository","Rights.generalNote","Rights.creatorNote","Rights.copyrightStatus","Name.creator","Rights.notice","Title","Alt ID.local","Description.note","Coverage.geographic","Alt ID.collection","Date.creation","Coverage.temporal","Format.dimensions","Format.medium","Bucketeer State","IIIF Access URL"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025k1q4","","1","In progress","Collection","","","","","","","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","Ethnomusicology Archive: Photographic collection","","","","","","","","","",
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kb2n","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kb2n_1700245_master.tif","1","","still image","","","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","[Untitled]","ph_00366_1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb2n"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kb35","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kb35_1700251_master.tif","2","","still image","","","","","","","","","","[Untitled]","ph_00366_3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb35"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kb56","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kb56_1700261_master.tif","4","","still image","","","","","","","","","","Dong Youp Lee playing a drum","ph_00532","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb56"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kb6q","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kb6q_1700278_master.tif","5","","still image","","","","","","","","","","[Untitled]","ph_00366-1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb6q"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kb77","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kb77_1700284_master.tif","6","","still image","","","","","","","","","","[Untitled]","ph_00383_1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb77"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kb8r","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kb8r_1700290_master.tif","7","","still image","","","","","","","","","","[Untitled]","ph_00383_2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb8r"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kb98","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kb98_1700293_master.tif","8","","still image","","","","","","","","","","[Untitled]","ph_00366-2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb98"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kbbs","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kbbs_1700299_master.tif","9","","still image","","","","","","","","","","[Untitled]","ph_00383-1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbbs"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0025kbc9","ark:/21198/zz0025k1q4","1","In progress","Work","ethnophotos/image/21198-zz0025kbc9_1700302_master.tif","10","","still image","","","","","","","","","","[Untitled]","ph_00383-2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbc9"
