Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Coverage.geographic,Name.producer,Name.publisher,Subject,Rights.servicesContact,Language,Type.genre,Name.repository,Name.surveyor,Name.cartographer,Name.subject,Name.sponsor,Name.compiler,Name.lithographer,Name.artist,Format.dimensions,AltIdentifier.local,Title,AltIdentifier.oclc,Date,Format.extent,Description.note,AltIdentifier.callNo,Relation.isPartOf,Publisher.placeOfOrigin,Publisher.publisherName,AltTitle.caption,AltTitle.translated,AltTitle.other,AltIdentifier.collection,Description.abstract
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0002h48z,,2,Completed,Collection,,,,,still image|~|cartographic,,,,,,California -- Maps|~|United States -- Maps,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",spa|~|eng|~|fre,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,,,"Maps of Los Angeles, California, the United States and the World. Collection 294",,-1516,,,,,,,,,,Collection 294,"Collection consists of maps of Los Angeles, other parts of the United States, and various places in the world. Includes maps of California, California Geological Survey maps, tract maps of the San Francisco Bay area, beach cities of Southern California, New Mexico oil fields, maps from the 1860s concerning the American Civil War, railroad map of California, California gold fields, the Ranchos of Los Angeles, California city street maps, Mexico, South America, Caribbean, Russia, Australia, Pacific islands, Africa, India, Asia Minor, Middle East, Orient, Great Britain and Ireland, Western Europe, and world maps."
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0002h5pn,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz0002h5pn-1-master.tif,,,,still image|~|cartographic,pd,,California--Maps,,,Real property--California--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,"O'Hare, Daniel",,,"Morton, R. H.|~|Dinsmore, A. F.",,,148 x 121 cm. on sheets 81.5 x 130 cm.,clusc_1_1_00017719a|~|uclamss_294_b134_4a/4b,State of California,,1900,1 map on 2 sheets : col.,"scale: 1:750,000|~|Digitization took place as part of the California Cultures Project.|~|Relief shown by brown shading and spot heights.  Includes a numbered index to private land grants and a list of Indian missions.|~|""Department of Interior, General Land Office, Hon. Binger Hermann, Commissioner""  ""Compiled from the official records of The General Land Office and other sources under the supervision of Harry King, C.E. Chief of the Drafting Division G.L.O.""  ""Revised and drawn by Daniel O'Hare.""   ""Guggenheimer, Weil & Co., Photo-Lith., Balto.""",,http://calcultures.cdlib.org,"Washington, D.C.",United States. General Land Office. Drafting Division,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096df8,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096df8-2-master.tif,,,,still image|~|still image|~|cartographic|~|cartographic,pd|~|pd,,Los Angeles County (Calif.)--Maps|~|Los Angeles County (Calif.)--Maps,,,"Ranches--California--Los Angeles County|~|Ranches--California--Los Angeles County|~|Real property--California--Los Angeles County--Maps|~|Real property--California--Los Angeles County--Maps|~|Landowners--California--Los Angeles County--Maps|~|Landowners--California--Los Angeles County--Maps|~|Land grants--California, Southern--Maps|~|Land grants--California, Southern--Maps",,eng|~|eng,cadastral maps|~|cadastral maps,"University of California, Los Angeles. $b Library Special Collections|~|University of California, Los Angeles. $b Library Special Collections",,,,,,,,sizing varies|~|sizing varies,clusc_1_1_00017991a|~|uclamss_294_b131-ul/ur|~|clusc_1_1_00017992a|~|uclamss_294_b131-ll/lr|~|clusc_1_1_00017991a|~|uclamss_294_b131-ul/ur|~|clusc_1_1_00017992a|~|uclamss_294_b131-ll/lr,Official map of the county of Los Angeles|~|Official map of the county of Los Angeles,,circa 1898|~|circa 1898,1 map in 4 parts : col.|~|1 map in 4 parts : col.,"Cadastral map showing landowners.  Relief shown by hachures and spot heights.  Includes inset map of Santa Catalina and San Clemente Islands.  Upper left is 63 x 60.5 cm. on sheet 73.3 x 71.5 cm. Upper right is 63 x 65 cm. on sheet 73.5 x 71.5 cm.|~|C.N. Perry, Draughtsman|~|scale: ca. 1:95,000|~|Digitization took place as part of the California Cultures Project.|~|We hereby certify that this map has been approved by the Board of Supervisors as the official map of the county of Los Angeles for the purpose of defining all lines which are the boundaries of school and road districts, judicial townships and election precincts.  List of names of the LA County Board of Supervisors: H.L. Woodward, 1st District R.E. Hirshing, 2nd District E.S. Field, 3rd District A.E. Davis, 4th District James Stanley, 5th District|~|Cadastral map showing landowners.  Relief shown by hachures and spot heights.  Includes inset map of Santa Catalina and San Clemente Islands.  Upper left is 63 x 60.5 cm. on sheet 73.3 x 71.5 cm. Upper right is 63 x 65 cm. on sheet 73.5 x 71.5 cm.|~|C.N. Perry, Draughtsman|~|scale: ca. 1:95,000|~|Digitization took place as part of the California Cultures Project.|~|We hereby certify that this map has been approved by the Board of Supervisors as the official map of the county of Los Angeles for the purpose of defining all lines which are the boundaries of school and road districts, judicial townships and election precincts.  List of names of the LA County Board of Supervisors: H.L. Woodward, 1st District R.E. Hirshing, 2nd District E.S. Field, 3rd District A.E. Davis, 4th District James Stanley, 5th District",,http://calcultures.cdlib.org|~|http://calcultures.cdlib.org,"Los Angeles, Calif.|~|Los Angeles, Calif.",Los Angeles County (Calif.). County Surveyor|~|Los Angeles County (Calif.). County Surveyor,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dgs,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dgs-1-master.tif,,,,still image|~|cartographic,pd,,Los Angeles (Calif.)--Maps|~|Boyle Heights (Calif.)--Maps,,,,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,93.5 x 83.5 cm. on sheet 98.5 x 90 cm.,clusc_1_1_00017697a|~|uclamss_294_b18_1,Map of the city of Los Angeles,,1903,1 map : blueline print,"scale: 1:65,840|~|Relief shown by hachures.  Includes streets, parks and railways.  Boyle Heights included.|~|Digitization took place as part of the California Cultures Project.",G4364 L875 1903,http://calcultures.cdlib.org,"Los Angeles, Calif. (?)",,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dh9,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dh9-1-master.tif,,,,still image|~|still image|~|cartographic|~|cartographic,pd|~|pd,,Los Angeles (Calif.)--Maps|~|Los Angeles (Calif.)--Maps,,,Streets--California--Los Angeles--Maps|~|Streets--California--Los Angeles--Maps,,eng|~|eng,maps|~|maps,"University of California, Los Angeles. $b Library Special Collections|~|University of California, Los Angeles. $b Library Special Collections",,,,,,Los Angeles Lithographic Co.|~|Los Angeles Lithographic Co.,,62 x 51 cm. on sheet 67.5 x 54 cm. folded to 18 x 10 cm. in red printed wrappers|~|62 x 51 cm. on sheet 67.5 x 54 cm. folded to 18 x 10 cm. in red printed wrappers,clusc_1_1_00017257a|~|clusc_1_1_00017256a|~|uclamss_294_b108_1-front|~|uclamss_294_b108_1-back|~|clusc_1_1_00017257a|~|clusc_1_1_00017256a|~|uclamss_294_b108_1-front|~|uclamss_294_b108_1-back,"Map of the city of Los Angeles, 1897 : accompanying Maxwell's Los Angeles city directory and gazetteer of Southern California|~|Map of the city of Los Angeles, 1897 : accompanying Maxwell's Los Angeles city directory and gazetteer of Southern California",,circa 1897|~|circa 1897,1 map : col.|~|1 map : col.,"Rail lines over printed in red. Includes street index.|~|""Compiled from official surveys under the supervision of Dana H. Burks, Secretary, ""Street Naming Commission"" and showing all changes--326 in number--made by the Commission and approved by the City Council.""  ""Entered according to act of Congress in the office of the Librarian of Congress at Washington, D.C. in the year 1897, by Los Angeles Directory Co.""|~|Cover title: ""Los Angeles Directory Co.'s official map of the city of Los Angeles, Cal.""|~|Digitization took place as part of the California Cultures Project.|~|Scale not given.|~|Rail lines over printed in red. Includes street index.|~|""Compiled from official surveys under the supervision of Dana H. Burks, Secretary, ""Street Naming Commission"" and showing all changes--326 in number--made by the Commission and approved by the City Council.""  ""Entered according to act of Congress in the office of the Librarian of Congress at Washington, D.C. in the year 1897, by Los Angeles Directory Co.""|~|Cover title: ""Los Angeles Directory Co.'s official map of the city of Los Angeles, Cal.""|~|Digitization took place as part of the California Cultures Project.|~|Scale not given.",G4364 L8 1897 L67|~|G4364 L8 1897 L67,http://calcultures.cdlib.org|~|http://calcultures.cdlib.org,"Los Angeles, Calif.|~|Los Angeles, Calif.",Los Angeles Directory Company|~|Los Angeles Directory Company,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dkb,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dkb-1-master.tif,,,,still image|~|cartographic,pd,,Orange County (Calif.)--Maps|~|Los Angeles County (Calif.)--Maps,,,Real property--California--Orange County--Maps|~|Real property--California--Los Angeles County--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections","Stevenson, H. J.",,,,,,,42.5 x 39 cm. on sheet 49 x 48 cm.,clusc_1_1_00017211a|~|uclamss_294_b125_2,"Map of the county of Los Angeles, California",,1881,1 map : col.,"scale: 1:380,160|~|""Table of distances from the court-house of Los Angeles as centre""|~|Digitization took place as part of the California Cultures Project.|~|Relief shown by hachures.  Inset map of Santa Catalina and San Clemente Islands.  Also covers Orange County.|~|""Entered according to act of Congress in the year 1880 by H.S. Stevenson in the Office of the Librarian of Congress at Washington""",,http://calcultures.cdlib.org,"Oakland, Calif.",Los Angeles County (Calif.). County Surveyor,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dmv,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dmv-1-master.tif,,,,still image|~|cartographic,pd,,Los Angeles County (Calif.)--Maps,,,Real property--California--Los Angeles County--Maps|~|Landowners--California--Los Angeles County--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,"Stevenson, H. J.",,,81.8 x 60 cm. on sheet 89.3 x 64.4 cm.,clusc_1_1_00017690a|~|uclamss_294_b37_1,"Map of the city of Los Angeles, California",,circa 1884,1 map : col.,"Cadastral map by Stevenson, U.S. Dept. Surveyor|~|Relief shown by hachures and spot heights|~|scale: 1 : 14,400. 1200 ft. to 1 in.|~|Digitization took place as part of the California Cultures Project.",G4364 L875 1884,http://calcultures.cdlib.org,"Washington, D.C. (?)",United States. Surveyor General,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dnc,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dnc-1-master.tif,,,,still image|~|cartographic,pd,,,,,Real property--California--Orange County--Maps|~|Real property--California--Los Angeles County--Maps,,eng,cadastral maps,"University of California, Los Angeles. $b Library Special Collections","Wood, S. O.",,,Puente Crude Oil Company,,,,48.5 x 75.5 cm. on sheet 52.5 x 79.5 cm.,clusc_1_1_00017400a|~|uclamss_294_b93_1,Map of the sub-division of the Puente Crude Oil Co's lands,,"December 20, 1901",1 map : blueprint,"Digitization took place as part of the California Cultures Project.|~|scale: 10 chains to 1 inch|~|Includes Ranchos La Brea, Canon de Santa Ana and La Puente. Also shows holdings of other oil companies in the area.",G4363 O6 1901,http://calcultures.cdlib.org,"Los Angeles, Calif.",,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dpw,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dpw-1-master.tif,,,,still image|~|cartographic,pd,,Rancho Sausal Redondo (Calif.)--Maps|~|Rancho Centinela (Calif.)--Maps|~|Rancho La Ballona (Calif.)--Maps,,,"Real property--California, Southern",,eng,cadastral maps,"University of California, Los Angeles. $b Library Special Collections",,"Howland, Chas. H. (Charles H.)",,,,,,33.5 x 48.5 on sheet 41 x 55.5 cm.,clusc_1_1_00017228a|~|uclamss_294_b123_2,"Map of Sausal Redondo Rancho, Centinela Rancho and part of Rancho La Ballona",,1901,1 map : blueline print,Scale not given|~|Digitization took place as part of the California Cultures Project.|~|Some tract names handwritten in pencil.  Relief shown by hachures.,,http://calcultures.cdlib.org,,,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dqd,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dqd-1-master.tif,,,,still image|~|cartographic,pd,,San Francisco Peninsula (Calif.)--Maps,,,,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,United States Coast Survey,,,,,,70 x 45 cm. on sheet 74.5 x 50.5 cm.,clusc_1_1_00017392a|~|uclamss_294_b71_1,San Francisco Peninsula,,1869,1 map,"Digitization took place as part of the California Cultures Project.|~|Relief shown by contours, spot heights, and land form drawings.|~|scale: 1:40,000|~|Includes the seal of the U.S. Coast Survey Office.  ""U.S. Coast Survey, Benjamin Pierce, Superintendent""  ""Verified, T.E. Hilgard, Assist. Coast Survey. in charge of Office""|~|U.S.C. & G.S. 3055  ""Plate no. 1179""  ""Electrotype copy no. 1, U.S.C.S.""",G4364 S216 1869,http://calcultures.cdlib.org,"Washington, D.C.",,,,,,
