Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.genre,Name.photographer,Type.typeOfResource,AltIdentifier.local,Title,Subject,Name.subject,Description.note,Summary,Date.creation,Coverage.geographic,Description.latitude,Description.longitude,Relation.isPartOf,Format.extent,AltTitle.other,Name.repository,Rights.servicesContact,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Borcherdt (Donn) Collection,ark:/21198/zz002jn50n,,1,Completed,Collection,,,,,,,,,,Donn Borcherdt Collection,,,"Donald R. Borcherdt, known as ""Donn"" to his friends and colleagues, received his B.A. from UCLA in music in 1956.  He earned his M.A. in music with a specialization in ethnomusicology in 1962, and by 1966 had advanced to doctoral candidacy in music with a specialization in ethnomusicology.  Borcherdt conducted field research in Mexico in 1960, 1961, and 1963-1964 and in Chile in 1966-67.  Borcherdt also hosted the weekly radio program, ""Many Worlds of Music,"" in 1960-1962, on KPFK in Los Angeles.  In 1961, Borcherdt, started a student-run mariachi class, Conjunto Mariachi or Conjunto Uclatlán [the land of UCLA], in the then Institute (now Department) of Ethnomusicology at UCLA, making UCLA the first academic institution in the United States to offer mariachi classes.  In 1967-1968, Borcherdt made a final fieldwork trip to Mexico to continue his studies on mariachi music in Jalisco and Michoacán.  He died unexpectedly in Mexico in 1969.  The Ethnomusicology Archive holds his complete collection, including fieldwork recordings, field notes, these photos, and nearly 2,000 index cards filled with the outline of his dissertation.  As Professor Lauryn Salazar concluded in her own dissertation, ""had he lived to finish his dissertation, it would have been a seminal work within the field."" Salazar, Lauryn Camille. 2011. ""From Fiesta to Festival: Mariachi Music in California and the Southwestern United States."" PhD diss., University of California, Los Angeles.","Donn Borcherdt was born in Montrose, California. Borcherdt was a composer and pianist. After he received his BA from UCLA in composition and conducting, he began his graduate studies in ethnomusicology in 1956, focusing first on Armenian folk music and, later, on the music of Mexico. He earned his MA from UCLA in 1962. Borcherdt conducted field research in Jalisco, Mexico, in 1960, 1961, and 1963-64. His publications include ""Armenian Folk Music in the Los Angeles and Fresno Areas,"" Western Folklore (1959). Borcherdt also hosted the weekly radio program, ""Many Worlds of Music,"" in 1960-62, on KPFK in Los Angeles.",,,,,,447 photographs,"Donn Borcherdt photograph collection, 1960-1966",,"UCLA Ethnomusicology Archive. 1630 Schoenberg Music Building.  Box 951657.  Los Angeles CA 90095-1657
E-mail: archive@schoolofmusic.ucla.edu. Phone: 310-825-1695",,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002jn50n
Borcherdt (Donn) Collection,ark:/21198/zz002jvc9w,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvc9w_2366994_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams011.tif|~|DB-011,"Chile (Tapique) - Outdoors scene with woman, between 1966-1967",Orchards--Chile--Tapique,,Woman standing in an orchard of blossoming trees.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvc9w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvc9w/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcbd,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcbd_2367150_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams028.tif|~|DB-028,"Chile (Curicó) - Fundo Curicó, dirt lane, between 1966-1967",Dirt roads--Chile--Curicó,,"Dirt road, lined with trees, and a branch and wire fence on the left.",,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcbd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcbd/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvccx,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvccx_2367000_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams013.tif|~|DB-013,"Chile (Tapique) - Outdoors scene, between 1966-1967",Rural areas--Chile--Tapique|~|Dwellings--Chile--Tapique,,View up a hill towards a house.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvccx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvccx/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcdf,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcdf_2367156_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams030.tif|~|DB-030,"Chile (Curicó) - Fundo Curicó, timber framed fence with wattle, between 1966-1967",Fences--Chile--Curicó,,,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcdf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcdf/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcfz,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcfz_2366997_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams012.tif|~|DB-012,"Chile (Tapique) - Flower, between 1966-1967",Flowers--Chile--Tapique,,Close-up view of a small flowering plant.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcfz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcfz/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcgg,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcgg_2367018_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams019.tif|~|DB-019,"Chile (Tapique) - Outdoors scene with building, between 1966-1967",Rural areas--Chile--Tapique,,,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcgg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcgg/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvch0,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvch0_2367246_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,DB-044|~|cleth_196601_ams044.tif,"Chile (Farellones) - Mountain road, between 1966-1967",Mountain roads--Chile--Farellones,,Mountain road near the village of Farellones.,,between 1966-1967,Farellones (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvch0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvch0/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvck1,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvck1_2367003_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,DB-014|~|cleth_196601_ams014.tif,"Chile (Tapique) - Landscape with cows, between 1966-1967",Rural areas--Chile--Tapique|~|Cows--Chile--Tapique,,,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvck1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvck1/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcmj,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcmj_2366967_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams002.tif|~|DB-002,"United States - Flowers, 1960-1968",Flowers,,Yellow flowers in front of a wooden fence.,,1960-1968,United States,,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcmj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcmj/manifest
