Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Name.repository,Subject,Name.creator,Title,Alt ID.local,Alt ID.oclc,Description.latitude,Description.longitude,Date.creation,Format.dimensions,Relation.isPartOf,Coverage.geographic,Description.note,Format.extent,Date.normalized,AltTitle.other,Publisher.publisherName,Publisher.placeOfOrigin
Southern African Maps in Books,ark:/21198/zz0028tkq7,,2,Completed,Collection,,,,,,,,,,,,,Southern African Maps in Books,,,,,,,,,,,,,,
Southern African Maps in Books,ark:/21198/zz002b1ggp,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/21198-zz002b1ggp_1980028_master.tif,1,,,,,,,,,,,Hondius: Klare besgryving van Cabo de Bona Esperancia page 32,,,,,,,,,,,,,,
Southern African Maps in Books,ark:/21198/zz002b1gh6,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/21198-zz002b1gh6_1980039_master.tif,2,,,,,,,,,,,Colburn's united Service magazine and navel and military journal:  part 1 page 289,,,,,,,,,,,,,,
Southern African Maps in Books,ark:/21198/zz002b1gjq,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/21198-zz002b1gjq_1980044_master.tif,3,,,,,,,,,,,Lauts:  De Kaapsche landverhuizers of Nederlands page 138,,,,,,,,,,,,,,
Southern African Maps in Books,ark:/21198/zz002b1gk7,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/21198-zz002b1gk7_1980047_master.tif,4,,,,,,,,,,,lichtenstein:  Reisen im sul dlichen Afrika in den Jahren...,,,,,,,,,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwrz0,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Alexander_0023.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Sketch map of the eastern frontier,SAMAPS_Alexander_0023,6704313,-30.559482,22.937506,1837,9.3 x 15.8 cm,"Alexander, James Edward. Narrative of a voyage of observation among the colonies of Western Africa, in the flag-ship Thalia. London : H. Colburn, 1837.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bws00,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Allemann_0006.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Carte du Cap de Bonne Esperance et de ses environs,SAMAPS_Allemann_0006,3833084,-34.3570158,18.473668,[1919],12.7 x 10.7 cm,"Mentzel, O. F. Life at the Cape in mid-eighteenth century. Cape Town : The Van Riebeeck society, 1919.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bws1h,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Arbousset_0047.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Map illustrative of tour of Messrs. Arbonsset & Doumos,SAMAPS_Arbousset_0047,37996,-30.559482,22.937506,[1968],29.4 x 28.8 cm,"Arbousset, Jean Thomas. Narrative of an exploratory tour to the north-east of the colony of the Cape of Good Hope. Cape Town: Struik, 1968.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bws21,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Berkeley_0060.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Skeleton map of a portion of the eastern frontier of the Cape of Good Hope,SAMAPS_Berkeley_0060,18041177,-32.9833333,27.8666667,[n.d.],29.6 x 37.4 cm,"Berkeley, G. F.-H. Memoranda on the Kaffir War in 1847. [n.p., n.d.].",Eastern Cape (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bws3j,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Botha_0024.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Topographical sketch of the Kat River settlement, & adjacent country",SAMAPS_Botha_0024,482822,-30.559482,22.937506,1852,18 x 22 cm,"Botha, Andries. Trial of Andries Botha, Field-Cornet of the Upper Blinkwater, in the Kat River Settlement, for high treason in the Supreme Court of the Colony of the Cape of Good Hope, on the 12th May, 1852, and subsequent days. [Pretoria : State Library, 1969].",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bws42,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Bowdich_0018.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,A sketch of the interior of Mozambiue and Benguela,SAMAPS_Bowdich_0018,5890892,-18.665695,35.529562,1822,7.5 x 19.5 cm,"Bowdich, T. Edward. An account of the discoveries of the Portuguese in the interior of Angola and Mozambique. New York : AMS Press, [1980].",Mozambique,,,,,,
Southern African Maps in Books,ark:/21198/zz002bws5k,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Burchell_0048.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Eastern portion of Burchell's travels 1811-1812,SAMAPS_Burchell_0048,2461667,-29.6683333,22.7438889,[1953],21.4 x 11 cm,"Burchell, William J. Travels in the interior of southern Africa, volume 2. London: Batchworth Press, [1953].",Prieska (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bws63,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Burchell_0054.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Route of Burchell's Travels,SAMAPS_Burchell_0054,2461667,-33.9248685,18.4240553,[1953],40.6 x 40 cm,"Burchell, William J. Travels in the interior of southern Africa, volume 1. London: Batchworth Press, [1953].",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bws7m,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Burchell_0061.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"A map of the extratropical part of Southern Africa, constructed by William J. Burchell, Esqr.",SAMAPS_Burchell_0061,456399,-30.559482,22.937506,[1967],81.9 x 69.9 cm,"Burchell, William J. Travels in the interior of southern Africa. Cape Town : C. Struik, 1967.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bws84,ark:/21198/zz0028tkq7,5,Imported,Work,Masters/Maps/southe/image/SAMAPS_Burchell_0062.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,SAMAPS_Burchell_0062,SAMAPS_Burchell_0062,,,,,,,,,,,,,
