Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.typeOfResource,Type.genre,Subject,Rights.copyrightStatus,Rights.publicationStatus,Name.subject,Name.fashionDesigner,Rights.rightsHolderContact,Rights.servicesContact,Relation.isPartOf,Name.repository,Name.creator,Name.photographer,Rights.permission,Language,Date.normalized,Description.note,Format.extent,Alt ID.local,Date.creation,Title,Format.dimensions,Description.fundingNote,Note,Format.medium,Description.caption,Coverage.geographic,Description.contents,Publisher.publisherName,AltTitle.other,Opac url,Alt ID.url,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz0008hs10,,2,Completed,Collection,,,,,private,still image,Black-and-white photographs|~|acetate film|~|cellulose nitrate film,"Fashion editors--Archival resources|~|Adams, Peggy Hamilton--Archives",copyrighted,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections","Adams, Peggy Hamilton, $d 1890-1984",,N,zxx,1925/1933,,,,1925-1933,Adams (Peggy Hamilton) Papers,,Access to this collection is generously supported by Arcadia funds.,,,,,,,Peggy Hamilton Adams Papers|~|Peggy Hamilton Adams photographs,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4230296,http://content.cdlib.org/ark:/13030/ft896nb2gt,"Peggy Hamilton Adams was a costume and fashion designer, editor of the Los Angeles Times fotogravure fashion page (1921-34) and a host for local radio programs (1929-33) that dealt with fashion concerns of the  modern woman. The nitrate negative images in this collection document Hamilton’s career as a fashion editor, socialite and official hostess for Los Angeles County (1931-1932). Most of the images show her modeling high fashion clothing for her Los Angeles Times fotogravure feature “Fashions” from about 1927 to through 1933. Many of the photographs are by film studio photographers and feature clothing by film industry costume designers. As such, these images document the shift from Parisian dominance in fashion to the growing influence of costumes in movies on the fashion industry in both haute couture and ready-to-wear. Photographs by Ernest Bachrach (50) and Eugene Richee (50) comprise twenty percent of the collection. Hamilton models designs by Adrian, Max Reé, Travis Banton, Wanda Kofler, Earl Luck, and Dolly Tree and there are twelve design drawings by Robert Kalloch. Digitization and publication online of these images was made possible through funding from the Arcadia Foundation.",,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008hs10
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090q3r,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090q3r-1-master.tif,1,,,private,still image,Fashion photographs|~|Black-and-white photographs,evening dresses (garments)|~|chiffon|~|velvet (fabric weave)|~|sequins (spangles),copyrighted|~|unknown,unknown,"Adams, Peggy Hamilton, $d 1890-1984",,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Witzel, Albert Walter, $d 1879-1929",N,,1927,"Peggy Hamilton modeling a gown of shell pink chiffon with sequins, girdled in pink, and a cape back wrap of apple green silk velvet wtih bands of chinchilla on grey roma foundation. Hamilton acquired the garments from Walter Switzer's Inc., of Westlake Square and The Woman's Salon of the T. W. Mather Company, Pasadena.|~|This photograph appears in Peggy Hamilton’s Los Angeles Times feature ""Fashions,"" January 2, 1927, pg. I3. The photographer credit for this feature is Witzel Photos.|~|Albert Witzel was a society photographer in Los Angeles and Hollywood in the nineteen teens and twenties. He specialized in portraits of theatrical performers and, later, film stars.",1 photographic print on mount,clus_1373_b36_1,1927,"Peggy Hamilton modeling a pink sequin gown and cape of apple green velvet, 1927",25 x 31 cm. (10 x 12 in.),Access to this collection is generously supported by Arcadia funds.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090q3r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090q3r/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090q48,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090q48-1-master.tif,2,,,private,still image,Fashion design drawings|~|gouaches (paintings),ensembles (costume)|~|dresses (garments)|~|fur|~|hats,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_12,[between 1932 and 1947?],"Robert Kalloch design : light green and gold ensemble with fur trim at the shoulders and hem, signed ""Kalloch""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,Kalloch,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090q48,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090q48/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090q5s,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090q5s-1-master.tif,3,,,private,still image,Fashion design drawings|~|gouaches (paintings),ensembles (costume)|~|dresses (garments)|~|gloves|~|hats,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_8,[between 1932 and 1947?],Robert Kalloch design : green-turquoise and black ensemble,33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,"""K""",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090q5s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090q5s/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090q69,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090q69-1-master.tif,4,,,private,still image,Fashion design drawings|~|gouaches (paintings),dresses (garments)|~|fur|~|hats,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_10,[between 1932 and 1947?],Robert Kalloch design : lavender dress with short gold bodice and fur-trimmed shoulders,33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090q69,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090q69/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090q7t,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090q7t-1-master.tif,5,,,private,still image,Fashion design drawings|~|gouaches (paintings),evening dresses (garments)|~|veils (headcloths)|~|trains (costume components),copyrighted|~|unknown,,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_3,[between 1932 and 1947?],"Robert Kalloch design : pink dress, signed ""Kalloch""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,"Signed ""Kalloch""",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090q7t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090q7t/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090q8b,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090q8b-1-master.tif,6,,,private,still image,Fashion design drawings|~|gouaches (paintings),suits (main garments)|~|hats,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_5,[between 1932 and 1947?],"Robert Kalloch design : purplish-grey suit for Peggy Hamilton, signed ""Kalloch""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,Kalloch|~|Designer- Bobby Kalloch for Peggy Hamilton,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090q8b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090q8b/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090q9v,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090q9v-1-master.tif,7,,,private,still image,Fashion design drawings|~|gouaches (paintings),ensembles (costume)|~|dresses (garments)|~|hats,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_11,[between 1932 and 1947?],"Robert Kalloch design : grey ensemble, signed ""Kalloch""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,Kalloch,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090q9v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090q9v/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090qbc,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090qbc-1-master.tif,8,,,private,still image,Fashion design drawings|~|gouaches (paintings),dresses (garments)|~|hats,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_7,[between 1932 and 1947?],"Robert Kalloch design : lavender dress, signed ""Designed by Bobby Kalloch""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,Designed by Bobby Kalloch,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090qbc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090qbc/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090qcw,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090qcw-1-master.tif,9,,,private,still image,Fashion design drawings|~|gouaches (paintings),cocktail dresses,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_9,[between 1932 and 1947?],Robert Kalloch design : deep pink dress,33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,"""K""",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090qcw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090qcw/manifest
