"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Name.repository","Title","Alt ID.local","Description.note"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jvc","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0010.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0010","uclalsc_2995564_0010",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jww","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0011.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0011","uclalsc_2995564_0011",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jxd","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0012.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0012","uclalsc_2995564_0012",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jzx","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0013.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0013","uclalsc_2995564_0013",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k0x","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0014.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0014","uclalsc_2995564_0014",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k1f","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0015.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0015","uclalsc_2995564_0015",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k2z","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0016.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0016","uclalsc_2995564_0016",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k3g","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0017.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0017","uclalsc_2995564_0017",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k40","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0018.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0018","uclalsc_2995564_0018",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k5h","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0019.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0019","uclalsc_2995564_0019",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k61","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0020.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0020","uclalsc_2995564_0020",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k7j","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0021.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0021","uclalsc_2995564_0021",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k82","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0022.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0022","uclalsc_2995564_0022",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k9k","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0023.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0023","uclalsc_2995564_0023",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kb3","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0024.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0024","uclalsc_2995564_0024",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kcm","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0025.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0025","uclalsc_2995564_0025",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kd4","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0026.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0026","uclalsc_2995564_0026",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kfn","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0027.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0027","uclalsc_2995564_0027",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kg5","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0028.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0028","uclalsc_2995564_0028",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0khp","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0029.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0029","uclalsc_2995564_0029",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kj6","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0030.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0030","uclalsc_2995564_0030",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kkq","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0031.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0031","uclalsc_2995564_0031",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0km7","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0032.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0032","uclalsc_2995564_0032",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0knr","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0033.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0033","uclalsc_2995564_0033",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kp8","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0034.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0034","uclalsc_2995564_0034",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kqs","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0035.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0035","uclalsc_2995564_0035",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kr9","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0036.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0036","uclalsc_2995564_0036",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kst","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0037.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0037","uclalsc_2995564_0037",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0ktb","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0038.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0038","uclalsc_2995564_0038",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kvv","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0039.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0039","uclalsc_2995564_0039",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kwc","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0040.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0040","uclalsc_2995564_0040",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kxw","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0041.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0041","uclalsc_2995564_0041",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kzd","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0042.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0042","uclalsc_2995564_0042",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m0d","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0043.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0043","uclalsc_2995564_0043",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m1x","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0044.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0044","uclalsc_2995564_0044",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m2f","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0045.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0045","uclalsc_2995564_0045",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m3z","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0046.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0046","uclalsc_2995564_0046",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m4g","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0047.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0047","uclalsc_2995564_0047",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m50","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0048.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0048","uclalsc_2995564_0048",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m6h","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0049.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0049","uclalsc_2995564_0049",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m71","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0050.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0050","uclalsc_2995564_0050",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m8j","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0051.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0051","uclalsc_2995564_0051",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m92","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0052.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0052","uclalsc_2995564_0052",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mbk","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0053.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0053","uclalsc_2995564_0053",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mc3","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0054.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0054","uclalsc_2995564_0054",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mdm","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0055.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0055","uclalsc_2995564_0055",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mf4","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0056.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0056","uclalsc_2995564_0056",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mgn","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0057.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0057","uclalsc_2995564_0057",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mh5","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0058.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0058","uclalsc_2995564_0058",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mjp","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0059.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0059","uclalsc_2995564_0059",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mk6","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0060.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0060","uclalsc_2995564_0060",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mmq","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0061.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0061","uclalsc_2995564_0061",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mn7","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0062.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0062","uclalsc_2995564_0062",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mpr","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0063.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0063","uclalsc_2995564_0063",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mq8","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0064.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0064","uclalsc_2995564_0064",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mrs","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0065.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0065","uclalsc_2995564_0065",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0ms9","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0066.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0066","uclalsc_2995564_0066",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mtt","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0067.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0067","uclalsc_2995564_0067",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mvb","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0068.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0068","uclalsc_2995564_0068",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mwv","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0069.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0069","uclalsc_2995564_0069",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mxc","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0070.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0070","uclalsc_2995564_0070",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mzw","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0071.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0071","uclalsc_2995564_0071",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n0w","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0072.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0072","uclalsc_2995564_0072",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n1d","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0073.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0073","uclalsc_2995564_0073",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n2x","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0074.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0074","uclalsc_2995564_0074",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n3f","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0075.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0075","uclalsc_2995564_0075",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n4z","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0076.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0076","uclalsc_2995564_0076",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n5g","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0077.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0077","uclalsc_2995564_0077",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n60","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0078.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0078","uclalsc_2995564_0078",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n7h","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0079.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0079","uclalsc_2995564_0079",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n81","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0080.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0080","uclalsc_2995564_0080",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0n9j","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0081.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0081","uclalsc_2995564_0081",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nb2","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0082.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0082","uclalsc_2995564_0082",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nck","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0083.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0083","uclalsc_2995564_0083",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nd3","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0084.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0084","uclalsc_2995564_0084",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nfm","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0085.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0085","uclalsc_2995564_0085",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0ng4","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0086.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0086","uclalsc_2995564_0086",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nhn","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0087.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0087","uclalsc_2995564_0087",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nj5","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0088.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0088","uclalsc_2995564_0088",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nkp","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0089.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0089","uclalsc_2995564_0089",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0nm6","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0090.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0090","uclalsc_2995564_0090",""
