Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Subject.conceptTopic,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Name.subject,Rights.servicesContact,Subject.category,Language,Name.repository,Name.photographer,Subject.descriptiveTopic,Rights.permissionNote,Relation.isPartOf,Name.creator,Date.creation,Date.normalized,Description.note,Coverage.geographic,Alt ID.local,Title,Format.dimensions,Format.extent,Description.latitude,Description.longitude,Local identifier,AltTitle.other,Finding Aid URL,Description.abstract,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL,Representative Image,Masthead
Arkatov (James) Collection,ark:/21198/zz001dzc12,,2,Completed,Collection,,,,,still image,Black-and-white photographs|~|color photographs,Musicians--United States|~|Jazz musicians $z United States|~|Artists--United States,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,,,[between 1946 and 2009?],1946/2009,"Jim Arkatov has had distinguished careers as a musician and photographer. He was born in Odessa, Russia and left with his family at an early age for San Francisco, where he developed as a child prodigy and gave his debut cello recital at age 14. At age 18, he was invited by Fritz Feiner to join the Pittsburgh Symphony. Later, he joined the San Francisco Symphony with Pierre Monteux, and went on to be principal cellist of the Indianapolis Symphony Orchestra under Fabien Sevitzky. Arkatov returned to California in 1946 as a freelance musician in major studios of Hollywood and was later appointed principal cellist of the NBC Symphony Orchestra. Continuing his solo activities, he appeared in the Monday Evening Concert Series. In 1956, he married Salome Ramras, and they performed a piano-cello duo, performing in concerts throughout California. In 1968, he founded the Los Angeles Chamber Orchestra and was its first principal cellist. He had begun his photographic career when he was with the Pittsburgh Symphony. In 1990, these photographs became the basis of his first book, ""Masters of Music."" In 1998, he published his second book, ""Artists: The Creative Personality."" He has permanent and rotating exhibits of his photographs at the Colburn School of Music, the Cedar-Sinai Hospital and the Doheny Library of the University of Southern California.",California--Los Angeles,,Arkatov (James) collection,,approximately 800 photographs,,,,"James Arkatov photograph collection, 1946-2009",http://www.oac.cdlib.org/findaid/ark:/13030/kt1b69r7v9/,"The collection consists of photographs of jazz musicians performing in Los Angeles; classical musicians in rehearsal and performance; and fine artists taken by the cellist, James Arkatov.",,,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001p5f0h,"/79,495,5894,1830/full/0/default.jpg"
Arkatov (James) Collection,ark:/21198/zz001dzs3w,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzs3w_1270273_master.tif,,,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,"Acuña, Claudia",,People,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"March, 2002",2002-03,"Black and white photograph of Chilean jazz vocalist Claudia Acuña, taken in Los Angeles California.",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuña in Los Angeles, California [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs3w_1270273_thumbnail.jpg,21198-zz001dzs3w_1270273_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzs3w,,
Arkatov (James) Collection,ark:/21198/zz001dzs4d,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzs4d_1270861_master.tif,,,,still image,Black-and-white photographs,Singers $z United States,copyrighted,Y,unknown,,,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"December, 1999",1999-12,Black and white photograph of American pianist and vocalist Karrin Allyson singing at a microphone.,California--Los Angeles,uclamus_340_b1_f1,"Karrin Allyson singing in Los Angeles, December 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs4d_1270861_thumbnail.jpg,21198-zz001dzs4d_1270861_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzs4d,,
Arkatov (James) Collection,ark:/21198/zz001dzs5x,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzs5x_1270870_master.tif,,,,still image,Black-and-white photographs,Trumpet players $z United States,copyrighted,Y,unknown,"Alpert, Herb",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"July, 1996",1996-07,"Black and white photograph of American trumpeter, bandleader, composer and record company executive Herb Alpert playing the trumpet.",California--Los Angeles,uclamus_340_b1_f1,Herb Alpert playing trumpet in Los Angeles [descriptive],8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs5x_1270870_thumbnail.jpg,21198-zz001dzs5x_1270870_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzs5x,,
Arkatov (James) Collection,ark:/21198/zz001dzs6f,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzs6f_1270855_master.tif,,,,still image,Black-and-white photographs,Singers $z United States,copyrighted,Y,unknown,"Allyson, Karrin",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"December, 1999",1999-12,Black and white photograph of American pianist and vocalist Karrin Allyson singing at a microphone.,California--Los Angeles,uclamus_340_b1_f1,"Karrin Allyson singing in Los Angeles, December 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs6f_1270855_thumbnail.jpg,21198-zz001dzs6f_1270855_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzs6f,,
Arkatov (James) Collection,ark:/21198/zz001dzs7z,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzs7z_1270296_master.tif,,,,still image,Black-and-white photographs,Guitarists--United States,copyrighted,Y,unknown,"Abercrombie, John, $d 1944-",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Guitars,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"September, 1997",1997-09,Black and white photograph of American guitarist and bandleader John Abercrombie playing guitar.,California--Los Angeles,uclamus_340_b1_f1,"John Abercrombie playing guitar in Los Angeles, September 1997 [descriptive]",8 X 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs7z_1270296_thumbnail.jpg,21198-zz001dzs7z_1270296_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzs7z,,
Arkatov (James) Collection,ark:/21198/zz001dzs8g,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzs8g_1270314_master.tif,,,,still image,Black-and-white photographs,Composers $z United States|~|Pianists $z United States,copyrighted,Y,unknown,"Allison, Mose",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,,,"March, 1996",1996-03,"Black and white photograph of American pianist, singer, and songwriter Mose Allison.",California--Los Angeles,,"Mose Allison playing piano in Los Angeles, March 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzs8g_1270314_thumbnail.jpg,21198-zz001dzs8g_1270314_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzs8g,,
Arkatov (James) Collection,ark:/21198/zz001dzs90,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzs90_1270276_master.tif,,,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,"Acuña, Claudia",,People,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"March, 2002",2002-03,"Black and white photograph of Chilean jazz vocalist Claudia Acuña and an unknown man, taken in Los Angeles.",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuña and unknown man, Los Angeles, California [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001dzs90_1270276_thumbnail.jpg,21198-zz001dzs90_1270276_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzs90,,
Arkatov (James) Collection,ark:/21198/zz001dzsbh,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzsbh_1270302_master.tif,,,,still image,Black-and-white photographs,Pianists $z Jamaica,copyrighted,Y,unknown,"Alexander, Monty",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"June, 1999",1999-06,Black and white photograph of Jamaican pianist and band leader Mondy Alexander playing piano.,California--Los Angeles,uclamus_340_b1_f1,"Monty Alexander playing the piano in Los Angeles, June 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzsbh_1270302_thumbnail.jpg,21198-zz001dzsbh_1270302_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzsbh,,
Arkatov (James) Collection,ark:/21198/zz001dzsc1,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzsc1_1270286_master.tif,,,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,"Acuña, Claudia",,People,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"March, 2002",2002-03,"Black and white photograph of Chilean jazz vocalist Claudia Acuña, taken in Los Angeles.",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuña in Los Angeles, California [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001dzsc1_1270286_thumbnail.jpg,21198-zz001dzsc1_1270286_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzsc1,,
Arkatov (James) Collection,ark:/21198/zz001dzsdj,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzsdj_1270309_master.tif,,,,still image,Black-and-white photographs,Pianists $z United States,copyrighted,Y,unknown,"Allison, Mose",,People|~|Arts,,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"March, 1996",1996-03,"Black and white photograph of American pianist, singer, and songwriter Mose Allison at the piano.",California--Los Angeles,uclamus_340_b1_f1,"Mose Allison playing piano in Los Angeles, March 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzsdj_1270309_thumbnail.jpg,21198-zz001dzsdj_1270309_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzsdj,,
Arkatov (James) Collection,ark:/21198/zz001dzsf2,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001dzsf2_1270279_master.tif,,,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,"Acuña, Claudia",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"March, 2002",2002-03,"Black and White photograph off Chilean jazz vocalist Claudia Acuña singing at the microphone, taken in Los Angeles",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuna singing in Los Angeles, California [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001dzsf2_1270279_thumbnail.jpg,21198-zz001dzsf2_1270279_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzsf2,,
