Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Coverage.geographic,Relation.isPartOf,Publisher.publisherName,Rights.countryCreation,Rights.rightsHolderContact,Name.photographer,Relation.hasVersion,Rights.permission,Name.repository,Name.architect,Date.normalized,Alternate Identifier.local,Title,Description.note,Date.creation,Description.longitude,Description.latitude,Format.extent,Format.medium,Format.dimensions,Description.caption,Description.fundingNote,Alternate Identifier.url,Description.abstract,Bucketeer State,IIIF Access URL
Los Angeles Daily News Negatives,ark:/21198/zz0027xhzt,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14984-06.tif,,,,Judicial proceedings $z California $z Los Angeles|~|Crime|~|Legal,still image,copyrighted,news photographs|~|cellulose nitrate film,"Portune, Albert",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-08-12,uclamss_1387_14984-06,"Boy Scout Albert Portune testifies for the court regarding the discovery of the bodies of murdered children Jeanette Stevens and Melba and Madeline Everett.  August 12, 1937.","Inglewood Boy Scout Albert Portune testifies for the court in the murders of children Jeanette Stevens (age 8), Melba Everett (age 9), and Madeline Everett (age 6).  Portune was one of four scouts who discovered the bodies of the three girls in the Baldwin Park ravine; the four were part of a larger search group comprised of Boy Scouts.   August 12, 1937.","August 12, 1937",,,1 photograph,b&w nitrate negative,,"Text from original nitrate sleeve:  Card, Horace; Portune, Albert; Portune, Frank",Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj0t,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14984-07.tif,,,,Judicial proceedings $z California $z Los Angeles|~|Youth|~|Legal,still image,copyrighted,news photographs|~|cellulose nitrate film,"Portune, Frank Robert, $d 1921-2007",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-08-12,uclamss_1387_14984-07,"Boy Scout Frank Portune testifies for the court regarding the discovery of the bodies of murdered children Jeanette Stevens and Melba and Madeline Everett.  August 12, 1937.","Inglewood Boy Scout Frank Portune testifies for the court in the murders of children Jeanette Stevens (age 8), Melba Everett (age 9), and Madeline Everett (age 6).  Portune was one of four scouts who discovered the bodies of the three girls in the Baldwin Park ravine; the four were part of a larger search group comprised of Boy Scouts.   August 12, 1937.","August 12, 1937.",,,1 photograph,b&w nitrate negative,,"Text from original nitrate sleeve:  Card, Horace; Portune, Albert; Portune, Frank",Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj1b,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14984-08.tif,,,,Judicial proceedings $z California $z Los Angeles|~|Disaster|~|Youth|~|Legal,still image,copyrighted,news photographs|~|cellulose nitrate film,"Card, Horace William, $d 1922-2010",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-07-03,uclamss_1387_14984-08,"Boy Scout Horace Card testifies for the court regarding the discovery of the bodies of murdered children Jeanette Stevens and Melba and Madeline Everett.  August 12, 1937.","Inglewood Boy Scout Horace Card testifies for the court in the murders of children Jeanette Stevens (age 8), Melba Everett (age 9), and Madeline Everett (age 6).  Card was one of four scouts who discovered the bodies of the three girls in the Baldwin Park ravine; the four were part of a larger search group comprised of Boy Scouts.   August 12, 1937.","August 12, 1937",,,1 photograph,b&w nitrate negative,,"Text from original nitrate sleeve:  Card, Horace; Portune, Albert; Portune, Frank",Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj3c,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-02.tif,,,,Track athletics $z California $z Los Angeles|~|Vaulting $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-02,"Pole vaulter leaping across the bar at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A pole vaulter leaps over the bar at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj4w,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-03.tif,,,,Sports spectators $z California $z Los Angeles|~|Entertainment|~|Lifestyle,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-03,"Crowd watching a track meet between Big Ten athletes and those of the Pacific Coast Conference, Los Angeles, 1937",A cheerful crowd watching a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj5d,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-04.tif,,,,Track athletics $z California $z Los Angeles|~|Public speaking $z California $z Los Angeles|~|Events,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-04,"Unidentified speaker using microphone at a track meet at the Coliseum, Los Angeles, 1936",An unidentified speaker making announcements into a microphone at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj6x,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-05.tif,,,,Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,,Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06,14988|~|uclamss_1387_14988-05,"Pole vaulter leaping across the bar at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A pole vaulter leaps over the bar at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj7f,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-06.tif,,,,Track athletics $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-06,"Track employee laying down chalk during a meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",An employee laying down chalk lines as others observe at the Los Angeles Memorial Coliseum on the day of a track event between Big Ten athletes and those of the Pacific Coast Conference.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj8z,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-07.tif,,,,Track athletics $z California $z Los Angeles|~|Athletes $x American $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-07,"Track athlete from Indiana preparing to perform at the Los Angeles Memorial Coliseum, Los Angeles, 1937",An athlete from Indiana preparing himself to perform at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xj9g,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-08.tif,,,,Running $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",,"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-08,"Runners finishing a race at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",Runners finishing a race at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
