Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Language,Subject.descriptiveTopic,Name.repository,Rights.permission,Relation.isPartOf,Name.subject,Subject.uniformTitle,Subject.conceptTopic,Name.producer,Name.photographer,Name.creator,Name.director,Title,Alt ID.local,Format.extent,Format.dimensions,Format.medium,Description.note,Description.longitude,Description.latitude,Description.caption,Date.created,Coverage.geographic,Date.normalized,Description.fundingNote,Alt ID.collection,AltTitle.other,Description.abstract,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Rotha (Paul) Papers,ark:/21198/zz002bz2bx,,2,Completed,Collection,,,,,,private,,copyrighted,black-and-white film|~|cellulose nitrate film,zxx,Contact (Motion picture: 1933)|~|Power for the Highlands (Motion picture),"University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.",,,Documentary films $x Archival resources|~|Motion picture producers and directors $x Archival resources,,,"Rotha, Paul, $d 1907-1984",,"Rotha (Paul) Papers, 1914-1980",Collection 2001,,,,"Paul Rotha (1907-1984) was a film critic, documentary filmmaker, and movie director. The collection consists of materials related to Rotha's documentary and feature films and Rotha's books on the cinema. ",,,,[between 1931 and 1943],,1931/1943,Access to this collection is generously supported by Arcadia funds.,,Paul Rotha Papers,"Paul Rotha was a British film critic, documentary filmmaker, producer and movie director. A former painter and designer, he became a film critic and wrote a seminal work on cinema history titled, The film till now (1930). He began making his own documentary films in association with John Grierson and was a leading figure in the British documentary movement of the 1930s and 1940s. The images in this digital collection were created in conjunction with the creation of two films: Rotha’s first documentary, Contact (1933), and Power for the Highlands (1943), a documentary produced by Rotha. Made to promote Imperial Airways and financed by Shell-Mex and BP Ltd, Contact documents air travel routes in the Middle East and Africa to show how air travel is opening up the world. Regarded as a pioneering sponsored film by many in the early documentary movement, Contact was praised for its clarity of exposition and lyrical editing. The 161 images for Contact are still photographs made during the filming in England, the Middle East, Africa and Athens. Power for the Highlands is a look at the possibilities of hydro-electric power for the Highlands of Scotland. The 71 images are movie film strips by cameraman Wolfgang Suschitzky that were intended for the creation of movie still photographs.",https://oac.cdlib.org/findaid/ark:/13030/tf1b69n716/,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2976690,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002bz2bx
Rotha (Paul) Papers,ark:/21198/zz002bz2dz,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0001.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|cellulose nitrate film,,Archaeological sites $z Greece $z Athens|~|Camera operators $z Greece $z Athens|~|Greek temples $z Greece $z Athens|~|Roman temples $z Greece $z Athens|~|Contact (Motion picture: 1933),"University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Olympieion (Athens, Greece)|~|Rotha, Paul, $d 1907-1984|~|Goodliffe, Frank",,Documentary films,,,,,"Cameraman Frank Goodliffe and filmmaker Paul Rotha at the Temple of Olympian Zeus during the filming of Contact, Athens, 1933",uclamss_2001_0001,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"Cameraman Frank Goodliffe seen from the back operating a motion picture camera on a tripod. He is photographing fallen column drums and a column base of the Temple of Olympian Zeus. Beyond the column drums is Paul Rotha, seen from the back, elevated and holding on to the thin trunk of a tree and a tree branch|~|""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens.",23.732630610466003,37.96934735377515,Text from negative sleeve: Rotha. Athens. 5 printed,January 1933,Greece--Athens,1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2dz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2dz/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2fg,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0162.tif,,,,,private,still image,copyrighted,black-and-white film|~|cellulose nitrate film,eng,Nurses|~|Power for the Highlands (Motion picture),"University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.",,,Documentary films,"Rotha, Paul, $d 1907-1984","Suschitzky, Wolfgang",,"Chambers, J. D. (Jack D.), $d 1913-","Nurse holding flattened carton, on a filmstrip from Power for the Highlands, Scotland, 1943",uclamss_2001_0162,10 frames on black-and-white film,35mm,,Nurse holding flattened carton in film frame from Power for the Highlands. Printed on the carton is the message: DO NOT DESTROY THIS CARTON. IT IS VALUABLE RAW MATERIAL. Two other nurses are partially visible in the background.|~|The film “Power for the Highlands” is about the possibilities of Hydro-Electric power for the Highlands.,,,"Text from negative sleeve: ""Power for the Highlands"" Negs. for stills. [Printed on sleeve:] Leica Negative Album",1943,Scotland,1943,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2fg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2fg/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2g0,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0002.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|cellulose nitrate film,,"Motion picture cameras|~|Contact (Motion picture: 1933)|~|Acropolis (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Rotha, Paul, $d 1907-1984|~|Goodliffe, Frank|~|Parthenon (Athens, Greece)",,Documentary films,,,,,"Cameraman Frank Goodliffe and filmmaker Paul Rotha on the Acropolis during the filming of Contact, Athens, 1933",uclamss_2001_0002,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"Cameraman Frank Goodliffe kneeling and looking through the lens of a Parvo (""Debrie"") motion picture camera on a tripod, filming the Parthenon, on the right, for the film ""Contact."" Filmmaker Paul Rotha stands next to him. On a block of stone on the left is a Newman-Sinclair motion picture camera. On the ground behind Goodliffe is a bottle of wine, two wine glasses and a paper bag.|~|""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens.",23.726069927215576,37.97129266127719,Text from negative sleeve: Rotha. Athens. 5 printed,January 1933,Greece--Athens,1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2g0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2g0/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2hh,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0003.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|cellulose nitrate film,,"Motion picture cameras|~|Contact (Motion picture: 1933)|~|Greek temples $z Greece $z Athens|~|Acropolis (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections|~|Goodliffe, Frank",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Rotha, Paul, $d 1907-1984|~|Parthenon (Athens, Greece)|~|Erechtheum (Athens, Greece)",,Documentary films,,,,,"Filmmaker Paul Rotha and cameraman Frank Goodliffe at the Parthenon on the Acropolis during the filming of Contact, Athens, 1933",uclamss_2001_0003,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens.|~|Paul Rotha and cameraman Frank Goodliffe  on the Acropolis with a Parvo (""Debrie"") motion picture camera on a tripod, during the filming of ""Contact."" On the right is the Parthenon and the Erechtheum is in the background.",23.725887537002563,37.97171554739147,Text from negative sleeve: Rotha. Athens. 5 printed.,January 1933,Greece--Athens,1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2hh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2hh/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2j1,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0004.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|cellulose nitrate film,,Motion picture cameras|~|Contact (Motion picture: 1933)|~|Greek temples $z Greece $z Athens|~|Roman temples $z Greece $z Athens,"University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Olympieion (Athens, Greece)|~|Rotha, Paul, $d 1907-1984",,Documentary films,,,,,"Filmmaker Paul Rotha at the Temple of Olympian Zeus during the filming of Contact, Athens, 1933",uclamss_2001_0004,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"A Parvo (""Debrie"") motion picture camera on a tripod and Rotha lying on the ground and looking through a Newman-Sinclair motion picture camera in front of a fallen fluted column at the Temple of Olympian Zeus during the filming of ""Contact.""|~|""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens.",23.732630610466003,37.96934735377515,Text from negative sleeve: Rotha. Athens. 5 printed,"January, 1933",Greece--Athens,1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2j1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2j1/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2kj,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0005.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|cellulose nitrate film,,"Motion picture cameras|~|Contact (Motion picture: 1933)|~|Acropolis (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Rotha, Margaret Louise, $d 1909-1962|~|Goodliffe, Frank|~|Propylaea (Acropolis, Athens, Greece)",,Documentary films,,,,,"Cameraman Frank Goodliffe and Margaret Rotha on the Acropolis during the filming of Contact, Athens, 1933",uclamss_2001_0005,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"Cameraman Frank Goodliffe and Margaret Rotha, wife of filmmaker Paul Rotha, on the Acropolis with the Propylaea in the background and a Parvo (""Debrie"") motion picture camera on a tripod in front of them. They are smoking cigarettes and a bottle of wine, two wine glasses and a paper bag are on a large pavement stone next to Margaret's feet. On a block of stone on the left is a Newman-Sinclair motion picture camera.|~|""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens.",23.726069927215576,37.97129266127719,"Text from negative sleeve: Rotha. Athens, 5, printed.",January 1933,Greece--Athens,1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2kj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2kj/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2m2,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0006.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|portraits|~|cellulose nitrate film,,"Contact (Motion picture: 1933)|~|Acropolis (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Rotha, Margaret Louise, $d 1909-1962|~|Propylaea (Acropolis, Athens, Greece)",,Documentary films,,,,,"Margaret Rotha on the Acropolis during the filming of Contact, Athens, 1933",uclamss_2001_0006,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens.|~|Margaret Rotha, wife of filmmaker Paul Rotha, on the Acropolis during the filming of ""Contact."" The Propylaea is visible in the background.",23.726069927215576,37.97129266127719,Text from negative sleeve: Mrs. Rotha's selection. 7 Printed,January 1933,Greece--Athens,1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2m2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2m2/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2nk,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0007.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|cellulose nitrate film,,Camels $z Egypt $z Aswān,"University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Rotha, Margaret Louise, $d 1909-1962",,,,,,,"Margaret Rotha on camel, Aswān, Egypt, January 1933",uclamss_2001_0007,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"Margaret Rotha, wife of filmmaker Paul Rotha, in dark jacket, mounted on standing camel on desert sand, with kneeling camel behind, photographed during the filming of Contact|~|""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens",,,Text from nitrate negative sleeve: Mrs. Rotha's selection. 7 Printed,January 1933,Egypt--Aswān,1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2nk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2nk/manifest
Rotha (Paul) Papers,ark:/21198/zz002bz2p3,ark:/21198/zz002bz2bx,2,Completed,Work,rotha/image/uclamss_2001_0008.tif,,,,,private,still image,copyrighted,Black-and-white photographs|~|cellulose nitrate film,,Contact (Motion picture: 1933),"University of California, Los Angeles. $b Library Special Collections",N,"Paul Rotha Papers (Collection 2001). UCLA Library Special Collections, Charles E. Young Research Library.","Rotha, Margaret Louise, $d 1909-1962",,Documentary films,,,,,"Margaret Rotha and 4 men, 1932-1933",uclamss_2001_0008,1 photographic negative,"greater than 35mm, but less than 4 x 5 inches",b&w nitrate negative,"""Contact"" (1933) is a documentary film by Paul Rotha. Made for Imperial Airways and sponsored by Shell-Mex and BP Ltd, ""Contact"" shows the construction of an airplane and how air travel is opening up the world. It was filmed in England and along air routes in the Middle East, Africa and Athens|~|Margaret Rotha, wife of filmmaker Paul Rotha, in light skirt and plaid blouse, standing holding envelope or newspaper, among 4 men, in Middle Eastern dress, seated on stones or low wall, with rock wall or cliff in background, photographed during the filming of Contact",,,Text from nitrate negative sleeve: Mrs. Rotha's selection. 7 Printed,[November 1932-January 1933],,1932-11/1933-01,Access to this collection is generously supported by Arcadia funds.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz2p3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz2p3/manifest
