Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Rights.servicesContact,Type.genre,Name.creator,Relation.isPartOf,Name.repository,Date.normalized,Title,Alt ID.local,Format.extent,Format.medium,Date.creation
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgr2s,,2,Completed,Collection,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library Special Collections",,"Lucile, Lady Duff-Gordon, Drawings. Collection 624",,,,
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgrvp,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgrvp-1-master.tif,3,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady",,,1915,"Black Marquisette and white braid afternoon gown, Model #23 'Parted'",UCLA Drawing no. 21,1 drawing,"ink, pencil, watercolor on paper",Spring 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgrw6,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgrw6-1-master.tif,4,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"Pale rose tulle and pearls embroidered restaurant gown, Model #57 - 'Kolokoltchik'",UCLA Drawing No. 13,1 drawing,"ink, pencil, watercolor on paper",Spring 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgrxq,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgrxq-1-master.tif,5,,,still image,Dresses,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"White muslin embroidered black gown, Model #39 - 'Petite Histoire'",UCLA Drawing No. 24,"ink, watercolor, pencil on paper|~|1 drawing",,Spring 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgrz7,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgrz7-1-master.tif,6,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"Pale blue organdie gown, Model #38 - 'Rive D' Ete'",UCLA Drawing No. 35,1 drawing,"ink, pencil, watercolor on paper",Spring 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgs07,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgs07-1-master.tif,7,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"Louis XV ballgown of faded rose taffeta, bodice of orange satin, festoons of silver lace, Model #50 - 'A Dedication'",UCLA Drawing No. 45,1 drawing,"ink, pencil, watercolor on paper",Spring 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgs1r,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgs1r-1-master.tif,8,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"Scarlet chiffon and silver lace evening gown, Model #60 - 'Vishramvan'",UCLA Drawing No. 49.,"ink, pencil, watercolor on paper|~|1 drawing",,Spring 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgs28,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgs28-1-master.tif,9,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"White voile dress with bindings of pussy willow, Model #81 - 'My Love'",UCLA Drawing No. 64,1 drawing,"ink, pencil, watercolor on paper",Spring 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgs3s,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgs3s-1-master.tif,10,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"Floral printed, off-the-shoulder dress with blue, pink, and purple ruffles trimmed with red trimmings and green ribbon on front, with matching fur-trimmed hat",UCLA Drawing No. 87,1 drawing,"ink, pencil, watercolor on paper",Autumn 1915
"Lucile, Lady Duff-Gordon, Drawings. Collection 624",ark:/21198/zz000sgs49,ark:/21198/zz000sgr2s,2,Completed,Work,lucile/masters/21198-zz000sgs49-1-master.tif,11,,,still image,Dresses|~|Fashion design drawings|~|Women -- Clothing & dress,,Drawings,"Duff Gordon, Lucy, Lady","Lucile, Lady Duff Gordon Drawings. (Collection 624)",,1915,"Off-the-shoulder blue gathered dress with two distinct bouquets of flowers in front, with sheer lace trimmed bodice",UCLA Drawing No. 92,1 drawing,"ink, pencil, watercolor on paper",Autumn 1915
