"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.servicesContact","Subject","Language","Relation.isPartOf","Name.repository","Name.creator","Name.subject","Title","Description.caption","Date.normalized","Alt ID.local","Date.creation","Description.note","Date.publication","Format.dimensions","Description.abstract","Alt ID.oclc","Alt ID.url","Alt ID.OPAC","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz0009fk9r","","2","Completed","Collection","","","","","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","African Americans in motion pictures|~|African Americans in the motion picture industry","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Johnson, George P., 1885-1977","Johnson, George P., 1885-1977 --Archives","George P. Johnson Negro Film Collection, 1916-1977","","1916/1977","Collection 1042","1916-1977","","","","Collection consists primarily of material related to the Lincoln Motion Picture Company, Johnson’s brother, Noble Johnson, Oscar Micheaux, and the Oscar Micheaux Film and Book Co. Includes newspaper clippings, photographs, publicity material, posters, correspondence, and business records. Also includes materials related to early Black film companies, Black films, and films with Black casts, and Black musicians, sports figures, and entertainers. Also contains personal papers of George P. Johnson.|~|George Perry Johnson was born in Colorado Springs, CO, Oct. 29, 1885; after his graduation from the Hampton Institute, VA (1904), he settled in Tulsa, OK and started the first Negro paper in the territory, the Tulsa guide (June 9, 1906); moved to Omaha, NE (1913) and was the first Negro employee at the US Post Office in that city; he eventually moved to Los Angeles and continued working for the post office while he worked as a writer, producer, and distributor for the Lincoln Motion Picture Company (1916-23); after the company closed, he established and ran the Pacific Coast News Bureau for the dissemination of Negro news of national importance (1923-27); he started the Negro in film collection about the time he started working for Lincoln; he died Oct. 17, 1977.","40351943","http://www.oac.cdlib.org/findaid/ark:/13030/tf5s2006kz","4233220","George P. Johnson Negro Film Collection","","","http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0009fk9r"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz0009gjd8","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz0009gjd8-1-master.tif","1","","","still image","Motion picture posters","","","eng","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Reol Productions Corporation","","The Sport of the Gods by Paul Laurence Dunbar [motion picture poster]","The Sport of the Gods by Paul Laurence DunbarAmerica's Greatest Race Poet and AuthorA True to Life Story of Action, Thrills and Heart Interestwith an All-Star Cast of Colored ArtistsProduced byReol Productions Corporation","1921","clus_1042_b71_001","1921","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009gjd8","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gjd8/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz0009gjfs","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz0009gjfs-1-master.tif","2","","","still image","Motion picture posters","","","eng","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Lincoln (Motion picture) Company","","The Trooper of Troop K in 3 parts [motion picture poster]","The Trooper of Troop K in 3 partsFeaturing Noble M. JohnsonSupported byBeulah Hall and Jimmie SmithA Thrilling Picturizatio of the LateCarrizal, Mexico Battle, Between the Fighting U.S. Tenth Cavalry and the Carranzista's SoldiersProduced by Lincoln Motion Picture CompanyLos Angeles, Calif.","1917","clus_1042_b71_002","1917","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009gjfs","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009gjfs/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz000s4pdh","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz000s4pdh-1-master.tif","3","","","still image","","","African Americans in motion pictures","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","","Partial list of Noble M. Johnson's appearances, 1915-1918","","1918","","","List of production title, male and female leads, production company, director, and role played by Noble M. Johnson. Includes portrait of Johnson captioned ""The Favorite of Millions.""","c. 1918","6.25 x 10 in","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s4pdh","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s4pdh/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz000s4prp","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz000s4prp-1-master.tif","4","","","still image","Black-and-white photographs","","African Americans in motion pictures","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","Lincoln (Motion picture) Company|~|Johnson, Noble, 1881-1978 |~|Gant, Harry A., 1881-1967","Noble Johnson and Harry Gant [photograph]","","1920/1929","","[1920s?]","Noble Johnson standing with Harry Gant next to motion picture camera.","","6.25 x 7.75 in","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s4prp","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s4prp/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz000s4ps6","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz000s4ps6-1-master.tif","5","","","still image","Black-and-white photographs","","African Americans in motion pictures","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","Johnson, Noble, 1881-1978 ","Noble M. Johnson, Lincoln Films, Los Angeles [photograph]","","1916/1923","","[between 1916 and 1923]","Portrait of Noble M. Johnson","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s4ps6","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s4ps6/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz000s4ptq","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz000s4ptq-1-master.tif","6","","","still image","Black-and-white photographs","","","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","Johnson, Noble, 1881-1978 ","Noble M. Johnson [photograph]","","","","","Portrait of Noble M. Johnson, three-quarter length, holding a pair of gloves.","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s4ptq","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s4ptq/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz000s4pv7","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz000s4pv7-1-master.tif","7","","","still image","Black-and-white photographs","","African Americans in motion pictures","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","Johnson, Noble, 1881-1978 ","Noble M. Johnson [photograph]","","","","","Portrait of Noble M. Johnson, half length, three-quarter profile.","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s4pv7","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s4pv7/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz000s4pwr","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz000s4pwr-1-master.tif","8","","","still image","Black-and-white photographs","","African Americans in motion pictures","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","Johnson, Noble, 1881-1978 ","Noble M. Johnson [photograph]","","","","","Portrait of Noble M. Johnson, half length; three-quarter profile.","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s4pwr","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s4pwr/manifest"
"Johnson (George P.) Negro Film Collection.  Collection 1042","ark:/21198/zz000s4qp4","ark:/21198/zz0009fk9r","2","Completed","Work","johnson/masters/21198-zz000s4qp4-1-master.tif","9","","","still image","Black-and-white photographs","","African Americans in motion pictures","","George P. Johnson Negro Film Collection (Collection 1042). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","Johnson, Noble, 1881-1978 ","Noble M. Johnson [photograph]","","","","","Portrait of Noble M. Johnson, half length; three-quarter profile.","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s4qp4","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s4qp4/manifest"
