Object Type,Title,Item ARK,Parent ARK,File Name,Thumbnail,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,volume | issue,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,IIIF Manifest URL
Work,El Fortín 1941-01-15,ark:/21198/z14q9q3t,ark:/21198/z1d816kv,,,,,,,,1941-01-15,,,,,16 pages,,newspapers,vol. 01 | no. 01,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-02-01,ark:/21198/z10z8zf0,ark:/21198/z1d816kv,,,,,,,,1941-02-01,,,,,16 pages,,newspapers,vol. 01 | no. 02,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-02-15,ark:/21198/z1w68fxj,ark:/21198/z1d816kv,,,,,,,,1941-02-15,,,,,16 pages,,newspapers,vol. 01 | no. 03,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-03-01,ark:/21198/z1rf7q5s,ark:/21198/z1d816kv,,,,,,,,1941-03-01,,,,,16 pages,,newspapers,vol. 01 | no. 04,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-03-15,ark:/21198/z1mp6zc5,ark:/21198/z1d816kv,,,,,,,,1941-03-15,,,,,16 pages,,newspapers,vol. 01 | no. 05,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-04-01,ark:/21198/z1h14x4c,ark:/21198/z1d816kv,,,,,,,,1941-04-01,,,,,16 pages,,newspapers,vol. 01 | no. 06,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-04-15,ark:/21198/z1c845d1,ark:/21198/z1d816kv,,,,,,,,1941-04-15,,,,,16 pages,,newspapers,vol. 01 | no. 07,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-05-01,ark:/21198/z17h3dp9,ark:/21198/z1d816kv,,,,,,,,1941-05-01,,,,,16 pages,,newspapers,vol. 01 | no. 08,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-05-15,ark:/21198/z13r2p0f,ark:/21198/z1d816kv,,,,,,,,1941-05-15,,,,,16 pages,,newspapers,vol. 01 | no. 09,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
Work,El Fortín 1941-06-01,ark:/21198/z1001x81,ark:/21198/z1d816kv,,,,,,,,1941-06-01,,,,,20 pages,,newspapers,vol. 01 | no. 10,spa,,,,,"Buenos Aires, Argentina",,"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,Argentina--Politics and government--1910-1943--Periodicals,,,paged,
