Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,AltTitle.other,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf
Huxley (Aldous) Collection,ark:/21198/zz00253vz2,,2,Completed,Collection,,,,,,,color photographs|~|audiotapes|~|black-and-white photographs,still image|~|text|~|sound recording-nonmusical,copyrighted,"Authors, English--20th century--Archival resources.","Huxley, Aldous, 1894-1963",,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng|~|zxx,"University of California, Los Angeles. $b Library Special Collections",,Y,,,"Aldous Leonard Huxley (1894-1963) was a prolific writer of novels, essays, poetry, criticism, and screenplays. The Aldous Huxley Papers portion of the collection consists correspondence between Aldous Huxley and publishers Harper & Row, personal correspondence, holographic notes, literary manuscripts and personal effects. Laura Archera Huxley (1911-2007) was a musician, author, psychological counselor and lecturer. The materials in the collection that comprise the personal papers of Laura Archer Huxley include personal correspondence, holographic and typewritten notes, manuscripts, collected articles and clippings and interviews. As well, there are photographs and audiovisual recordings of both Aldous Huxley and Laura Archera Huxley. ",Collection 2009,Aldous Huxley Papers,"Aldous and Laura Huxley papers, 1925-2007",[between 1925 and 1963],,1925/1963,,,,,"Collection consists of digitized photographs and negatives, as well as sound recordings, from the Aldous and Laura Huxley papers.",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1720639,https://oac.cdlib.org/findaid/ark:/13030/kt1489q14s/,,,"Aldous Huxley Papers (Collection 2009). Department of Special Collections, University Research Library, University of California, Los Angeles"
Huxley (Aldous) Collection,ark:/21198/zz00253w02,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w02_1560443_master.tif,1,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,"A young Aldous Huxley, seated in a chair.",0001|~|YRLSC_2009_0001,"Aldous Huxley, age 8",,[1902],1 photograph : b&w,1902,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w1k,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w1k_1560446_master.tif,2,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,,0002|~|YRLSC_2009_0002,"Aldous Huxley, age 6 or 7",,[1900 or 1901?],1 photograph : b&w,1900/1901,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w23,ark:/21198/zz00253vz2,2,Completed,Work,,3,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w23%2F3g926214,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Women authors, English $y 19th century","Huxley, Aldous, $d 1894-1963 $x Family|~|Huxley, Aldous, $d 1894-1963 $x Childhood and youth|~|Ward, Humphry, Mrs., 1851-1920",,,zxx,,,Y,,,"A young Aldous Huxley pictured sitting on the lap of his aunt, the British novelist Mary Augusta Ward, who wrote under her married name as Mrs. Humphry Ward.",YRLSC_2009_0003,"Aldous Huxley with his aunt, Mrs. Humphry Ward, early 1900s",,[between 1900 and 1905?],1 photograph : b&w,1900/1905,,,"Inscription on back of photograph: Aldous Huxley with his aunt, Mrs. Humphry Ward, the English novellist [sic]. Property of Laura Huxley.",,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w3m,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w3m_1560455_master.tif,4,,,,,leaves|~|black-and-white photographs,still image,copyrighted,Naturalists $z Great Britain,"Huxley, Aldous, $d 1894-1963 $x Family|~|Huxley, Thomas Henry, $d 1825-1895|~|Huxley, Julian, 1887-1975",,,eng,,,Y,,,"Appears to be a page torn from a book (possibly Julian Huxley's Memories, 1893).|~|The English biologist Thomas Henry Huxley with his grandson, Julian (Aldous Huxley's older brother).",0004|~|YRLSC_2009_0004,"Thomas Henry Huxley and his grandson, Julian",,[1893?],1 leaf : ill.,1893,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w44,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w44_1560458_master.tif,5,,,,,leaves|~|black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,,YRLSC_2009_0005,"Aldous Huxley as a child, profile",,[between 1899 and 1901?],1 leaf : ill.,1899/1901,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w5n,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w5n_1560461_master.tif,6,,,,,leaves|~|black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,,0006|~|YRLSC_2009_0006,Aldous Huxley as a child,,[between 1901 and 1903?],1 leaf : ill.,1901/1903,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w65,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w65_1560464_master.tif,7,,,,,clippings,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Aldous, $d 1894-1963 $x Criticism and interpretation",,,eng,,,Y,"Sheller, Charles",,"Negative copy of clipping from Vanity Fair magazine (v. 27, iss. 4) by H. L. Mencken.",0007|~|YRLSC_2009_0007,"Aldous Huxley novelist, critic and poet",,[circa 1926],1 leaf : ill.,1926,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w7p,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w7p_1560467_master.tif,8,,,,,clippings|~|black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,,YRLSC_2009_0008,"Portrait of Aldous Huxley, the ultra-modern author and playwright",,"[August 2, 1933]",1 leaf : ill.,1933-08-02,,,"""From The Sketch, Aug 2-33""",,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w86,ark:/21198/zz00253vz2,2,Completed,Work,,9,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w86%2Fj9106p04,black-and-white photographs|~|portraits,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,"Collier, John, $d 1901-1980",Y,,,"Painter John Collier (1850-1934) married two of Aldous Huxley's aunts: first, in 1879, Marian Huxley, and after she died, Ethel Huxley in 1889. He painted a portrait of Aldous Huxley in 1927, which was submitted to the Royal Academy.|~|Image on reverse is of an unidentified woman.",0009|~|YRLSC_2009_0009,Portrait accepted in place of one of Bernard Shaw: Aldous Huxley,,1927,1 page : ill.,1927,,,"""Painted by John Collier, which was accepted by the Hanging Committee after their refusal of a portrait [of] the Sage of the Adelphi by [the same] artist.""",,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00253w9q,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,10,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w9q%2Fm852d86t,black-and-white photographs,still image,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Matthew",,,eng,,,Y,,,"Aldous, Maria and Matthew Huxley photographed from behind in Italy, circa 1926.|~|Note on verso: Huxley's in Forte dei Marmi, Italy-1926?Red stamp on verso: By Rosenys Pearblossom",YRLSC_2009_00010,"Aldous, Maria and Matthew Huxley in Forte dei Marmi, Italy  [descriptive]",,c. 1926,1 photograph: b&w,1926,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002555xs,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,11,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002555xs%2Fcq58t91h,postcards,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States|~|Photographers $z England","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Wilding, Dorothy, $d 1893-1976","Huxley, Laura Archera|~|Jones, Katherine Ann","Postcard (published by National Portrait Gallery) of Dorothy Wilding's photograph of Aldous Huxley, taken in 1930.|~|Reverse side: postcard sent from Katherine Ann Jones to Laura Huxley, August 4, 1992.",YRLSC_2009_00011,Postcard of Aldous Huxley as a young man with glasses and hat [descriptive],,"1930|~|August 4, 1992",1 postcard: b&w,1930|~|1992-08-04,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002556v7,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,12,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556v7%2Fpd42zq97,postcards,still image,copyrighted,"Authors, English--20th century|~|Photographers $z England","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Coster, Howard, $d 1885-1959",,"Postcard (published by the National Portrait Gallery) of Howard Coster's photograph of Aldous Huxley, taken in 1934. Postcard's publishing dated unknown.|~|Reverse side: publisher's information; photo information.",YRLSC_2009_00012,Postcard of Aldous Huxley as a young man with glasses [descriptive],,1934,1 postcard : b&w,1934,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002556wr,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002556wr_1652390_master.tif,13,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Motion picture producers and directors--United States","Huxley, Aldous, 1894-1963",,,zxx,,,Y,"Stoumen, Louis Clyde",,"Photo taken by American film director and producer Louis Clyde Stoumen. Photo shot from the back seat of the car.|~|Writer Aldous Huxley, dressed in hat, seated in the front seat of a car in Bethelehem, PA in 1939. This image also appears in clipping YRLSC_2009_00201.",YRLSC_2009_00013,"Aldous Huxley in car in Bethlehem, PA [descriptive]",,1939,1 photograph : b&w,1939,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002556x8,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,14,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556x8%2Fjq19gf37,postcards,still image,copyrighted,Royal houses $z Belgium|~|Queens $z Italy,"Maria José, Queen, consort of Humbert II, King of Italy, 1906-2001|~|Léopold $b III, $c King of the Belgians, $d 1901-1983|~|Prince Charles, Count of Flanders--Belgium",,,fre,,,Y,,,"Postcard of the children of Albert I, King of the Belgians: Leopold III of Belgium, Prince Charles, Count of Flanders, and Maria José, Queen of Italy. Image: circa 1906-1916.|~|Note on the front of postcard: L.L.A.A.R.R.: Le Duc de Brabant, le Comte de Flandre, la Princesse Marie-Jose.Note on postcard verso: Propiété de l'édition V. G. Bruxelles Reproduction interdite. Par J. Krétels, Ostende. No. 106.Publishing date of postcard unknown.",YRLSC_2009_00014,"Maria José, Queen of Italy, as a child with her two brothers [descriptive]",,1906-1916,,1906/1916,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002556zs,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002556zs_1652770_master.tif,15,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Mark Trevenen",,,zxx,,,Y,,,Writer Aldous Huxley with unidentified infant seated in high chair. Infant possibly Mr. Huxley's grandson Trevenen. Circa 1950-1955.,YRLSC_2009_00015,Aldous Huxley with unidentified infant [descriptive],,1950-1955,1 photograph : b&w,1950/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025570s,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,16,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025570s%2Fkb022p6d,black-and-white photographs,still image,copyrighted,Anthropologists--United States|~|Epidemiologists--United States,"Huxley, Maria, $d 1899-1955|~|Huxley, Matthew",,,eng,,,Y,,,"Handwriting on verso: ""Maria and baby in front of their flat, London""|~|Writer Aldous Huxley's wife and son, Maria Nys Huxley and Matthew Huxley (as a child). London, circa 1920-1925.",YRLSC_2009_00016,"Maria and baby in front of their flat, London [descriptive]",,1920/1925|~|1920-1925,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255719,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255719_1652990_master.tif,17,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,0017|~|YRLSC_2009_00017,Aldous and Maria Huxley with an unidentified girl,,[between 1919 and 1955],1 photograph : b&w,1919/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025572t,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,18,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025572t%2Fj3422x4s,postcards,still image|~|text,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States",,,,eng|~|fre|~|ita,,,Y,,"Huxley, Aldous, 1894-1963|~|Huxley, Matthew","Hand drawn postcard sent from writer Aldous Huxley (in France) to his son Matthew (in Italy), 1924.",018|~|YRLSC_2009_00018,"Postcard, with hand drawn image,  from Aldous Huxley to Matthew Huxley [descriptive]",,1924,,1924,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025573b,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,19,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025573b%2Fnb150g23,postcards,still image|~|text,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States",,,,eng|~|ita,,,Y,,"Huxley, Aldous, 1894-1963|~|Huxley, Matthew","Postcard sent from Italy by writer Aldous Huxley to his son Matthew, also in Italy. Dated 1924.|~|Publishing date of postcard unknown.",YRLSC_2009_00019,"Postcard, with image of chimpanzee, from Aldous Huxley to Matthew Huxley [descriptive]",,1924,,1924,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025574v,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025574v_1653505_master.tif,20,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley and first wife Maria Nys Huxley (standing to Mr. Huxley's right), with unidentified woman. Circa 1940-1949.",YRLSC_2009_00020,Aldous and Maria Huxley with unidentified woman [descriptive],,1940-1949,1 photograph : b&w,1940/1949,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025575c,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025575c_1653708_master.tif,21,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,YRLSC_2009_00021,"Aldous and Maria Huxley, walking on sidewalk, Los Angeles [descriptive]",,1945-1955,1 photograph : b&w,1945/1955,Los Angeles,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025576w,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025576w_1653816_master.tif,22,,,,,black-and-white photographs,still image,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States","Huxley, Aldous, 1894-1963|~|Huxley, Matthew",,,zxx,,,Y,,,"Writer Aldous Huxley seated outside with son Matthew Huxley, circa 1937-1947.",YRLSC_2009_00022,Aldous Huxley seated outside with son Matthew Huxley [descriptive],,1937-1947,1 photograph : b&w,1937/1947,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025577d,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025577d_1654067_master.tif,23,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley with first wife Maria Nys Huxley, standing in front of a house with unidentified man and woman (unidentifed man is standing in between both women).",YRLSC_2009_00023,Aldous and Maria Huxley with an unidentified man and woman in front of house [descriptive],,1945-1955,1 photograph : b&w,1945/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025578x,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,24,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025578x%2Fn982c87r,black-and-white photographs,still image,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Matthew",,,zxx,,,Y,,,"Writer Aldous Huxley and first wife Maria Nys Huxley, in front of house with unidentified man and woman (unidentified man is standing in between both women).|~|Reverse side: Aldous and Maria Huxley standing in front of house with son Matthew and unidentified woman (Matthew is standing behind Maria).",YRLSC_2009_00024,Aldous and Maria Huxley with unidentified man and woman/Aldous and Maria Huxley with son Matthew and unidentified woman [descriptive],,1945-1955,1 photograph : b&w,1945-1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0025579f,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz0025579f_1654517_master.tif,25,,,,,black-and-white photographs,still image,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Mark Trevenen|~|Huxley, Matthew",,,zxx,,,Y,,,"Writer Aldous Huxley (seated with baby, possibly his grandson Trevenen), first wife Maria (in foreground), and son Matthew (in background) with unidentified people in front of a Christmas tree. Circa 1945-1955.",YRLSC_2009_00025,"Aldous, Maria and Matthew Huxley with unidentified people in front of Christmas tree [descriptive]",,1945-1955,,1945/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557bz,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557bz_1654746_master.tif,26,,true,,,photographs,still image,copyrighted,"Huxley, Aldous, 1894-1963--Archives.","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Matthew",,,,,,Y,,,,YRLSC_2009_00026,DUPLICATE TO zz0025579f (Huxley Collection),,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557cg,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557cg_1654861_master.tif,27,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley and first wife Maria Nys Huxley, standing in front of Huxley home in Wrightwood, CA. Circa 1946-1949.",YRLSC_2009_00027,"Aldous and Maria Huxley standing in front of Huxley house, Wrightwood CA [descriptive]",,1946-1949,1 photograph: b&w,1946/1949,,,,,,,,,,,
