Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Thumbnail,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized,IIIF Manifest URL
Network Measurement Center Collection,ark:/21198/zz002dj6tj,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0zdb,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Network Measurement Program,30 June 70,Misc. Network Notes #9,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dj6tj/manifest
Network Measurement Center Collection,ark:/21198/zz002dj6wk,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45dn3,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),UCLA Computer Science Site Profile,22 March 71,Misc N. W. Note #10,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dj6wk/manifest
Network Measurement Center Collection,ark:/21198/zz002dj6x3,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48cj5,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,,,ARPANET (Computer network),Bibliography of Literature on Computer Networking,December 1970,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dj6x3/manifest
Network Measurement Center Collection,ark:/21198/zz002dj6zm,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806p8h,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),"Memorandum to Network Sites Through NIC, March 11, 1971","March 11, 1971",Misc. Network Note #13,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dj6zm/manifest
Network Measurement Center Collection,ark:/21198/zz002djfjs,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4mw6,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Yet Another Series,24 November 1969,"Misc NW Note 1, November 24, 1969","""Yet Another Series""""Along with the formal BB and N reports and the less formal NWG/RFC notes, we are acquiring some unorganized information not of general concern. This series of notes will cumulate these tidbits.""",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfjs/manifest
Network Measurement Center Collection,ark:/21198/zz002djfpv,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16419c5,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Test: Measurement of SRI-Utah Traffic,25 March 71,Misc. Network Note #14,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfpv/manifest
Network Measurement Center Collection,ark:/21198/zz002djfqc,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9g9x,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Early Project MAC ARPA Network Experiments,"February 2, 1971","Misc N. W. Note #16|~|Project MAC Computer Network Group, Memorandum No. 14",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfqc/manifest
Network Measurement Center Collection,ark:/21198/zz002djfrw,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6gb7,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"Guide to Network Working Group/Request for Comments, Issue No. 1, 26 March 1971",26 March 1971,Misc. Network Note #17|~|NIC 5819,"Peggy M. Karp, The MITRE Corporation, Westgate Research Park, McLean, Virginia 22101|~|Pages 1-5 of 51 digitized",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfrw/manifest
Network Measurement Center Collection,ark:/21198/zz002djfvf,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1pb1,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Transmittal of NIC 7198,1-SEP-71,Misc. Network Note #20,Pages 1-3 of 11 scanned,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfvf/manifest
Network Measurement Center Collection,ark:/21198/zz002djg63,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9phs,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),The New Flow-control Scheme for IMPSYS,27-MAR-72,Misc. Network Note #23,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djg63/manifest
Network Measurement Center Collection,ark:/21198/zz002djg7m,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2n8m,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"MSP Message Format, Response to User Messages, and Response to Network Messages",28-MAR-72,Misc. Network Note #24,"MEMORANDUM TO: Will Crowther, Steve Crocker, Dave Walden, Dan Murphy, Alex McKenzie, Jon Postel FROM: Bob Bressler",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djg7m/manifest
