Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Network Measurement Center Collection,ark:/21198/zz002dj6v2,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djfk9_2152019_master.tif,110,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Modifications to the IMP Program,28 November 69,Misc NW Note 2,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dj6v2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dj6v2/manifest
Network Measurement Center Collection,ark:/21198/zz002djfh8,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djfh8_2152014_master.tif,510,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),BBN Connected to ARPA Network,30 March 1970,,"""BNN is now connected to the ARPA Network (Site #5)."" Letter to Dr. Leonard Kleinrock from David C. Walden",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djfh8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfh8/manifest
Network Measurement Center Collection,ark:/21198/zz002djfsd,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djfsd_2152032_master.tif,170,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"ARPA Net, April 1971",April 1971,Misc. Network Note #18,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djfsd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djfsd/manifest
Network Measurement Center Collection,ark:/21198/zz002djftx,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djftx_2152035_master.tif,180,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"Augmentation Research Center, Stanford Research Institute (SRI-ARC) Network Graphics Group - Membership List, Revised 31-Aug-71",31-AUG-71,NIC 7190|~|Misc. Network Note #19,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djftx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djftx/manifest
Network Measurement Center Collection,ark:/21198/zz002djg42,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djg42_2152071_master.tif,200,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),"NETRJS Usage for September, 1971",25-OCT-71,Misc. Network Note #21,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djg42,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djg42/manifest
Network Measurement Center Collection,ark:/21198/zz002djg5k,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djg5k_2152074_master.tif,210,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),BBN Priority Messages,17-JAN-72,Misc. Network Note #22,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djg5k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djg5k/manifest
Network Measurement Center Collection,ark:/21198/zz002djg84,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djg84_2152081_master.tif,240,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Lines and Line Legend,1-MAR-73,Misc. Network Note #29,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djg84,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djg84/manifest
Network Measurement Center Collection,ark:/21198/zz002djgm9,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djgm9_2152102_master.tif,530,,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),"Official Telnet-Logger Initial Connection Protocol, Document #3",15-JUN-71,Protocol Specification NIC #7103,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002djgm9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgm9/manifest
Network Measurement Center Collection,ark:/21198/zz002dwr90,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,700,,private,,,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 2,20-MAR-72,ASS Note 2,,1972-03-20,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwr90/manifest
Network Measurement Center Collection,ark:/21198/zz002h28mc,ark:/21198/zz002dj6hw,1,In progress,Work,,774,,private,,,text,,,,,en,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [4] Drift Compensation,12 Sep 1957,,,1957-09-12,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28mc/manifest
