Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Type.typeOfResource,Type.genre,Subject,Name.repository,Name.creator,Name.subject,Subject geographic,Name.photographer,Rights.copyrightStatus,Date.creation,Date.normalized,Alt ID.local,Description.note,Coverage.temporal,Title,AltTitle.descriptive,Coverage.geographic,AltTitle.uniform,Alt ID.collection,Language,"Latitude, Longitude ",Relation.isPartOf,Format.dimensions,Format.medium ,Format.extent,AltTitle.creator
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcnvx,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcnvx-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Folk music--Sri Lanka|~|Maldivian language,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 22, 1938",1938-01-22,89.1.1|~|cleth_196906_amr6101_item01.wav|~|6101-1,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Colombo.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Maldivian song of labor,Song of labor|~|Maldivian,Colombo (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcnwf,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcnwf-1-master.wav,,,,,,sound recording-musical|~|audio,Traditional|~|Group song,Folk music--Sri Lanka|~|Maldivian language,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 22, 1938",1938-01-22,89.1.2|~|cleth_196906_amr6101_item02.wav|~|6101-2,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Colombo.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Maldivian group song,,Colombo (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcnxz,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcnxz-1-master.wav,,,,,,sound recording-musical|~|audio,Traditional|~|Mantra,Rituals|~|Sri Lanka--Folklore|~|Maldivian language,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 22, 1938",1938-01-22,89.1.3|~|6101-3|~|cleth_196906_amr6101_item03.wav,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Colombo.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Maldivian incantation,,Colombo (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcnzg,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcnzg-1-master.wav,,,,,,sound recording-musical|~|audio,Traditional|~|Mantra,Rituals|~|Sri Lanka--Folklore|~|Maldivian language,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 22, 1938",1938-01-22,89.1.4|~|6101-4|~|cleth_196906_amr6101_item04.wav,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Colombo.<br>Country of recording: Sri Lanka (Ceylon)|~|Re-recording of Item 6101-3.",1938-1939,Maldivian incantation,,Colombo (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcp0g,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcp0g-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Folk music--Sri Lanka|~|Maldivian language,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 22, 1938",1938-01-22,6101-5|~|89.1.5|~|cleth_196906_amr6101_item05.wav,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Colombo.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Maldivian rowing song,,Colombo (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcp10,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcp10-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Folk music--Sri Lanka|~|Maldivian language,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 22, 1938",1938-01-22,89.1.6|~|cleth_196906_amr6101_item06.wav|~|6101-6,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Colombo.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Maldivian fishing song,,Colombo (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcp2h,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcp2h-1-master.wav,,,,,,sound recording-musical|~|audio,Traditional,Singing|~|Sri Lanka--Folklore,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 23, 1938",1938-01-23,89.1.7|~|cleth_196906_amr6101_item07.wav|~|6101-7,"Instrumentation: Rabana (group drumming)|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Baddegama.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Shiva pada,,Baddegama (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gcp31,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gcp31-1-master.wav,,,,,,sound recording-musical|~|audio,Traditional,Singing|~|Sri Lanka--Folklore,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 23, 1938",1938-01-23,6101-8|~|cleth_196906_amr6101_item08.wav|~|89.1.8,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Baddegama.<br>Country of recording: Sri Lanka (Ceylon)|~|Instrumentation: Rabana (group drumming); Flute.",1938-1939,Kalamaitu (Katawa),,Baddegama (Sri Lanka),,,,,,,,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gjqpj,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gjqpj-1-master.wav,,,,,,sound recording-musical|~|audio,Traditional,"Singing|~|Sinhalese (Sri Lankan people)|~|Singhalese language|~|Folk songs, Sinhalese--Sri Lanka|~|Sinhalese language|~|Singhalese (Sri Lankan people)","University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Hendrik, W. H. ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 25, 1938",1938-01-25,90.1.1|~|cleth_196906_amr6102_item01.wav|~|6102-1,"Percussion (beatkeeper and drum). Vocal: Solo - Chorus.<br>Item time: 4:16 min.<br>Solo voice until about 2:15.|~|Leading singer: W.H. Hendrik, School instructor. Chorus: Martin And Balaya, singers from Kegalle, employed at the school.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: The house of Mr. E.A. Delgoda in Hiramagagma, Hiramadagma.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Legend of Buddha's Disciple,,Sri Lanka,,,,,,,,04:16 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gqfkc,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gqfkc-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,"Sinhalese (Sri Lankan people)|~|Singhalese language|~|Folk songs, Sinhalese--Sri Lanka|~|Sinhalese language|~|Singhalese (Sri Lankan people)","University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Hendrik, W. H. ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 25, 1938",1938-01-25,cleth_196906_amr6102_item02.wav|~|90.1.2|~|6102-2,"Singer: W. H. Hendrik, School instructor. Chorus: Martin And Balaya, singers from Kegalle, employed at the school.|~|Percussion (beatkeeper and drum). Vocal: Leader; Chorus.<br>Item time: 1:12 min.<br>|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: The house of Mr. E.A. Delgoda in Hiramagagma, Hiramadagma.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Kandyan War-song,,Sri Lanka,,,,,,,,01:12 min. ,
