Project Name,Item ARK,Parent ARK,Thumbnail,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Language,Name.creator,Subject,Type.genre,Name.repository,Relation.isPartOf,Coverage.geographic,Title,Date.creation,Date.normalized,Description.abstract,Alt ID.local,Format.extent,Format.dimensions,AltTitle.descriptive,Opac url,AltTitle.other,Finding Aid URL,Description.note,IIIF Manifest URL
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz0009gvf4,,,2,Completed,Collection,,,,,,,,,text,spa|~|nah,"Grepe, John H.","Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections","Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA","Tulancingo (Hidalgo, Mexico)--Trials, litigation, etc.--Archival resources |~|Tulancingo (Hidalgo, Mexico)--History--Sources","Tulancingo (Hildalgo, Mexico) Manuscript Collection, 1567-1882",1567-1882,1567/1882,"This collection consists of manuscript documents in Spanish and Nahuatl from the town of Tulancingo (Hidalgo, Mexico). The documents consist primarily of civil litigation case files, but also include a small amount of criminal case files and several government printed broadsides.",Collection 2073,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232797,"Tulancingo (Hildalgo, Mexico) Manuscript Collection|~|Tulancingo Manuscript Collection",http://www.oac.cdlib.org/institutions/ark:/13030/tf129008pn,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0009gvf4
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001h969h,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7sgm,2,Completed,Work,,1,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Documents relating to the Sebastian Vazquez case, and others",1572|~|1585,1585|~|1572,"Incomplete set of documents relating to the case of Sebastian Bazquez [Vazquez], who claimed ownership of indigenous land. Includes unrelated material, such as Nahuatl petitions.","Box 1, Folder 7",2 leaves and 1 bifolium,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h969h/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001h96b1,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h96d2,2,Completed,Work,,2,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Pedro de Ontiveros vs. debtors,"September 15, 1582 - June 2, 1586",1582/1586,"Documents relating to Pedro de Ontiveros' demand that indigenous men fully repay the 100 pesos he loaned them, of which he had only received half. Text mainly in Spanish and includes an admittance of debt (conocimiento) in Nahuatl, partially on one leaf.","Box 1, Folder 10",12 leaves,32 x 22 cm.,Pedro de Ontiveros vs. debtors,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h96b1/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001h98qp,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwgj,2,Completed,Work,,5,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Notice of bail for Gabriel Bazquez and Don Juan Lorenço de San Francisco,"January 4, 1600",1600-01-04,"Two indigenous officials, Don Gabriel Bazquez and Don Juan Lorenço de San Francisco were in jail for non- payment of tribute; they were later freed on bail (fianzas).","Box 1, Folder 14",1 leaf,31 x 22 cm.,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h98qp/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hfwjk,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfwk3,2,Completed,Work,,6,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Gomes Family land titles,April 1626 - August 1718,1626/1718,"Collection of documents concerning the Gomes family landholdings. The majority of the leaves (19) are records of land sales in Nahuatl, the rest are in Spanish.","Box 1, Folder 15",30 leaves,31 x 22 cm.,,,,,"(FF.20-1 are transcribed and translated in Lockhart 1991, pp. 97-101).",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hfwjk/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hmr8r,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmr98,2,Completed,Work,,7,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Bernardina Gutierrez vs. Domingo Hernandez,"October 29, 1636 - May 30, 1637",1636/1637,"Documents regarding a dispute between Bernardina Gutierrez and her son, Domingo Hernandez, over an hacienda which she had rented out to him. Gutierrez wants the hacienda back, and livestock and pesos owed.","Box 1, Folder 17",9 leaves,31 x 22 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hmr8r/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hms5p,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hms66,2,Completed,Work,,8,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Sale and transfer of titles for Indigenous land,"May 2, 1642 - September 8, 1643",1642/1643,"Documents relating to the sale and transfer of ownership of land between four indigenous owners: Gaspar de Santiago, Diego de Mendosa, Juan de Ayala and Francisco Lario Gomez.","Box 1, Folder 19",3 leaves,31 x 21 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hms5p/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hmsft,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmsgb,2,Completed,Work,,9,,,paged,,,,text,,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Documents relating to the estate of Don Juan Manuel Basquez, and others","April 18, 1644 - April 9, 1777",1644/1777,"Doña Josepha Catharina Franco, widow of Don Juan Manuel Basquez, initiated litigation to settle debts owed to her deceased husband. File includes a list of debtors, acknowledgements of debt, and documents relating to the landholdings of Luis Santos.","Box 1, Folder 21",30 leaves,31 x 22 cm.,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hmsft/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hnmfv,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnmgc,2,Completed,Work,,10,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Compilation of petitions, and Will of Ysabel Clara","August 19 - April 30, 1664",1664,"Varied and colorful collection of petitions presented to the alcalde mayor. Includes cases involving local merchants, a land dispute, a rape allegation, and the abduction of a wife. Issues concern both indigenous and Spanish residents.","Box 1, Folder 25",12 leaves,31 x 22 cm.,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hnmfv/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hnpcs,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnprg,2,Completed,Work,,11,,,paged,,,,text,nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Declaracion en favor de Maria Augustina de la Cruz, de Temascatitla","July 30, 1720",1720-06-30,Two copies of an original document in Nahuatl; one was transcribed from the original Nahuatl ca. 1722 - 1723; the other is a translation into Spanish made in 1777. The text contains an indigenous cabildo's confirmation about a plot of land.,"Box 1, Folder 29",2 bifolia,31 x 21 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hnpcs/manifest
