Object Type,Parent ARK,Item ARK,File name,local ID,Title,Publisher.place,Contributor.editor,volume | issue,Date.created (single),Date.created,Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Note.content,Subject.topic
Work,ark:/21198/z1bc6271,ark:/21198/z12v4jsk,ihc_bohemia_19100507.pdf,ihc_bohemia_19100507,Revista Bohemia 1910-05-07,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 01,1910-05-06,7 de mayo de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1z342db,ihc_bohemia_19100514.pdf,ihc_bohemia_19100514,Revista Bohemia 1910-05-14,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 02,1910-05-13,14 de mayo de 1910,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1tf211f,ihc_bohemia_19100521.pdf,ihc_bohemia_19100521,Revista Bohemia 1910-05-21,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 03,1910-05-20,21 de mayo de 1910,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1pp18d2,ihc_bohemia_19100528.pdf,ihc_bohemia_19100528,Revista Bohemia 1910-05-28,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 04,1910-05-27,28 de mayo de 1910,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1jx0hnw,ihc_bohemia_19100604.pdf,ihc_bohemia_19100604,Revista Bohemia 1910-06-04,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 05,1910-06-03,4 de junio de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1f49rv1,ihc_bohemia_19100611.pdf,ihc_bohemia_19100611,Revista Bohemia 1910-06-11,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 06,1910-06-10,11 de junio de 1910,spa,text,magazines (periodicals),12 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z19c9126,ihc_bohemia_19100618.pdf,ihc_bohemia_19100618,Revista Bohemia 1910-06-18,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 07,1910-06-17,18 de junio de 1910,spa,text,magazines (periodicals),13 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z15m88dc,ihc_bohemia_19100625.pdf,ihc_bohemia_19100625,Revista Bohemia 1910-06-25,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 08,1910-06-24,25 de junio de 1910,spa,text,magazines (periodicals),23 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z11v7hq3,ihc_bohemia_19100702.pdf,ihc_bohemia_19100702,Revista Bohemia 1910-07-02,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 09,1910-07-01,2 de julio de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1x65qm0,ihc_bohemia_19100709.pdf,ihc_bohemia_19100709,Revista Bohemia 1910-07-09,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 10,1910-07-08,9 de julio de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
