Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.editor,Subject topic,volume | issue,IIIF Manifest URL
Work,Revista Bohemia 1910-05-07,ark:/21198/z12v4jsk,ark:/21198/z1bc6271,,,,7 de mayo de 1910,1910-05-06,15 pages,magazines (periodicals),spa,ihc_bohemia_19100507,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v4jsk/manifest
Work,Revista Bohemia 1910-05-14,ark:/21198/z1z342db,ark:/21198/z1bc6271,,,,14 de mayo de 1910,1910-05-13,16 pages,magazines (periodicals),spa,ihc_bohemia_19100514,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z342db/manifest
Work,Revista Bohemia 1910-05-21,ark:/21198/z1tf211f,ark:/21198/z1bc6271,,,,21 de mayo de 1910,1910-05-20,16 pages,magazines (periodicals),spa,ihc_bohemia_19100521,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf211f/manifest
Work,Revista Bohemia 1910-05-28,ark:/21198/z1pp18d2,ark:/21198/z1bc6271,,,,28 de mayo de 1910,1910-05-27,16 pages,magazines (periodicals),spa,ihc_bohemia_19100528,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp18d2/manifest
Work,Revista Bohemia 1910-06-04,ark:/21198/z1jx0hnw,ark:/21198/z1bc6271,,,,4 de junio de 1910,1910-06-03,15 pages,magazines (periodicals),spa,ihc_bohemia_19100604,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jx0hnw/manifest
Work,Revista Bohemia 1910-06-11,ark:/21198/z1f49rv1,ark:/21198/z1bc6271,,,,11 de junio de 1910,1910-06-10,12 pages,magazines (periodicals),spa,ihc_bohemia_19100611,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f49rv1/manifest
Work,Revista Bohemia 1910-06-18,ark:/21198/z19c9126,ark:/21198/z1bc6271,,,,18 de junio de 1910,1910-06-17,13 pages,magazines (periodicals),spa,ihc_bohemia_19100618,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 07,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19c9126/manifest
Work,Revista Bohemia 1910-06-25,ark:/21198/z15m88dc,ark:/21198/z1bc6271,,,,25 de junio de 1910,1910-06-24,23 pages,magazines (periodicals),spa,ihc_bohemia_19100625,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15m88dc/manifest
Work,Revista Bohemia 1910-07-02,ark:/21198/z11v7hq3,ark:/21198/z1bc6271,,,,2 de julio de 1910,1910-07-01,15 pages,magazines (periodicals),spa,ihc_bohemia_19100702,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v7hq3/manifest
Work,Revista Bohemia 1910-07-09,ark:/21198/z1x65qm0,ark:/21198/z1bc6271,,,,9 de julio de 1910,1910-07-08,15 pages,magazines (periodicals),spa,ihc_bohemia_19100709,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x65qm0/manifest
Work,Revista Bohemia 1910-07-16,ark:/21198/z1sf4zxq,ark:/21198/z1bc6271,,,,16 de julio de 1910,1910-07-15,15 pages,magazines (periodicals),spa,ihc_bohemia_19100716,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 11,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf4zxq/manifest
