"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","Thumbnail","Type.typeOfResource","Type.genre","Subject","Name.repository","Name.creator","Name.subject","Subject geographic","Name.photographer","Rights.statementLocal","Rights.copyrightStatus","Date.creation","Date.normalized","Alt ID.local","Description.note","Subject temporal","Title","AltTitle.descriptive","Coverage.geographic","AltTitle.uniform","AltIdentifier.local","Language","Description.latitude","Description.longitude","Relation.isPartOf","Format.dimensions","Format.medium","Format.extent","AltTitle.creator","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002gcntd","","2","Complete","Collection","","","","","","","","","","","","","","","","","","","","","","Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","","","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002gcntd"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfc6j","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfc6j_2258559_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame002","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 02","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfc6j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfc6j/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfc72","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfc72_2258556_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame001","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 01","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfc72","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfc72/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfc8k","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfc8k_2258583_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame011","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 11","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfc8k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfc8k/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfc93","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfc93_2257377_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame022","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 22","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfc93","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfc93/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcbm","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfcbm_2258589_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame013","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 13   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcbm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcbm/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcc4","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcc4_2257389_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame026","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 26","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcc4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcc4/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcdn","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfcdn_2258592_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame014","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 14   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcdn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcdn/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcf5","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfcf5_2258580_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame010","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 10   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcf5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcf5/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcgp","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcgp_2257380_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame023","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 23","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcgp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcgp/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfch6","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfch6_2259344_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 02, Frame 03","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfch6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfch6/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcjq","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcjq_2257407_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame032","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 32","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcjq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcjq/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcmr","ark:/21198/zz002gcntd","2","Complete","Work","","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame009","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 09","","","","","","","","","","","1 slide","","missing","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcmr/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcn8","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcn8_2257383_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame024","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 24","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcn8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcn8/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcps","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcps_2258625_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame038","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 38","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcps","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcps/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcq9","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcq9_2257404_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame031","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 31","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcq9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcq9/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcrt","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcrt_2258622_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame037","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 37","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcrt","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcrt/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcsb","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfcsb_2258577_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame008","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 08   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcsb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcsb/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfctv","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfctv_2257401_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame030","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 30","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfctv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfctv/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcvc","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfcvc_2258595_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame015","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 15   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcvc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcvc/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcww","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfcww_2257398_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame029","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 29","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcww","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcww/manifest"
